#Orgánico,Funcional,Económico,Concepto,Crédito Inicial,Crédito Definitivo,Obligado
0110,1110,11000,Retribuciones personal eventual gabinete,1053630.0,1053630.0,1133609.51
0110,1110,12000,Retribuciones básicas de personal funcionario,83342.0,83342.0,73507.6
0110,1110,12100,Retribuciones complementarias personal funcionario,138907.0,138907.0,126869.14
0110,1110,16000,Seguridad social a cargo del ayuntamiento,336817.0,336817.0,390940.62
0110,1110,16500,Cuotas Elkarkidetza a cargo ayuntamiento,341.0,341.0,0.0
0110,1111,11000,Retribuciones personal eventual gabinete,179492.0,179492.0,37640.28
0110,1111,16000,Seguridad social a cargo del ayuntamiento,42596.0,42596.0,32277.25
0110,1111,16500,Cuotas Elkarkidetza a cargo ayuntamiento,72.0,72.0,0.0
0110,1111,22699,Otros gastos diversos,6000.0,6000.0,1763.34
0125,1211,12000,Retribuciones básicas de personal funcionario,81342.0,81342.0,70304.13
0125,1211,12100,Retribuciones complementarias personal funcionario,119084.0,119084.0,97202.9
0125,1211,14100,Otros personal,59498.0,59498.0,127669.68
0125,1211,16000,Seguridad social a cargo del ayuntamiento,68509.0,68509.0,85177.78
0125,1211,16500,Cuotas Elkarkidetza a cargo ayuntamiento,166.0,166.0,0.0
0126,1211,12000,Retribuciones básicas de personal funcionario,57909.0,57909.0,27132.55
0126,1211,12100,Retribuciones complementarias personal funcionario,99761.0,99761.0,53363.61
0126,1211,14100,Otros personal,3856.0,3856.0,0.0
0126,1211,16000,Seguridad social a cargo del ayuntamiento,39618.0,39618.0,26000.45
0126,1211,16500,Cuotas Elkarkidetza a cargo ayuntamiento,2224.0,2224.0,0.0
0130,1211,12000,Retribuciones básicas de personal funcionario,210451.0,210451.0,183430.69
0130,1211,12100,Retribuciones complementarias personal funcionario,320842.0,320842.0,272741.64
0130,1211,16000,Seguridad social a cargo del ayuntamiento,103004.0,103004.0,97356.36
0130,1211,16500,Cuotas Elkarkidetza a cargo ayuntamiento,6198.0,6198.0,1746.63
0130,1211,22610,Indemnizaciones,45000.0,8588430.59,8564325.92
0130,1211,22617,"Honorarios, minutas",80000.0,80000.0,98633.42
0145,1110,12000,Retribuciones básicas de personal funcionario,23997.0,23997.0,0.0
0145,1110,12100,Retribuciones complementarias personal funcionario,53697.0,53697.0,0.0
