#Aplicación Presupuetaria,Programa,,Fecha,CIF,Tercero,Concepto,Importe
Arrendamientos de Material de Transporte,132,20400,2014-01-01,A91001438,ALPHABET ESPAÑA FLEET MANAGEMENT S.A.U.,"Renting Enero 2014 Vehiculos P olicia Local., Ex 3/09-CSPSU",11492.78
Asistencia Médico-Farmacéutica,221,16008,2014-01-01,A50004209,"DKV SEGUROS Y REASEGUROS, S.A.E,","Primas Enero 2014 Poliza de Sa lud nº 3704101952, Expte 6/12- casv",16875
Material informático no inventariable,920,22002,2014-01-01,B38447355,"CIA. INSULAR DE COMUNICACIONES CICOM96, S.L.",Mantenimiento 2014 Central Tel efonica (01/01/2014-31/12/201),4960.19
"Prensa, revistas, libros y otros",912,22001,2014-01-01,B38530655,LA OPINION DE TENERIFE S.L.U.,ED. General La Opinion de Tfe.,455.4
Energía eléctrica,340,22100,2014-01-02,A81948077,ENDESA ENERGIA S.A.U.,Facturación Diciembre 2013 Dir ecc: Arquitecto Gomez Cuesta.,6180.34
Festejos y Actos Populares,338,22610,2014-01-02,B38418653,SANITARIOS PORTATILES S.L.,"Alquiler 3 Sanitarios, 2 Pace y 12 Accesible-Fiesta Fin Año os cristianos",235.4
Festejos y Actos Populares,338,22610,2014-01-02,B38621850,FERRETERIA HERMALAY S.L.,"Suministro Material Ferreteria (pintura , pistola, rodillo, p inceleta, brocha, spray )Cabal gata de Reyes",231.69
Festejos y Actos Populares,338,22610,2014-01-02,B38987368,"A.D.E.S. SIGLO 21, S.L.",Servicio Ambulancia Fin de Año  Los Cristianos 2013.,405
Festejos y Actos Populares,338,22610,2014-01-02,E76611144,C.B. CANARIAS SUR LATINO,Actuacion Musical Fiesta Fin d e Año en Los Cristianos.,2548
Material informático no inventariable,920,22002,2014-01-02,A64728918,T- INNOVA INGENIERIA APLICADA S.A.,Mantenimiento 2014 Deporwin y C.Acceso,5325.02
Material informático no inventariable,920,22002,2014-01-02,B34040774,"OMESA INFORMATICA, S.L.",Mantenimiento 2014 Aplicacion Control de Presencia,1486.87
Material informático no inventariable,920,22002,2014-01-02,B84413426,SPINBIZ COMPANY S.L.,Licencias ISL Online SaaS- Sus cripcion 12 meses,339
"Prensa, revistas, libros y otros",931,22001,2014-01-02,B31596968,"DAPP S.L., PUBLICACIONES JURIDICAS",Renovación 2014/2015 control y  Fiscalización del Presupuesto  Municiapal,207.92
"Reparación, man. y conserv. elementos de transport",150,21400,2014-01-02,B38233912,SERVICIOS E LEON S.L.,Conexión de máquina. Apagar Lu z de Averia vehículo 9021BWD.,26.75
Actividades Socioculturales,339,22609,2014-01-03,B38092151,TROPICAL BUS S.L.,"Servicio transporte de Cabo Bl anco/ Zona Monte Cho Pancho. A ctividad ""Encuentro Joven"".",247.2
