,,,,,
#EJECUCION INGRESOS CORRIENTES EJERCICIO 2014,,,,,
,,,,,
#Concepto,Denominación,Previsiones Iniciales,Modificaciones de previsiones,Previsiones Definitivas,Derechos reconocidos
10000,Impuesto sobre la Renta de las Personas Físicas,432165,0,432165,492163.5
11200,Impuesto sobre Bb.Inmuebles.De naturaleza rústica,93000,0,93000,90926.52
11300,Impuesto sobre Bb.Inmuebles.De naturaleza urbana,18745332,0,18745332,20463057.44
11400,Impto. sobre Bienes Inmuebles Características Esp.,36000,0,36000,39998.35
11500,Impto.Vehículos Tracción Mecánica,2800000,0,2800000,2891491.11
11600,Impto. inc.valor terrenos n.urbana,2300000,0,2300000,4539976.67
13000,Actividades Empresariales,1500000,0,1500000,2023191.93
22000,Impuesto sobre el alcohol y bebidas derivadas.,18150,0,18150,17323.82
22001,Impuesto sobre la cerveza.,6980,0,6980,7105.49
22006,Impuesto sobre productos intermedios.,336,0,336,334.21
29000,Impto sobre Construcc.Instalac.y Obras,100000,0,100000,667544.25
29100,Cotos de Caza y Pesca,10,0,10,26.44
29200,AIEM,828000,0,828000,967082.45
29300,IGIC,5700000,0,5700000,6349758.09
29901,Impuestos Especiales REF,550000,0,550000,940414.33
30000,Tasa por Abastecimiento de Aguas,10400000,0,10400000,10467292.03
30001,Venta de Agua Desalada,2200000,0,2200000,2771118.33
30002,Tasa por Licencia de Acoples da la Red de Aguas,10000,0,10000,18557.65
30003,Tasa por Servicio de Conservación de Contadores,120000,0,120000,122999.31
30100,Tasa por Servicio de Alcantarillado,1600000,0,1600000,1669866.06
30200,Tasa por Recogida de Basuras,8900000,0,8900000,9087785.29
30300,Servicio de tratamiento de residuos,120000,0,120000,138571.17
30901,Tasa Servicios de Cementerio,65000,0,65000,88168
32100,Tasa por Licencias de Obras,50000,0,50000,192694.28
32200,Cedula de habitabilidad 1ª Ocupación,10,0,10,15196.56
32300,Tasa por otros servicios urbanísticos,10,0,10,3600
32500,Tasa por Expedición de Documentos,200000,0,200000,294164.8
32600,Tasa de Retirada de Vehículos,400000,0,400000,375069
