#Económico,Denominación Aplicación Ingresos,Crédito Inicial,Crédito definitivo,DRN
11201,Impuesto bienes inmuebles naturaleza rústica y s. social.,293700.0,293700.0,295774.72
11202,Impuesto bienes inmuebles naturaleza urbana,44073000.0,44073000.0,44989371.55
11301,Impuesto sobre vehículos tracción mecánica,14202040.0,14202040.0,14205001.05
11401,Impuesto sobre incremento valor terrenos,16000000.0,16000000.0,19565040.58
13001,Impuesto sobre actividades económicas,13200000.0,13200000.0,15639184.69
13002,Participación en cuotas provinciales y estatales,1050000.0,1050000.0,950000.0
28201,Impuestos sobre construcciones e instalaciones,4000000.0,4000000.0,5047993.3
28301,Aprovechamiento del coto de caza,10000.0,10000.0,1000.0
30001,Venta de efectos no utilizables,15000.0,15000.0,39661.9
30002,Venta de publicaciones e impresos,8000.0,8000.0,883.28
30004,Venta de bienes y efectos en Montehermoso,0.0,0.0,11122.09
30006,Ingresos Montehermoso,0.0,0.0,5457.0
30007,Ingresos Oficina de turismo,70000.0,70000.0,0.0
31001,Recogida y eliminación de basuras,13174930.0,13174930.0,10340960.41
31002,"Recogida selectiva de envases, residuos..",1520000.0,1520000.0,1875669.11
31003,Servicio prevención y extinción incendios,30000.0,30000.0,6917.55
31004,Retirado vehículos y estancia en depósito,300000.0,300000.0,394277.73
31005,Evacuación por escrito de consultas urbanísticas,7000.0,7000.0,52575.84
31006,Licencias urbanísticas,250000.0,250000.0,134925.45
31007,Licencias de apertura de establecimientos,355000.0,355000.0,291204.12
31008,Vertido aguas residuales no domesticas en red alcantarillado (afectada),400000.0,400000.0,504327.77
31009,Vertido de residuos en vertedero de Gardelegui,4520000.0,4520000.0,3288607.97
31010,"Expedicion informes, fotografias, planos, fotocopias...",175000.0,175000.0,269844.65
31012,"Servicios funerarios: inhumaciones, exhumaciones, traslados...",580000.0,580000.0,537372.13
31015,Prestación servicios Demsac,70000.0,70000.0,154973.49
31016,Tasas para concurrir a exámenes de OPE,0.0,13257.7,13636.45
31019,Duplicado de la Tarjeta Municipal Ciudadana,0.0,0.0,3438.0
31101,Instal. en vía pública,650000.0,650000.0,615020.44
31102,Quioscos en la vía pública,2500.0,2500.0,2575.44
31103,Veladores en la vía pública,250000.0,250000.0,246850.51
31104,"Apertura de zanjas, calicatas..",200000.0,200000.0,298997.82
31105,OTA rotacional,1950000.0,1950000.0,2037903.85
31106,"Ocupación de suelo, subsuelo y vuelo, incluidas Gasnalsa e Iberdrola",5050000.0,5050000.0,6239153.14
31108,"Utilización del Palacio Europa, Villasuso, Teatro Principal",100000.0,100000.0,81654.21
31109,Utilización de salas y salones de actos en centros cívicos,30000.0,30000.0,27720.11
31110,Paso de vehículos vados,1720000.0,1720000.0,1461266.28
31111,Cesiones de terrenos en el Cementerio de El Salvador,200000.0,200000.0,210081.01
31112,Utilización de salas en el Centro de empresas de Jundiz,1500.0,1500.0,10291.03
31113,Examen acreditación licencia autotaxi,0.0,0.0,486.92
31115,Uso de espacios en Centros socioculturales de mayores,0.0,0.0,712.5
34000,Prestación de servicios SSAA municipales,1635861.0,1635861.0,1571467.61
34001,Talleres Demsac,0.0,0.0,35834.31
34002,"Escuelas infantiles, colonias abiertas y rincones de juego",1035280.0,1035280.0,870974.24
34004,Asistencia a domicilio 3ª edad,530000.0,530000.0,560430.2
34005,Estancias residencias 3ª edad,3525000.0,3525000.0,3602718.53
34006,Talleres de intervención social,70000.0,70000.0,73970.86
34007,Formación ocupacional,50000.0,50000.0,49976.41
34008,Abono instalaciones Mendizorrotza,5650000.0,5650000.0,5694675.5
34009,Abonos temporales y de temporada (Gamarra),160000.0,160000.0,133314.1
34010,Utilización instalaciones deportivas (reserva y venta),954200.0,954200.0,878315.69
34012,Matriculas en la Academia municipal de folklore,150000.0,150000.0,129788.16
34013,Cursos y talleres de Cultura,331200.0,331200.0,293196.44
34014,Taquillas  teatro,460000.0,460000.0,88750.76
34015,Prestación de servicios de ludotecas,51888.0,51888.0,16117.7
34016,Prestamos de material audiovisual e luminación de juventud,9000.0,9000.0,7269.46
34018,Talleres de Presidencia,79488.0,79488.0,213495.71
34020,Abonados a campañas deportivas,1324800.0,1324800.0,1292645.63
34021,Precio prestación Servicio Médico,74000.0,74000.0,64775.0
34023,Estancia en el C.A.M.A.S.,40000.0,40000.0,40472.02
34025,Comidas centro socioculturales de mayores,350000.0,350000.0,416321.45
34026,Liquidación estancias en residencias 3ª edad,100000.0,100000.0,50154.51
34032,Venta de entradas presidencia,0.0,0.0,4203.7
34036,Venta de material didáctico,0.0,0.0,89.38
34038,Servicio de bodas,50000.0,50000.0,31650.0
34039,Compensación gastos de gestión,0.0,979302.77,983447.24
36002,Cuotas de urbanización,1.0,1.0,344528.65
36003,Cuota Unespa y compañías no conveniadas,950000.0,950000.0,937103.21
38001,Reintegro por pagos indebidos,726700.0,726700.0,714194.85
38002,Reintegros gastos por publicaciones en anuncios,2000.0,2000.0,57868.98
38003,Reintegro de gastos o indemnizaciones de cias. aseguradoras,1.0,101813.59,101813.88
38004,Reintegros por costas de la vía de apremio,20000.0,20000.0,7993.01
38005,Reintegro indemnizaciones vía judicial,10000.0,10000.0,11149.31
39101,Multas por infracciones de trafico,6680000.0,6680000.0,8427844.74
39102,Sanciones por infracciones de inspección de tributos,700000.0,721241.55,801853.06
39103,Sanciones por incumplimientos contractuales,40000.0,40000.0,0.0
39201,Recargos de apremio,1000000.0,1000000.0,937970.5
39401,Daños en vía pública por accidentes de vehículos,100000.0,100000.0,87335.15
39402,Daños en bienes mpales. por actos vandálicos,5000.0,5000.0,62917.67
39404,Ingresos ejecuciones subsidiarias,10000.0,10000.0,6245.98
39405,Ingresos derivados de costas judiciales,15000.0,15000.0,44080.82
39601,Ingresos  empresas de telefonía,1100000.0,1100000.0,879602.56
39901,Donativos,2001.0,2001.0,1944.36
39902,Otros ingresos diversos,50000.0,50000.0,742056.37
39903,Intereses demora ejercicios anteriores,0.0,0.0,9998.47
39906,Donativos Belén de La Florida,1.0,9998.72,9998.72
39907,Ingresos rifa San Antón,1.0,1.0,12872.4
40000,De la Administración General,138101.0,138101.0,134861.11
41000,Del Gobierno Vasco,14656153.8,15797327.85,15276236.79
42000,De la Diputación Foral de Álava,7196545.0,15166545.0,18059603.42
42001,FOFEL,122139302.41,122139302.41,127223699.42
42003,Impuestos no concertados,300000.0,300000.0,305977.35
47000,De empresas,500000.0,682500.0,737500.0
48000,De familias,120000.0,120000.0,0.0
49000,De entes de la Unión Europea,264837.79,264837.79,404039.97
52500,Intereses en cajas y bancos ayuntamiento,150000.0,150000.0,96512.79
53100,Participación en beneficios de empresas con participación mpal.,1750000.0,1750000.0,2333229.34
53200,De otras empresas,8000.0,8000.0,3185.44
54001,Rentas arrendamientos fincas urbanas ayto,200000.0,200000.0,139929.91
54002,Arrendamiento locales semillero de empresas,100000.0,100000.0,104982.64
54003,Arrendamiento plaza de toros,1.0,1.0,0.0
54101,Arrendamiento de terrenos rústicos,0.0,0.0,32.41
54200,De terrenos rústicos,1.0,1.0,0.0
55000,Productos de concesiones,1950000.0,1950000.0,1482110.15
55100,Aprovechamientos agrícolas y forestal,0.0,0.0,23715.16
59002,Utilización de terrenos,50000.0,50000.0,40284.91
60900,Enajenación y venta de bienes,11360000.0,11360000.0,9230636.84
61200,De edificios y otras construcciones,1000000.0,1000000.0,241.71
70000,Del estado,0.0,0.0,164378.9
71000,Del Gobierno Vasco,18000000.0,28118934.21,21592618.55
72000,De la Diputación Foral de Álava,1140000.0,1140000.0,830893.48
73000,Entes públicos dentro del término municipal,0.0,0.0,19674.25
77000,Empresas privadas,0.0,0.0,3751.2
78000,Familias e inst. sin fines lucro,0.0,0.0,117668.44
79000,Entes públicos Unión Europea,2210000.0,3417241.63,1724732.4
