#Aplicación Presupuestaria,Programa,,Fecha,CIF,Tercero,Concepto,Importe
Arrendamientos de Material de Transporte,132,20400,2015-01-01,A91001438,ALPHABET ESPAÑA FLEET MANAGEMENT S.A.U.,"Servicio Enero 2015 ,Alquiler VehIculos para la policia loca Expt 3/09-CSPSU",11492.78
Asistencia Médico-Farmacéutica,221,16008,2015-01-01,A50004209,"DKV SEGUROS Y REASEGUROS, S.A.E,","""Seguro de SALUD """"DKV Mundis lud"""", póliza 37/041/01952_x000D_ E isión correspondiente al peri do: 2015/01_x000D_",16725
Material informático no inventariable,920,22002,2015-01-01,B38447355,"CIA. INSULAR DE COMUNICACIONES CICOM96, S.L.","Mantenimiento 2015, Contrato C icom, Central Ericson BP250",4960.19
"Prensa, revistas, libros y otros",912,22001,2015-01-01,B38530655,LA OPINION DE TENERIFE S.L.U.,LA OPINION DE TENERIFE 724 ud . Dto.:50.00% 02/01/2015 - 31 12/2015,455.4
Energía eléctrica,340,22100,2015-01-02,A81948077,ENDESA ENERGIA S.A.U.,"Facturacion Diciembre, Av, Arq uitecto Gomez Cuesta, Codigo A grupacion 1730766",7090.28
Festejos y Actos Populares,338,22610,2015-01-02,A38010856,AGUAS DE VILAFLOR S.A.,"30Botellas 1.5, 805 Botellines  de 33 cl-Concejalia de Fiesta s",143.41
Festejos y Actos Populares,338,22610,2015-01-02,B38418653,SANITARIOS PORTATILES S.L.,Alquiler 6 Sanitarios- Fiesta Fin Año 2014 en los Cristianos,321
Festejos y Actos Populares,338,22610,2015-01-02,B38509170,COMERCIAL RAECAN S.L.,"Castillo Fuegos Artificiales, C-III, Fiesta Fin A?o 2014",999.1
Festejos y Actos Populares,338,22610,2015-01-02,B38621850,FERRETERIA HERMALAY S.L.,Suministro Material de Ferrete ria- Fiesta Fin Año,396.41
Festejos y Actos Populares,338,22610,2015-01-02,B38645735,AINHFER S.L.,"20 Barandillas Proteccion Anti caida del Escenario, 60 Corred eras Sujeccion Barandillas- Ev ento Fin Año",214
Festejos y Actos Populares,338,22610,2015-01-02,B38987368,"A.D.E.S. SIGLO 21, S.L.",Ambulancia para Fiesta Fin Año 2014,360
Festejos y Actos Populares,338,22610,2015-01-02,E76611144,C.B. CANARIAS SUR LATINO,"Actuación Musical en los Crist ianos ,Fin Año 2014-2015",3745
Limpieza y Aseo,920,22700,2015-01-02,B35745926,RALONS SERVICIOS S.L.,"Servicio Diciembre 2014, Limpi eza Centros Educativos y Depen dencias Municipales, Expte 1/1 0-casv",139226.13
Material informático no inventariable,920,22002,2015-01-02,B38581393,TECNISUR COPIADORAS S.L.,Facturacion Contadores Fotocop iadora Konica Minolta Bizhub,5133.33
Ordinario no inventariable,920,22000,2015-01-02,B38381653,SUMINISTRO DE OFICINA OFIPAPEL S.L.,Suministro Material de Oficina  Diciembre 2014,838.49
"Prensa, revistas, libros y otros",912,22001,2015-01-02,B28659902,REVISTA EL ALCALDE,Suscripcion Anual2015  Revista  EL ALCALDE,57.7
Plan de Promoción Económica,433,22614,2015-01-04,A38017844,EDITORIAL LEONCIO RODRIGUEZ S.A.,"Contratación Faldon a color pu blicar el 3/01/15, Promocion E c",1284
Plan de Promoción Económica,433,22614,2015-01-04,B38645735,AINHFER S.L.,"21 Barandillas Proteccion, 63 Correderas para Escenario Even to la Estrella de los Reyes es ta en Arona, V.S.lorenzo",224.7
Plan de Promoción Económica,433,22614,2015-01-04,G38939096,ASOCIACION CULTURAL FANFARRIA JUVENI DE LOS SILOS,Actuaciones Musicales en los p asacalles navideño 2014 de los  Cristianos y Las Galletas 04 /01/2015- Prom.ec,1100
Energía eléctrica,920,22100,2015-01-05,A81948077,ENDESA ENERGIA S.A.U.,"Facturacion Diciembre 2014, Co digo Agrupacion 1705530.",1354.58
Energía eléctrica,920,22100,2015-01-05,B82846825,ENDESA ENERGIA XXI S.L.,"Facturacion Diciembre 2014, Co digo Agrupacion 0802286.",91.26
Festejos y Actos Populares,338,22610,2015-01-05,B38220893,MOANA TRUCK S.L.,Alquiler de un  Tren con Condu ctor 05/01/2015 desde 17:00-22 :00,772.5
Festejos y Actos Populares,338,22610,2015-01-05,B38509170,COMERCIAL RAECAN S.L.,Castillo Fuegos Artificiales C III  y Efectos Especiales- Cab algata de Reyes,1052.66
Festejos y Actos Populares,338,22610,2015-01-05,B38621850,FERRETERIA HERMALAY S.L.,Suministro Material Ferreteria - Cabalgata Reyes,182.9
Festejos y Actos Populares,338,22610,2015-01-05,B38867602,I.LOPEZ ANIMANCION Y OCIO,Actuación Dancing in the Stree t cabalgata de Reyes,642
