#Organikoa,Funtzionala,Ekonomikoa,R,Aplikazioaren izena,2024ko Hasierako kreditua,2024ko Behin-betiko kreditua,O
0110,9121,11000,,Kabineteko behin-behineko langileen ordainsariak,1266859.0,1266859.0,197314.74
0110,9121,12000,,Funtzionarioen oinarrizko ordainsariak,106397.0,106397.0,12410.26
0110,9121,12100,,Funtzionarioen ordainsari osagarriak,163057.0,163057.0,28334.55
0110,9121,14100,,Bestelako langileak,4780.79,4780.79,4425.43
0110,9121,16000,,"Gizarte Segurantza, enpresaren kontura",499052.0,499052.0,85799.21
0110,9121,16500,,"Elkarkidetzako kuotak, Udalaren kontura",5521.0,5521.0,1139.82
0110,9123,22695,,Bestelako hainbat gastu. Sindikoaren bulegoa.,900.0,900.0,0.0
0110,9123,22699,,Bestelako hainbat gastu,2000.0,2000.0,0.0
0111,2328,11000,,Kabineteko behin-behineko langileen ordainsariak,94609.27,94609.27,0.0
0111,2328,12000,,Funtzionarioen oinarrizko ordainsariak,93789.0,93789.0,1820.13
0111,2328,12100,,Funtzionarioen ordainsari osagarriak,109047.0,109047.0,5300.91
0111,2328,14100,,Bestelako langileak,0.0,0.0,2519.46
0111,2328,16000,,"Gizarte Segurantza, enpresaren kontura",76657.0,76657.0,3209.95
0111,2328,16500,,"Elkarkidetzako kuotak, Udalaren kontura",3919.0,3919.0,159.1
0111,3411,22704,,Ironman Vitoria-Gasteiz babestea,125000.0,125000.0,0.0
0111,4332,22707,,Azterlanak eta lan teknikoak,159710.5,159710.5,0.0
0111,9204,22724,,Eu datuaren bulegoa,90000.0,90000.0,0.0
0111,9204,22725,,Eu datuaren bulegoa,0.0,0.0,5575.68
0111,4332,22743,,Proiektu estrategikoak eta hiriko ekitaldiak,294388.5,294388.5,0.0
0111,4332,41401,,Hitzarmena: Hiriaren sustapena,150000.0,150000.0,0.0
0111,4332,48160,,Hitzarmena: Green Deal,20000.0,20000.0,0.0
0112,2301,12000,,Funtzionarioen oinarrizko ordainsariak,154169.35,154169.35,17375.79
