#Organikoa,Funtzionala,Ekonomikoa,Azalpena,Hasierako kreditua,Behin betiko kreditua,Behartua
0110,1110,11000,Kabineteko behin-behineko langileen ordainsariak,1053630.0,1053630.0,1133609.51
0110,1110,12000,Funtzionarioen oinarrizko ordainsariak,83342.0,83342.0,73507.6
0110,1110,12100,Funtzionarioen ordainsari osagarriak,138907.0,138907.0,126869.14
0110,1110,16000,"Gizarte Segurantza, enpresaren kontura",336817.0,336817.0,390940.62
0110,1110,16500,"Elkarkidetzako kuotak, Udalaren kontura",341.0,341.0,0.0
0110,1111,11000,Kabineteko behin-behineko langileen ordainsariak,179492.0,179492.0,37640.28
0110,1111,16000,"Gizarte Segurantza, enpresaren kontura",42596.0,42596.0,32277.25
0110,1111,16500,"Elkarkidetzako kuotak, Udalaren kontura",72.0,72.0,0.0
0110,1111,22699,Bestelako hainbat gastu,6000.0,6000.0,1763.34
0125,1211,12000,Funtzionarioen oinarrizko ordainsariak,81342.0,81342.0,70304.13
0125,1211,12100,Funtzionarioen ordainsari osagarriak,119084.0,119084.0,97202.9
0125,1211,14100,"Langileak, beste",59498.0,59498.0,127669.68
0125,1211,16000,"Gizarte Segurantza, enpresaren kontura",68509.0,68509.0,85177.78
0125,1211,16500,"Elkarkidetzako kuotak, Udalaren kontura",166.0,166.0,0.0
0126,1211,12000,Funtzionarioen oinarrizko ordainsariak,57909.0,57909.0,27132.55
0126,1211,12100,Funtzionarioen ordainsari osagarriak,99761.0,99761.0,53363.61
0126,1211,14100,"Langileak, beste",3856.0,3856.0,0.0
0126,1211,16000,"Gizarte Segurantza, enpresaren kontura",39618.0,39618.0,26000.45
0126,1211,16500,"Elkarkidetzako kuotak, Udalaren kontura",2224.0,2224.0,0.0
0130,1211,12000,Funtzionarioen oinarrizko ordainsariak,210451.0,210451.0,183430.69
0130,1211,12100,Funtzionarioen ordainsari osagarriak,320842.0,320842.0,272741.64
0130,1211,16000,"Gizarte Segurantza, enpresaren kontura",103004.0,103004.0,97356.36
0130,1211,16500,"Elkarkidetzako kuotak, Udalaren kontura",6198.0,6198.0,1746.63
0130,1211,22610,Kalte-ordainak,45000.0,8588430.59,8564325.92
0130,1211,22617,"Ordainsariak, minutak",80000.0,80000.0,98633.42
0145,1110,12000,Funtzionarioen oinarrizko ordainsariak,23997.0,23997.0,0.0
0145,1110,12100,Funtzionarioen ordainsari osagarriak,53697.0,53697.0,0.0
0145,1110,16000,"Gizarte Segurantza, enpresaren kontura",12352.0,12352.0,0.0
0145,4621,22600,Hiriaren promozioa,0.0,0.0,0.0
015501,4541,12000,Funtzionarioen oinarrizko ordainsariak,157167.0,157167.0,150326.33
015501,4541,12100,Funtzionarioen ordainsari osagarriak,176005.0,176005.0,180271.43
015501,4541,14100,"Langileak, beste",43058.0,43058.0,43735.82
015501,4541,16000,"Gizarte Segurantza, enpresaren kontura",97776.0,97776.0,110349.93
015501,4541,16500,"Elkarkidetzako kuotak, Udalaren kontura",152.0,152.0,0.0
015501,4541,22699,Artxiboko kontserbazio-gastu materialak,6800.0,6800.0,6565.38
015501,4541,22752,Udal artxiboko kontratuak,43000.0,43000.0,42997.5
015502,4512,12000,Funtzionarioen oinarrizko ordainsariak,187395.0,187395.0,171891.06
015502,4512,12100,Funtzionarioen ordainsari osagarriak,252649.0,252649.0,238856.88
015502,4512,14100,"Langileak, beste",173758.0,173758.0,230627.28
015502,4512,16000,"Gizarte Segurantza, enpresaren kontura",169594.0,169594.0,185316.31
015502,4512,16500,"Elkarkidetzako kuotak, Udalaren kontura",620.0,620.0,0.0
015502,4512,22624,Folklore akademiako programazio-gastuak,28000.0,28000.0,24699.61
015502,4512,22757,Folklore Akademiako zerbitzu-enpresak,21582.0,21582.0,21314.71
015502,4514,22625,Folklore Akademiaren musika udalekuak,60000.0,60000.0,59894.23
015503,4444,22734,Gau Berdea,0.0,0.0,0.0
015503,4510,12000,Funtzionarioen oinarrizko ordainsariak,111014.0,111014.0,132175.69
015503,4510,12100,Funtzionarioen ordainsari osagarriak,143168.0,143168.0,174004.95
015503,4510,14100,"Langileak, beste",76443.0,76443.0,37611.61
015503,4510,16000,"Gizarte Segurantza, enpresaren kontura",85803.0,85803.0,90235.1
015503,4510,16500,"Elkarkidetzako kuotak, Udalaren kontura",228.0,228.0,0.0
015503,4511,20103,Alokairuak,45000.0,45000.0,44632.14
015503,4511,22605,Erakusketa lekuak dinamizatzea,34300.0,34300.0,33919.12
015503,4511,22635,Azkena Rock jaialdia,270000.0,350000.0,350000.0
015503,4511,22653,Kultura-zabalkundea,18000.0,18000.0,13683.5
015503,4511,22654,Kultura-estrategia,3000.0,3000.0,3000.0
015503,4519,22643,"Erraldoiak, harmailak eta jaiotza konpontzea",12000.0,12000.0,13516.53
015503,4519,22652,Beste kultura-jarduera batzuk,64000.0,64000.0,57050.4
015503,4519,22660,Inauteriak,21000.0,19500.0,23436.38
015503,4519,22661,Andre Maria Zuriaren jaiak,670000.0,695787.0,685834.01
015503,4519,22662,Olarizu,3000.0,3000.0,7853.67
015503,4519,22663,Eguberri eta erregetako kanpaina,180000.0,180000.0,177323.49
015503,4519,22664,San Anton eta Santa Ageda jaiak,12600.0,12600.0,12856.14
015503,4519,22733,Espazio publikoetako kultura-programak,145000.0,139800.0,146426.64
015503,4519,22756,Kultura-jardueretako zerbitzuak,155000.0,159031.0,156828.39
015503,4519,22758,Gasteizko batailaren 2. mendeurreneko ekitaldiak kontratzea,0.0,0.0,0.0
015504,4510,12000,Funtzionarioen oinarrizko ordainsariak,71820.0,71820.0,74084.8
015504,4510,12100,Funtzionarioen ordainsari osagarriak,117133.0,117133.0,112524.57
015504,4510,14100,"Langileak, beste",113423.0,113423.0,0.0
015504,4510,16000,"Gizarte Segurantza, enpresaren kontura",72911.0,72911.0,42092.28
015504,4510,16500,"Elkarkidetzako kuotak, Udalaren kontura",152.0,152.0,0.0
015504,4514,22622,Montehermoso Kulturunea,15000.0,15000.0,15317.02
015504,4514,22751,Montehermosoko zerbitzu-kontratuak,25000.0,25000.0,25150.64
015507,4530,12000,Funtzionarioen oinarrizko ordainsariak,120550.0,120550.0,120880.3
015507,4530,12100,Funtzionarioen ordainsari osagarriak,157973.0,157973.0,156691.31
015507,4530,14100,"Langileak, beste",161876.0,161876.0,126878.68
015507,4530,16000,"Gizarte Segurantza, enpresaren kontura",111264.0,111264.0,108341.48
015507,4530,16500,"Elkarkidetzako kuotak, Udalaren kontura",566.0,566.0,0.0
015507,4532,22115,Berariazko material teknikoa - Gazteria,300.0,300.0,84.44
015507,4532,22732,Aisia eta denbora libreko zerbitzu-kontratuak,180000.0,180000.0,181436.35
015507,4534,22732,Zerbitzuak emateko kontratuak - Gazteria,115000.0,133200.0,122036.69
015507,4534,22775,Gazte Plana,100000.0,79000.0,73984.64
015507,4534,22776,Gazteriaren europar hiriburua,20000.0,0.0,0.0
015508,4510,12000,Funtzionarioen oinarrizko ordainsariak,241830.0,241830.0,195843.49
015508,4510,12100,Funtzionarioen ordainsari osagarriak,318020.0,318020.0,247737.32
015508,4510,14100,"Langileak, beste",30971.0,30971.0,65662.66
