#Organikoa,Funtzionala,Ekonomikoa,R,Aplikazioaren izena,2022ko Hasierako kreditua,2022ko Behin-betiko kreditua,Behartua
0110,9121,11000,,Kabineteko behin-behineko langileen ordainsariak,1147478.86,1147478.86,904599.25
0110,9121,12000,,Funtzionarioen oinarrizko ordainsariak,79927.0,79927.0,67590.62
0110,9121,12100,,Funtzionarioen ordainsari osagarriak,118544.0,118544.0,112414.42
0110,9121,14100,,Bestelako langileak,31027.0,31027.0,124.51
0110,9121,16000,,"Gizarte Segurantza, enpresaren kontura",423570.0,423570.0,334615.13
0110,9121,16500,,"Elkarkidetzako kuotak, Udalaren kontura",2963.0,2963.0,3320.68
0110,9123,22695,,Bestelako hainbat gastu. Sindikoaren bulegoa.,900.0,900.0,700.0
0110,9123,22699,,Bestelako hainbat gastu,2000.0,2000.0,1402.0
0111,2328,11000,,Kabineteko behin-behineko langileen ordainsariak,83125.0,83125.0,0.0
0111,2328,12000,,Funtzionarioen oinarrizko ordainsariak,71727.0,71727.0,11516.52
0111,2328,12100,,Funtzionarioen ordainsari osagarriak,74478.0,74478.0,20512.76
0111,2328,14100,,Bestelako langileak,0.0,0.0,49.64
0111,2328,16000,,"Gizarte Segurantza, enpresaren kontura",54293.0,54293.0,9092.94
0111,2328,16500,,"Elkarkidetzako kuotak, Udalaren kontura",1559.0,1559.0,742.6
0111,3341,22704,,Ironman Vitoria-Gasteiz babestea,0.0,0.0,0.0
0111,3411,22704,,Ironman Vitoria-Gasteiz babestea,125000.0,125000.0,125000.0
0111,4332,22701,,Proiektu komunitarioak bultzatzea,20000.0,20000.0,0.0
0111,4332,22702,,Green capital 10. urteurrena,100000.0,220000.0,5342.84
0111,4332,22707,,Azterlanak eta lan teknikoak,40000.0,50000.0,14713.07
0111,4332,22743,,Proiektu estrategikoak eta hiriko ekitaldiak,200000.0,197500.0,106759.2
0111,4332,41401,,Bilbao Ekintza Tour de France,100000.0,100000.0,100000.0
0111,4332,48160,,Hitzarmena: Green Deal,40000.0,20000.0,0.0
0111,9204,22725,,Eu - Datuaren bulegoa,0.0,140000.0,0.0
0112,2301,12000,,Funtzionarioen oinarrizko ordainsariak,150255.0,150255.0,94243.99
0112,2301,12100,,Funtzionarioen ordainsari osagarriak,192050.0,192050.0,126487.8
0112,2301,14100,,Bestelako langileak,32150.0,32150.0,36911.22
0112,2301,16000,,"Gizarte Segurantza, enpresaren kontura",113260.0,113260.0,75687.31
0112,2301,16500,,"Elkarkidetzako kuotak, Udalaren kontura",7594.0,7594.0,3704.92
0116,2371,12000,,Funtzionarioen oinarrizko ordainsariak,149609.0,149609.0,107695.58
0116,2371,12100,,Funtzionarioen ordainsari osagarriak,186347.0,186347.0,149684.67
0116,2371,14100,,Bestelako langileak,108921.0,108921.0,54361.43
0116,2371,16000,,"Gizarte Segurantza, enpresaren kontura",119225.0,119225.0,85226.47
0116,2371,16500,,"Elkarkidetzako kuotak, Udalaren kontura",7984.0,7984.0,5180.39
0116,2371,22115,,Berariazko material teknikoa,100.0,100.0,0.0
0116,2371,22734,,Aisialdi eta denbora libreko programa,364000.0,364000.0,279102.32
0116,2371,22736,,Gazteria Zerbitzuaren kontratua,185804.22,185804.22,122766.22
0116,2371,22737,,Gazteen Argibideetarako Udal Bulegoa,18000.0,18000.0,3975.29
0116,2371,22775,,Gazte Plana,80000.0,75000.0,22106.93
0116,2371,41924,,Hitzarmena: Euskadiko Gazteria Kontseilua - Gazteen partaidetzaren sustapena,10500.0,10500.0,0.0
0116,2371,41924,R,Hitzarmena: Euskadiko Gazteria Kontseilua - Gazteen partaidetzaren sustapena,0.0,2100.0,0.0
0116,2371,48935,,Gazteriako dirulaguntza deialdi orokorra,30000.0,30000.0,24000.0
0116,2371,48935,R,Gazteriako dirulaguntza deialdi orokorra,0.0,4400.0,3583.91
0116,2371,48936,,Irakaskuntza Ertainetako gazte informatzaileen deialdia,11000.0,11000.0,0.0
0116,2371,48936,R,Irakaskuntza Ertainetako gazte informatzaileen deialdia,0.0,5000.0,5000.0
0116,2371,62505,,Bestelako tresnak,1000.0,1000.0,127.26
0116,2371,62800,,"Argitalpenak eta liburuak erostea, Gazteen Argibideetarako Bulegorako",500.0,500.0,0.0
0125,9124,12000,,Funtzionarioen oinarrizko ordainsariak,117368.0,117368.0,89980.98
0125,9124,12100,,Funtzionarioen ordainsari osagarriak,192325.0,192325.0,157559.7
0125,9124,14100,,Bestelako langileak,85565.0,85565.0,53607.44
0125,9124,16000,,"Gizarte Segurantza, enpresaren kontura",98847.0,98847.0,76089.72
0125,9124,16500,,"Elkarkidetzako kuotak, Udalaren kontura",5970.0,5970.0,4876.9
0126,9124,12000,,Funtzionarioen oinarrizko ordainsariak,19295.0,19295.0,0.0
0126,9124,12100,,Funtzionarioen ordainsari osagarriak,26303.0,26303.0,0.0
