#Organikoa,Funtzionala,Ekonomikoa,R,Aplikazioaren izena,2022ko Hasierako kreditua,2022ko Behin-betiko kreditua,Behartua
0110,9121,11000,,Kabineteko behin-behineko langileen ordainsariak,1147478.86,1147478.86,263372.43
0110,9121,12000,,Funtzionarioen oinarrizko ordainsariak,79927.0,79927.0,15302.78
0110,9121,12100,,Funtzionarioen ordainsari osagarriak,118544.0,118544.0,35783.05
0110,9121,14100,,Bestelako langileak,31027.0,31027.0,0.0
0110,9121,16000,,"Gizarte Segurantza, enpresaren kontura",423570.0,423570.0,109238.92
0110,9121,16500,,"Elkarkidetzako kuotak, Udalaren kontura",2963.0,2963.0,892.24
0110,9123,22695,,Bestelako hainbat gastu. Sindikoaren bulegoa.,900.0,900.0,700.0
0110,9123,22699,,Bestelako hainbat gastu,2000.0,2000.0,1402.0
0111,2328,11000,,Kabineteko behin-behineko langileen ordainsariak,83125.0,83125.0,0.0
0111,2328,12000,,Funtzionarioen oinarrizko ordainsariak,71727.0,71727.0,2853.63
0111,2328,12100,,Funtzionarioen ordainsari osagarriak,74478.0,74478.0,6949.89
0111,2328,16000,,"Gizarte Segurantza, enpresaren kontura",54293.0,54293.0,2980.32
0111,2328,16500,,"Elkarkidetzako kuotak, Udalaren kontura",1559.0,1559.0,222.78
0111,3341,22704,,Ironman Vitoria-Gasteiz babestea,0.0,0.0,0.0
0111,3411,22704,,Ironman Vitoria-Gasteiz babestea,125000.0,125000.0,0.0
0111,4332,22701,,Proiektu komunitarioak bultzatzea,20000.0,20000.0,0.0
0111,4332,22702,,Green capital 10. urteurrena,100000.0,100000.0,0.0
0111,4332,22707,,Azterlanak eta lan teknikoak,40000.0,40000.0,435.07
0111,4332,22743,,Proiektu estrategikoak eta hiriko ekitaldiak,200000.0,200000.0,6050.0
0111,4332,41401,,Bilbao Ekintza Tour de France,100000.0,100000.0,0.0
0111,4332,48160,,Hitzarmena: Green Deal,40000.0,40000.0,0.0
0112,2301,12000,,Funtzionarioen oinarrizko ordainsariak,150255.0,150255.0,23778.46
0112,2301,12100,,Funtzionarioen ordainsari osagarriak,192050.0,192050.0,41186.84
0112,2301,14100,,Bestelako langileak,32150.0,32150.0,11566.37
0112,2301,16000,,"Gizarte Segurantza, enpresaren kontura",113260.0,113260.0,24913.12
0112,2301,16500,,"Elkarkidetzako kuotak, Udalaren kontura",7594.0,7594.0,1259.12
0116,2371,12000,,Funtzionarioen oinarrizko ordainsariak,149609.0,149609.0,28327.92
0116,2371,12100,,Funtzionarioen ordainsari osagarriak,186347.0,186347.0,49231.86
0116,2371,14100,,Bestelako langileak,108921.0,108921.0,17901.45
0116,2371,16000,,"Gizarte Segurantza, enpresaren kontura",119225.0,119225.0,29766.01
0116,2371,16500,,"Elkarkidetzako kuotak, Udalaren kontura",7984.0,7984.0,1702.41
0116,2371,22115,,Berariazko material teknikoa,100.0,100.0,0.0
0116,2371,22734,,Aisialdi eta denbora libreko programa,364000.0,364000.0,56277.72
0116,2371,22736,,Gazteria Zerbitzuaren kontratua,185804.22,185804.22,22128.39
0116,2371,22737,,Gazteen Argibideetarako Udal Bulegoa,18000.0,18000.0,1406.39
0116,2371,22775,,Gazte Plana,80000.0,75000.0,408.94
0116,2371,41924,,Hitzarmena: Euskadiko Gazteria Kontseilua - Gazteen partaidetzaren sustapena,10500.0,10500.0,0.0
0116,2371,41924,R,Hitzarmena: Euskadiko Gazteria Kontseilua - Gazteen partaidetzaren sustapena,0.0,2100.0,0.0
0116,2371,48935,,Gazteriako dirulaguntza deialdi orokorra,30000.0,30000.0,0.0
0116,2371,48935,R,Gazteriako dirulaguntza deialdi orokorra,0.0,4400.0,600.0
0116,2371,48936,,Irakaskuntza Ertainetako gazte informatzaileen deialdia,11000.0,11000.0,0.0
0116,2371,48936,R,Irakaskuntza Ertainetako gazte informatzaileen deialdia,0.0,5000.0,0.0
0116,2371,62505,,Bestelako tresnak,1000.0,1000.0,0.0
