#Ekonomikoa,Diru-sarreren aplikazioaren izena,Hasierako kreditua 2019,Behin betiko kreditua 2019,DRN 2019
11201,Landa-lurreko Ondasun Higiezinen gaineko Zerga eta Gizarte Segurantza,,289346.45,288594.41
11202,Hiri-lurreko ondasun higiezinen gaineko zerga,,43445000.0,42617550.05
11203,Ezaugarri bereziko higiezinak,,470779.28,470688.07
11301,Trakzio Mekanikoko Ibilgailuen gaineko Zerga,,16425000.0,16034455.83
11401,Hiri-lurren Balio-gehikuntzaren gaineko Zerga,,15000000.0,8624427.25
13001,Ekonomi Jardueren gaineko Zerga,,14700000.0,563129.97
13002,Probintziako eta Estatuko kuotetako partaidetza,,1450000.0,78612.18
28201,Eraikuntza eta instalazioen gaineko zergak,,7830000.0,4368398.25
28301,Ehiza esparruaren ustiapena,,2111.0,2111.0
30001,Erabilgarri ez diren ondasunak saltzea,,40000.0,207.4
30002,Argitalpen eta inprimakien salmenta,,1000.0,0.0
30004,Montehermosoko ondasun eta elementuen salmenta,,5000.0,2583.6
30006,Energia elektrikoa saltzea,,3000.0,0.0
30007,Turismo Bulegoko ondasunen salmenta,,25000.0,17887.52
31001,Zaborrak bildu eta suntsitzea,,10900000.0,10685868.52
31003,Hileta-zerbitzuak.,,625000.0,336391.43
31004,"Txostenak, atestatuak, fotokopiak, planoak eta antzekoak egitea",,285600.0,40555.95
31005,Ibilgailuak bide publikotik kentzea,,312120.0,87663.87
31008,Prebentzio eta Su Itzaltze Zerbitzua,,6120.0,2038.35
31013,Gardelegiko zabortegian hondakinak hustea,,4100000.0,2550951.69
31020,Hirigintza-kontsultei erantzutea,,15300.0,5460.22
31021,Etxeetakoez kanpoko ur zikinak isurtzea,,334060.2,223925.27
31022,Herritarren Udal Txartelaren kopia,,10404.0,5044.0
31023,Energia garraioa,,150000.0,0.0
31026,Osasun eta Kontsumo Sailak eskainitako zerbitzuak,,260100.0,61394.95
31027,Azterketa-tasak,,7140.0,50500.08
31028,Biokonpost-lantegia,,765000.0,0.0
31029,Ontzi eta hondakinen gaikako bilketa,,1706000.0,529733.4
31101,Establezimenduak irekitzeko lizentziak,,300000.0,246708.43
31105,TAO,,0.0,280.78
31201,Hirigintza-lizentziak ematea,,306000.0,191137.19
32001,TAO - Ibilgailuak bide publikoetan aparkatzea,,1950000.0,860633.65
32005,Salbatzailearen hilerriko lurzoru-lagapenak,,198900.0,39631.24
32102,Bide publikoetako kioskoak,,2550.0,1344.0
32103,"Hesiak, aldamioak, edukiontziak eta eraikuntza-materiala, bide publikoan",,0.0,276125.75
32104,Bide publikoetako mahaitxoak,,332000.0,340596.44
32105,Bide publikoetako instalazioak,,663000.0,97996.59
32107,Zangak irekitzea,,510000.0,7297.99
32109,"Hornikuntza-enpresek lurra, lurgaina eta lurpea okupatzea",,4950000.0,27746.76
32110,Zerbitzu- eta hornikuntza-enpresek lurzorua okupatzea,,0.0,1990747.91
32111,"Biltzar-jauregia, Principal antzokia, zezen-plaza eta beste erabiltzea",,153000.0,0.0
32112,Gizarte-etxeetako aretoak erabiltzea,,30600.0,115741.73
32113,Jundizko enpresa-zentroko aretoak erabiltzea,,10200.0,3325.7
32114,Adinekoentzako zentro soziokulturaletako espazioak erabiltzea,,1020.0,324.48
32201,"Ibilgailuak espaloietatik sartzea, eta bide publikoa aparkatzeko erreserbatzea",,1550000.0,699408.5
34000,Udal sozietate anonimoek zerbitzuak ematea,,700000.0,0.0
34001,Osasun eta Kontsumo Sailaren lantegiak,,30600.0,18215.01
34002,"Haur eskolak, udaleku irekiak eta jolas txokoak",,663000.0,274134.0
34004,Etxez etxeko laguntza (3. adina),,675000.0,547053.44
34005,Egoitzetako egonaldiak (3. adina),,4490000.0,1682828.1
34006,Gizartegintzako lantegiak,,71400.0,11309.24
34007,Lanaren bidezko prestakuntza,,51000.0,11350.4
34008,Mendizorrotzeko instalazioetarako abonamendua,,6140000.0,6144255.04
34009,Aldi baterako eta denboraldiko abonamenduak (Gamarra),,165000.0,45863.5
34010,Kirol instalazioak erabiltzea (erreserba eta salmenta),,1270000.0,377745.55
34012,Udal Folklore Akademiako matrikulak,,148920.0,36727.9
34013,Kultur ikastaro eta lantegiak,,306000.0,189708.46
34014,Antzokiko leihatilak,,840000.0,483595.15
34015,Ludoteketako zerbitzuak,,6691.2,6899.7
34016,"Ikus-entzunezko materiala eta argiztapen-materiala mailegatzea, gazteei",,8160.0,4778.96
34018,Lehendakaritzako lantegiak,,290700.0,158661.77
34020,Kirol kanpainetako abonatuak,,1370000.0,619944.5
34023,"Egonaldia, CAMAS",,40800.0,23303.39
34025,Adinekoentzako zentro soziokulturaletako bazkariak,,500000.0,210435.08
34026,Egoitzetako egonaldien likidazioa (3. adina),,62500.0,28107.29
34032,Lehendakaritzako sarrera salmenta,,0.0,4786.12
34038,Ezkontza-zerbitzua,,30000.0,11679.09
34039,Kudeaketa gastuen konpentsazioa,,1000000.0,0.0
34040,Autobus-geltoki berriko diru-sarrerak,,640000.0,314293.49
34041,Udalaren hiri-baratzeetan lursailak erabiltzea,,0.0,10154.42
34043,Bizikleta-aparkaleku seguruen kudeaketako diru-sarrerak,,0.0,2240.52
36003,UNESPA eta hitzartu gabeko konpainien kuota,,1040000.0,0.0
38001,Okerreko ordainketak itzultzea,,700000.0,642513.19
38002,Iragarki-argitalpenen gastuak itzultzea,,50000.0,845.6
38003,Aseguru-etxeek gastu eta kalte-ordainak itzultzea,,90956.25,90090.14
38004,Premiamendu-bideko kostuak itzultzea,,8000.0,1713.21
38005,Bide judizialeko kalte-ordainak itzultzea,,15000.0,0.0
38007,Laneko Arriskuen Prebentzioarako Zerbitzuaren itzulketa,,71035.0,0.0
38008,Zerbitzu-ustiapenen itzulketak,,0.0,58697.47
39101,Trafiko arau-hausteengatiko isunak,,5480000.0,2255454.1
39102,Prozedura zigortzaileetako diru-sarrerak,,805420.0,813243.65
39104,Lokaletako higiene- eta osasungarritasun-baldintzen arloko zigorrak,,100000.0,0.0
39201,Premiamendu-gainordainak,,950000.0,458485.24
39401,Auto-istripuek bide publikoan eragindako kalteak,,100000.0,47958.28
39402,Ekintza basatiek ondasunetan eragindako kalteak,,7500.0,14433.13
39404,Betearazte subsidiarioengatiko sarrerak,,90000.0,0.0
39405,Epai kostuek sortutako sarrerak,,25000.0,3163.32
