#Ekonomikoa,Diru-sarreren aplikazioaren izena,Hasierako kreditua 2019,Behin betiko kreditua 2019,DRN 2019
11201,Landa-lurreko Ondasun Higiezinen gaineko Zerga eta Gizarte Segurantza,,289346.45,288630.37
11202,Hiri-lurreko ondasun higiezinen gaineko zerga,,43445000.0,42697364.62
11203,Ezaugarri bereziko higiezinak,,470779.28,470616.44
11301,Trakzio Mekanikoko Ibilgailuen gaineko Zerga,,16425000.0,16073149.7
11401,Hiri-lurren Balio-gehikuntzaren gaineko Zerga,,15000000.0,11523573.34
13001,Ekonomi Jardueren gaineko Zerga,,14700000.0,13631596.55
13002,Probintziako eta Estatuko kuotetako partaidetza,,1450000.0,78612.18
28201,Eraikuntza eta instalazioen gaineko zergak,,7830000.0,6200785.1
28301,Ehiza esparruaren ustiapena,,2111.0,2111.0
30001,Erabilgarri ez diren ondasunak saltzea,,40000.0,207.4
30002,Argitalpen eta inprimakien salmenta,,1000.0,0.0
30004,Montehermosoko ondasun eta elementuen salmenta,,5000.0,2583.6
30006,Energia elektrikoa saltzea,,3000.0,0.0
30007,Turismo Bulegoko ondasunen salmenta,,25000.0,32182.92
31001,Zaborrak bildu eta suntsitzea,,10900000.0,10689679.32
31003,Hileta-zerbitzuak.,,625000.0,373086.57
31004,"Txostenak, atestatuak, fotokopiak, planoak eta antzekoak egitea",,285600.0,115040.17
31005,Ibilgailuak bide publikotik kentzea,,312120.0,276410.59
31008,Prebentzio eta Su Itzaltze Zerbitzua,,6120.0,2719.65
31013,Gardelegiko zabortegian hondakinak hustea,,4100000.0,3843621.23
31020,Hirigintza-kontsultei erantzutea,,15300.0,7336.04
31021,Etxeetakoez kanpoko ur zikinak isurtzea,,334060.2,221113.57
31022,Herritarren Udal Txartelaren kopia,,10404.0,13007.0
31023,Energia garraioa,,150000.0,0.0
31026,Osasun eta Kontsumo Sailak eskainitako zerbitzuak,,260100.0,152944.29
31027,Azterketa-tasak,,7140.0,50500.08
31028,Biokonpost-lantegia,,765000.0,0.0
