#Organikoa,Funtzionala,Ekonomikoa,R,Aplikazioaren izena,2019ko Hasierako kreditua,Behin betiko kreditua,Behartua
0110,9121,11000,,Kabineteko behin-behineko langileen ordainsariak,1075187.0,1075187.0,1157986.99
0110,9121,12000,,Funtzionarioen oinarrizko ordainsariak,73457.0,73457.0,78648.5
0110,9121,12100,,Funtzionarioen ordainsari osagarriak,115255.45,115255.45,119055.75
0110,9121,14100,,Bestelako langileak,0.0,0.0,16421.3
0110,9121,16000,,"Gizarte Segurantza, enpresaren kontura",379454.0,379454.0,403712.74
0110,9121,16500,,"Elkarkidetzako kuotak, Udalaren kontura",2815.0,2815.0,3313.63
0110,9123,22695,,Sindikoaren bulegoa. Bestelako hainbat gastu.,700.0,700.0,661.06
0110,9123,22699,,Bestelako hainbat gastu,1327.0,1327.0,840.63
0110,9221,22690,,Hauteskundeak 2019,0.0,199000.0,185054.26
0111,2328,11000,,Kabineteko behin-behineko langileen ordainsariak,85157.0,85157.0,0.0
0111,2328,12000,,Funtzionarioen oinarrizko ordainsariak,31282.0,31282.0,16582.87
0111,2328,12100,,Funtzionarioen ordainsari osagarriak,46668.0,46668.0,26485.46
0111,2328,14100,,Bestelako langileak,0.0,0.0,8027.64
0111,2328,16000,,"Gizarte Segurantza, enpresaren kontura",30927.0,30927.0,13599.13
0111,2328,16500,,"Elkarkidetzako kuotak, Udalaren kontura",3620.0,3620.0,1011.08
0111,4332,22707,,Azterlanak eta lan teknikoak,0.0,18000.0,17424.0
0112,2301,12000,,Funtzionarioen oinarrizko ordainsariak,279610.0,279610.0,190830.39
0112,2301,12100,,Funtzionarioen ordainsari osagarriak,351420.0,351420.0,244801.9
0112,2301,14100,,Bestelako langileak,39736.0,39736.0,68394.37
0112,2301,16000,,"Gizarte Segurantza, enpresaren kontura",177550.0,177550.0,148682.7
0112,2301,16500,,"Elkarkidetzako kuotak, Udalaren kontura",14353.0,14353.0,10606.98
0116,2371,12000,,Funtzionarioen oinarrizko ordainsariak,146944.0,146944.0,138588.1
0116,2371,12100,,Funtzionarioen ordainsari osagarriak,183559.0,183559.0,176262.2
0116,2371,14100,,Bestelako langileak,100360.0,100360.0,114650.26
0116,2371,16000,,"Gizarte Segurantza, enpresaren kontura",117911.0,117911.0,117928.6
0116,2371,16500,,"Elkarkidetzako kuotak, Udalaren kontura",7727.0,7727.0,7538.7
0116,2371,22115,,Berariazko material teknikoa - Gazteria,100.0,100.0,73.51
0116,2371,22734,,Aisialdi eta denbora libreko programa,373369.7,373369.7,392722.1
0116,2371,22736,,Gazteria Zerbitzuaren kontratua,123025.55,123025.55,122446.57
0116,2371,22737,,Gazteen Argibideetarako Udal Bulegoa,4000.0,4000.0,3976.4
0116,2371,22775,,Gazte Plana,129400.0,119400.0,96524.57
0116,2371,22775,R,Gazte Plana,0.0,16092.82,14248.42
0116,2371,41924,,Hitzarmena: Euskadiko Gazteria Kontseilua - Gazteen partaidetzaren sustapena,10500.0,10500.0,10500.0
0116,2371,48901,,Hitzarmena: Citylab Deusto,0.0,18000.0,18000.0
