#Organikoa,Funtzionala,Ekonomikoa,Aplikazioaren izena,Hasierako kreditua,Behin betiko kreditua,Behartua
0110,9121,11000,Kabineteko behin-behineko langileen ordainsariak,1019916.0,1019916.0,1115465.25
0110,9121,12000,Funtzionarioen oinarrizko ordainsariak,58341.0,58341.0,56643.38
0110,9121,12100,Funtzionarioen ordainsari osagarriak,92436.0,92436.0,96832.93
0110,9121,14100,Bestelako langileak,44234.0,44234.0,41269.15
0110,9121,16000,"Gizarte Segurantza, enpresaren kontura",350813.0,350813.0,375755.01
0110,9121,16500,"Elkarkidetzako kuotak, Udalaren kontura",3435.0,3435.0,4679.14
0110,9123,22699,Bestelako hainbat gastu,2000.0,2000.0,1524.95
0111,2328,11000,Kabineteko behin-behineko langileen ordainsariak,85021.0,85021.0,0.0
0111,2328,12000,Funtzionarioen oinarrizko ordainsariak,42213.0,42213.0,24737.34
0111,2328,12100,Funtzionarioen ordainsari osagarriak,54252.0,54252.0,32768.33
0111,2328,16000,"Gizarte Segurantza, enpresaren kontura",36838.0,36838.0,20210.68
0111,2328,16500,"Elkarkidetzako kuotak, Udalaren kontura",3084.0,3084.0,1960.84
0112,2301,12000,Funtzionarioen oinarrizko ordainsariak,183711.0,183711.0,240175.81
0112,2301,12100,Funtzionarioen ordainsari osagarriak,223611.0,223611.0,292745.33
0112,2301,14100,Bestelako langileak,49192.0,49192.0,46223.78
0112,2301,16000,"Gizarte Segurantza, enpresaren kontura",124734.0,124734.0,153525.24
0112,2301,16500,"Elkarkidetzako kuotak, Udalaren kontura",10951.0,10951.0,12668.5
0116,2371,12000,Funtzionarioen oinarrizko ordainsariak,122244.0,122244.0,124554.9
0116,2371,12100,Funtzionarioen ordainsari osagarriak,156903.0,156903.0,159155.25
0116,2371,14100,Bestelako langileak,164224.0,164224.0,125964.81
0116,2371,16000,"Gizarte Segurantza, enpresaren kontura",119601.0,119601.0,112200.73
0116,2371,16500,"Elkarkidetzako kuotak, Udalaren kontura",8445.0,8445.0,8334.65
0116,2371,22115,Berariazko material teknikoa - Gazteria,100.0,100.0,168.13
0116,2371,22734,Aisialdi eta denbora libreko programa - 16-30 urte,325000.0,373369.7,374155.73
0116,2371,22736,Gazteria Zerbitzuaren kontratua,123025.55,123025.55,120711.27
0116,2371,22737,Gazteen Argibideetarako Udal Bulegoa,4000.0,4000.0,3971.47
0116,2371,22775,Gazte Plana,70000.0,150000.0,147457.52
0125,9124,12000,Funtzionarioen oinarrizko ordainsariak,86613.0,86613.0,87725.3
0125,9124,12100,Funtzionarioen ordainsari osagarriak,125251.0,125251.0,129410.6
0125,9124,14100,Bestelako langileak,102804.0,102804.0,133657.62
0125,9124,16000,"Gizarte Segurantza, enpresaren kontura",86874.0,86874.0,88920.76
0125,9124,16500,"Elkarkidetzako kuotak, Udalaren kontura",3154.0,3154.0,3842.74
0126,9124,12000,Funtzionarioen oinarrizko ordainsariak,36173.0,36173.0,32404.6
0126,9124,12100,Funtzionarioen ordainsari osagarriak,43416.0,43416.0,45613.93
0126,9124,16000,"Gizarte Segurantza, enpresaren kontura",18673.0,18673.0,18624.71
0126,9124,16500,"Elkarkidetzako kuotak, Udalaren kontura",1897.0,1897.0,1960.84
0130,9201,12000,Funtzionarioen oinarrizko ordainsariak,195003.0,195003.0,173449.37
0130,9201,12100,Funtzionarioen ordainsari osagarriak,272242.0,272242.0,266785.66
0130,9201,16000,"Gizarte Segurantza, enpresaren kontura",82457.0,82457.0,85889.14
0130,9201,16500,"Elkarkidetzako kuotak, Udalaren kontura",10776.0,10776.0,10011.19
0130,9201,22610,Kalte-ordainak,15000.0,14000.0,0.0
0130,9201,22617,"Ordainsariak, minutak",30000.0,94904.4,108414.24
0145,9121,11000,Kabineteko behin-behineko langileen ordainsariak,146934.0,146934.0,237192.11
0145,9121,16000,"Gizarte Segurantza, enpresaren kontura",26597.0,26597.0,38339.04
0160,2381,12000,Funtzionarioen oinarrizko ordainsariak,90075.0,90075.0,70301.23
0160,2381,12100,Funtzionarioen ordainsari osagarriak,105478.0,105478.0,81812.24
0160,2381,14100,Bestelako langileak,62453.0,62453.0,101648.61
0160,2381,16000,"Gizarte Segurantza, enpresaren kontura",69042.0,69042.0,73457.05
0160,2381,16500,"Elkarkidetzako kuotak, Udalaren kontura",2456.0,2456.0,3540.41
0160,2381,22115,Berariazko material teknikoa,550.0,550.0,295.31
0160,2381,22710,III. Berdintasun Plana,0.0,0.0,0.0
0160,2381,22773,Berdintasunerako ikastaroak programatzea,40000.0,75000.0,50235.89
0160,2381,22775,"LGTBQ - 0 tolerantzia homofobia, lesbofobia eta transfobiarekin",0.0,50000.0,48790.91
0162,2391,12000,Funtzionarioen oinarrizko ordainsariak,35937.0,35937.0,37814.25
0162,2391,12100,Funtzionarioen ordainsari osagarriak,40902.0,40902.0,46068.85
0162,2391,14100,Bestelako langileak,49704.0,49704.0,78624.01
0162,2391,16000,"Gizarte Segurantza, enpresaren kontura",38965.0,38965.0,46765.26
0162,2391,16500,"Elkarkidetzako kuotak, Udalaren kontura",983.0,983.0,980.42
0162,2391,22696,Euskal fondoaren kuota,11237.4,11237.4,11237.4
0162,2391,22699,Lankidetzako bestelako hainbat gastu,16000.0,16000.0,8037.23
0162,2391,22707,Azterlanak eta lan teknikoak,36000.0,36000.0,35795.05
0162,2391,22799,Kanpoko beste zenbait lan,30000.0,30000.0,26464.25
0162,2391,23002,Joan-etorrietako gastuak,5000.0,5000.0,0.0
0171,3351,12000,Funtzionarioen oinarrizko ordainsariak,181401.0,181401.0,150885.56
0171,3351,12100,Funtzionarioen ordainsari osagarriak,212862.0,212862.0,180790.79
0171,3351,14100,Bestelako langileak,87639.0,87639.0,80983.92
0171,3351,16000,"Gizarte Segurantza, enpresaren kontura",131181.0,131181.0,120721.36
0171,3351,16500,"Elkarkidetzako kuotak, Udalaren kontura",9088.0,9088.0,6682.87
0171,3351,22741,Gurasoentzako euskara eskolak,500000.0,500000.0,421930.15
0171,3351,22748,Euskararen Astea,25000.0,25000.0,24313.86
0171,3351,22780,Euskara plana,200044.8,180044.8,160706.76
0171,3351,22781,Ordenantzaren debatea dinamizatzea,0.0,0.0,0.0
0171,3351,22799,"Kanpoko itzulpenak, euskera",15000.0,15000.0,1998.92
