#Orgánico,Funcional,Económico,R,Denominación Aplicación,Crédito Inicial 2022,Crédito Definitivo 2022,Obligado 
0110,9121,11000,,Retribuciones personal eventual gabinete,1147478.86,1147478.86,620686.53
0110,9121,12000,,Retribuciones básicas de funcionariosinete,79927.0,79927.0,49580.67
0110,9121,12100,,Retribuciones complementarias funcionarios,118544.0,118544.0,73568.53
0110,9121,14100,,Otro personal,31027.0,31027.0,0.0
0110,9121,16000,,Seguridad social a cargo del ayuntamiento,423570.0,423570.0,221443.27
0110,9121,16500,,Cuotas Elkarkidetza a cargo ayuntamiento,2963.0,2963.0,2279.92
0110,9123,22695,,Otros gastos diversos oficina sindica,900.0,900.0,700.0
0110,9123,22699,,Otros gastos diversos,2000.0,2000.0,1402.0
0111,2328,11000,,Retribuciones personal eventual gabinete,83125.0,83125.0,0.0
0111,2328,12000,,Retribuciones básicas de funcionariosinete,71727.0,71727.0,8574.67
0111,2328,12100,,Retribuciones complementarias funcionarios,74478.0,74478.0,13160.69
0111,2328,16000,,Seguridad social a cargo del ayuntamiento,54293.0,54293.0,5999.71
0111,2328,16500,,Cuotas Elkarkidetza a cargo ayuntamiento,1559.0,1559.0,519.82
0111,3341,22704,,Patrocinio ironman Vitoria-Gasteiz,0.0,0.0,0.0
0111,3411,22704,,Patrocinio ironman Vitoria-Gasteiz,125000.0,125000.0,0.0
0111,4332,22701,,Impulso a proyectos comunitarios,20000.0,20000.0,0.0
0111,4332,22702,,10º aniversario green capital,100000.0,100000.0,3563.45
0111,4332,22707,,Estudios y trabajos técnicos,40000.0,40000.0,435.07
0111,4332,22743,,Proyectos estratégicos y eventos ciudad,200000.0,200000.0,36023.45
0111,4332,41401,,Bilbao Ekintza Tour de France,100000.0,100000.0,100000.0
0111,4332,48160,,Convenio green deal,40000.0,30000.0,0.0
0112,2301,12000,,Retribuciones básicas de funcionariosinete,150255.0,150255.0,67655.06
0112,2301,12100,,Retribuciones complementarias funcionarios,192050.0,192050.0,82781.99
0112,2301,14100,,Otro personal,32150.0,32150.0,25499.11
0112,2301,16000,,Seguridad social a cargo del ayuntamiento,113260.0,113260.0,50188.06
0112,2301,16500,,Cuotas Elkarkidetza a cargo ayuntamiento,7594.0,7594.0,2739.92
0116,2371,12000,,Retribuciones básicas de funcionariosinete,149609.0,149609.0,80006.78
0116,2371,12100,,Retribuciones complementarias funcionarios,186347.0,186347.0,98454.22
0116,2371,14100,,Otro personal,108921.0,108921.0,44463.27
0116,2371,16000,,Seguridad social a cargo del ayuntamiento,119225.0,119225.0,58983.08
0116,2371,16500,,Cuotas Elkarkidetza a cargo ayuntamiento,7984.0,7984.0,3972.29
0116,2371,22115,,Material técnico específico,100.0,100.0,0.0
0116,2371,22734,,Programa de ocio y tiempo libre,364000.0,364000.0,101474.12
0116,2371,22736,,Contrato servicios juventud,185804.22,185804.22,67186.9
0116,2371,22737,,Oficina municipal de información joven,18000.0,18000.0,3902.69
0116,2371,22775,,Plan joven,80000.0,75000.0,17475.56
0116,2371,41924,,Convenio consejo juventud Euskadi-fomento participación juvenil,10500.0,10500.0,0.0
0116,2371,41924,R,Convenio consejo juventud Euskadi-fomento participación juvenil,0.0,2100.0,0.0
0116,2371,48935,,Convocatoria general de subvenciones,30000.0,30000.0,0.0
0116,2371,48935,R,Convocatoria general de subvenciones,0.0,4400.0,2844.0
0116,2371,48936,,Convocatoria jóvenes informadores en EEMM,11000.0,11000.0,0.0
0116,2371,48936,R,Convocatoria jóvenes informadores en EEMM,0.0,5000.0,5000.0
0116,2371,62505,,Otros enseres,1000.0,1000.0,0.0
0116,2371,62800,,Adquisición publicaciones y libros,500.0,500.0,0.0
0125,9124,12000,,Retribuciones básicas de funcionariosinete,117368.0,117368.0,66886.39
0125,9124,12100,,Retribuciones complementarias funcionarios,192325.0,192325.0,101828.31
0125,9124,14100,,Otro personal,85565.0,85565.0,35920.61
0125,9124,16000,,Seguridad social a cargo del ayuntamiento,98847.0,98847.0,50406.57
0125,9124,16500,,Cuotas Elkarkidetza a cargo ayuntamiento,5970.0,5970.0,3247.57
0126,9124,12000,,Retribuciones básicas de funcionariosinete,19295.0,19295.0,0.0
0126,9124,12100,,Retribuciones complementarias funcionarios,26303.0,26303.0,0.0
0126,9124,16000,,Seguridad social a cargo del ayuntamiento,14067.0,14067.0,0.0
0130,9201,11000,,Retribuciones personal eventual gabinete,87446.0,87446.0,44067.29
0130,9201,12000,,Retribuciones básicas de funcionariosinete,222108.0,222108.0,109584.33
0130,9201,12100,,Retribuciones complementarias funcionarios,328406.0,328406.0,155160.17
0130,9201,14100,,Otro personal,19451.0,19451.0,17203.25
0130,9201,16000,,Seguridad social a cargo del ayuntamiento,131209.0,131209.0,67120.29
0130,9201,16500,,Cuotas Elkarkidetza a cargo ayuntamiento,10401.0,10401.0,5546.4
0130,9201,22610,,Indemnizaciones,1000.0,1000.0,4984.66
0130,9201,22617,,Honorarios y minutas,30000.0,30000.0,13004.91
0130,9201,62800,,Adquisición publicaciones y libros,15000.0,15000.0,11150.67
0145,9121,11000,,Retribuciones personal eventual gabinete,245192.0,245192.0,126928.07
0145,9121,16000,,Seguridad social a cargo del ayuntamiento,45849.0,45849.0,23396.22
0160,2381,12000,,Retribuciones básicas de funcionariosinete,108321.0,108321.0,54007.22
0160,2381,12100,,Retribuciones complementarias funcionarios,122120.0,122120.0,60173.03
0160,2381,14100,,Otro personal,108274.0,108274.0,56408.59
0160,2381,16000,,Seguridad social a cargo del ayuntamiento,93748.0,93748.0,46363.82
0160,2381,16500,,Cuotas Elkarkidetza a cargo ayuntamiento,5554.0,5554.0,2909.41
0160,2381,22711,,Plan para la igualdad,65000.0,65000.0,21489.94
0160,2381,22712,,Casa-escuela empoderamiento feminista,210000.0,222000.0,104799.33
0160,2381,22713,,Prevención y atención violencia machista,80000.0,104900.0,6062.73
0160,2381,22714,,Agenda diversidad sexual y de género,40000.0,40000.0,16859.04
0160,2381,48120,,Convenio observatorio LGTBI,80000.0,80000.0,80000.0
0160,2381,48139,,Convocatoria de subvenciones a Asoc. mujeres,85000.0,85000.0,0.0
0160,2381,48139,R,Convocatoria de subvenciones a Asoc. mujeres,0.0,11120.81,9937.49
0160,2381,62925,,Observatorio LGTBI,5000.0,5000.0,0.0
0171,3351,12000,,Retribuciones básicas de funcionariosinete,180993.0,180993.0,97190.16
0171,3351,12100,,Retribuciones complementarias funcionarios,199893.0,199893.0,110177.39
