#Económico,Denominación Aplicación Ingresos,C.DEFINITVO,DRN NETOS
11201,Impuesto B. Inmuebles naturaleza rústica,295000.0,419.29
11202,Impuesto B. Inmuebles naturaleza urbana,44972000.0,38626.66
11203,Impuesto características especiales,475000.0,0.0
11301,Impuesto sobre vehículos tracción mecánica,16500000.0,15373821.83
11401,Impuesto sobre incremento valor terrenos,15150000.0,-748842.37
13001,Impuesto sobre actividades económicas,14415000.0,185094.57
13002,Participación en cuotas provinciales y estatales,1450000.0,0.0
28201,Impuestos sobre construcciones e instalaciones,10270000.0,2553263.03
28301,Aprovechamiento del coto de caza,2111.0,0.0
30001,Venta de efectos no utilizables,20000.0,0.0
30002,Venta de publicaciones e impresos,7000.0,0.0
30004,Venta de bienes y efectos en Montehermoso,5000.0,0.0
30006,Venta de energía eléctrica,0.0,2553.96
30007,Venta de bienes y efectos oficina de turismo,50000.0,8210.12
31001,Recogida y eliminación de basuras,11000000.0,9222.21
31003,Servicios funerarios,606000.0,414467.97
31004,"Expedición de informes, atestados, fotocopias, planos y similares",200000.0,3529.63
31005,Retirada de vehículos de la vía pública,318150.0,290.15
31008,Servicio de prevención y extinción de incendios,10100.0,1425.28
31013,Vertido de residuos en vertedero de Gardelegi,5090000.0,1050554.26
31020,Evacuación de consultas urbanísticas,8080.0,2193.94
31021,Vertido de aguas residuales no domésticas,250000.0,49.2
31022,Duplicado TMC,5000.0,1471.2
31026,Prestación servicios salud pública,86000.0,12740.27
31027,Tasas de exámenes,90000.0,0.0
31028,Planta biocompost,2265000.0,550480.09
31029,Recogida selectiva de envases y residuos,1550000.0,288045.43
31101,Licencias de apertura de establecimientos,303000.0,91051.69
31105,OTA,0.0,56.94
31201,Otorgamiento de licencias urbanísticas,435000.0,124217.94
32001,OTA - estacionamiento de vehículos en vías públicas,2010000.0,386282.53
32005,Cesiones de terrenos cementerio El Salvador,232300.0,47719.12
32102,Quioscos en vía pública,2626.0,477.3
32103,"Vallas, andamios, contenedores, material construcción, en vía pública",600000.0,119416.04
32104,Veladores en vía pública,300000.0,2771.44
32105,Instalaciones en vía pública,300000.0,90186.82
32107,Apertura de calicatas y zanjas,20200.0,5404.01
32109,"Ocupación del suelo, subsuelo y vuelo",100000.0,60459.79
32110,"Ocupación suelo, subsuelo, vuelo empr explotadora suministros",3775000.0,1213203.85
32111,"Utilización del Palacio de Congresos, Principal, Pza toros...",80800.0,29034.07
32112,Utilización de salas en centros cívicos,126250.0,20925.72
32113,Uso salas en centro empresas Jundiz,10100.0,4102.07
32114,Uso espacios en CSCM,1010.0,145.36
32115,Transporte de energía,300000.0,0.0
32201,Entrada de vehículos por las aceras y reservas de la vía pública para aparcamien,1641250.0,722692.75
34001,Talleres salud pública,15500.0,2510.15
34002,"Escuelas infantiles, colonias abiertas y rincones de juego",412000.0,99470.51
34004,Asistencia a domicilio 3ª edad,2696133.0,353682.19
34005,Estancias residencias 3ª edad,3260000.0,778497.92
34006,Talleres de intervención social,60000.0,2022.71
34007,Formación ocupacional,24000.0,6036.64
34008,Abono instalaciones Mendizorrotza,5959000.0,5925296.51
34009,Abonos temporales y de temporada (Gamarra),60000.0,128.2
34010,Utilización instalaciones deportivas (reserva y venta),675000.0,162848.89
34012,Matrículas en la Academia mpal. de Folklore,80000.0,24917.39
34013,Cursos y talleres de cultura,225000.0,28738.03
34014,Taquillas  teatro,600000.0,127958.53
34015,Prestación de servicios de ludotecas,11110.0,5419.48
34016,Préstamos de material audiovisual e iluminación de juventud,6180.0,597.63
34018,Talleres de presidencia,185000.0,20939.42
34020,Abonados a campañas deportivas,875500.0,220063.22
34023,Estancia en el C.A.M.A.S.,60000.0,12047.61
34024,Estancias en pisos tutelados,0.0,2063.57
34025,Comidas centro socioculturales de mayores,2550.0,214.28
34026,Liquidación estancias en residencias 3ª edad,60000.0,6394.26
34029,Cursos y actividades formativas,7950.0,0.0
34032,Venta de entradas presidencia,6870.35,553.9
34038,Servicio de bodas,12120.0,6774.94
34039,Compensación gastos de gestión,450000.0,0.0
34040,Ingresos estación de autobuses,750000.0,90450.22
34041,Uso de parcelas en huertos urbanos,10100.0,9541.38
34043,Ingresos aparcamientos de bicicletas seguros,8000.0,5280.37
36100,Extinción incendios - cuota UNESPA y cías no conveniadas,1100000.0,58206.05
38001,Reintegro por pagos,820000.0,230689.21
38002,Reintegros gastos por publicaciones en anuncios,15000.0,15856.56
38003,Reintegro de gastos o indemnizaciones de cías. aseguradoras,150001.0,169485.95
38004,Reintegros por costas de la vía de apremio,8000.0,713.34
38005,Reintegro indemnizaciones vía judicial,1000.0,180.0
38008,Reintegro explotaciones de servicios,126000.0,43316.61
39101,Multas por infracciones de tráfico,5280000.0,1124511.91
39102,Ingresos por procedimientos sancionadores,1600000.0,515915.42
39201,Recargos de apremio,1030000.0,223062.97
39401,Daños en vía pública por accidentes de vehículos,90000.0,28743.33
39402,Daños en bienes mpales.por actos vandálicos,15000.0,1386.75
39403,Actuaciones del seis por limpieza de calzadas por accid,0.0,822.02
39404,Ingresos ejecuciones subsidiarias,40000.0,0.0
39405,Ingresos derivados de costas judiciales,25000.0,2406.4
39601,Ingresos  empresas de telefonía,850000.0,207197.77
39902,Otros ingresos diversos,125000.0,-735.0
39903,Intereses demora ejercicios anteriores,1000.0,0.0
39906,Donativos Belén de La Florida,1.0,5864.71
39907,Ingresos rifa San Antón,1.0,8269.0
39909,Participación ingresos aparcamientos,25000.0,0.0
400,Transferencias de la administración general,4663023.3,0.0
40000,De la Admón. General,2992745.04,0.0
41000,Del Gobierno Vasco,19325154.61,214971.06
42000,De la Diputación Foral de Alava,8218492.84,4112183.01
42001,FOFEL,188785967.91,47328101.17
42002,Liquidación FOFEL,0.0,32027315.78
48000,De familias,106500.0,0.0
49000,De entes de la Unión Europea,62625.0,0.0
54001,Rentas arrendamientos fincas urbanas Ayto,105000.0,11465.46
54002,Arrendamiento locales semillero de empresas,125000.0,32516.88
54003,Arrendamiento Plaza de toros,25000.0,0.0
54004,Servicio hostelería en inmuebles municipales,23000.0,37275.71
55000,Productos de concesiones,575000.0,102200.52
55004,Cesión de uso plazas aparcamiento,28000.0,0.0
59002,Utilización de terrenos,40000.0,0.0
60300,Venta de terrenos PMS (incluidos honorarios de proy. básicos),4215317.42,0.0
61200,De edificios y otras construcciones,5237000.0,0.0
71000,Del Gobierno Vasco,10429741.39,21375.0
72000,De la Diputación Foral de Alava,8753161.23,0.0
73000,Entes públicos dentro término municipal,0.0,35066.43
87001,Remanente de tesorería para gastos generales,14677531.35,0.0
87002,Remanente de tesorería para gastos financiación afectada,17564888.53,0.0
93301,Préstamos para la financiación de inversiones,11250000.0,0.0
