#Orgánico,Funcional,Económico,R,Denominación Aplicación,Crédito Inicial 2022,Crédito Definitivo 2022,Obligado 
0110,9121,11000,,Retribuciones personal eventual gabinete,1147478.86,1147478.86,1289642.92
0110,9121,12000,,Retribuciones basicas de funcionarios,79927.0,2779927.0,103944.5
0110,9121,12100,,Retribuciones complementarias funcionarios,118544.0,118544.0,153214.17
0110,9121,14100,,Otro personal,31027.0,31027.0,124.51
0110,9121,16000,,Seguridad social a cargo del ayuntamiento,423570.0,423570.0,456366.81
0110,9121,16500,,Cuotas elkarkidetza a cargo ayuntamiento,2963.0,2963.0,4708.36
0110,9123,22695,,Otros gastos diversos oficina sindica,900.0,900.0,734.01
0110,9123,22699,,Otros gastos diversos,2000.0,2000.0,2100.33
0111,1341,62705,,Eu ciudades conectadas,0.0,937750.24,0.0
0111,2328,11000,,Retribuciones personal eventual gabinete,83125.0,83125.0,0.0
0111,2328,12000,,Retribuciones basicas de funcionarios,71727.0,71727.0,18020.69
0111,2328,12100,,Retribuciones complementarias funcionarios,74478.0,74478.0,27937.76
0111,2328,14100,,Otro personal,0.0,0.0,49.64
0111,2328,16000,,Seguridad social a cargo del ayuntamiento,54293.0,54293.0,12326.25
0111,2328,16500,,Cuotas elkarkidetza a cargo ayuntamiento,1559.0,1559.0,1039.64
0111,3341,22704,,Patrocinio ironman vitoria-gasteiz,0.0,0.0,0.0
0111,3411,22704,,Patrocinio ironman vitoria-gasteiz,125000.0,125000.0,125000.0
0111,4332,22701,,Impulso a proyectos comunitarios,20000.0,20000.0,0.0
0111,4332,22702,,10º aniversario green capital,100000.0,270000.0,264917.69
0111,4332,22703,,Patrocinio concierto hertzainak,0.0,30250.0,0.0
0111,4332,22707,,Estudios y trabajos tecnicos,40000.0,50000.0,41522.45
0111,4332,22743,,Proyectos estratégicos y eventos ciudad,200000.0,197500.0,208796.08
0111,4332,41401,,Bilbao ekintza tour de france,100000.0,100000.0,100000.0
0111,4332,48160,,Convenio green deal,40000.0,10000.0,10000.0
0111,9204,22725,,Eu - oficina del dato,0.0,140000.0,0.0
0112,2301,12000,,Retribuciones basicas de funcionarios,150255.0,150255.0,142814.08
0112,2301,12100,,Retribuciones complementarias funcionarios,192050.0,192050.0,172044.22
0112,2301,14100,,Otro personal,32150.0,32150.0,53846.71
0112,2301,16000,,Seguridad social a cargo del ayuntamiento,113260.0,113260.0,103094.51
0112,2301,16500,,Cuotas elkarkidetza a cargo ayuntamiento,7594.0,7594.0,5482.76
0116,2371,12000,,Retribuciones basicas de funcionarios,149609.0,149609.0,162912.79
0116,2371,12100,,Retribuciones complementarias funcionarios,186347.0,186347.0,201018.92
0116,2371,14100,,Otro personal,108921.0,108921.0,67484.83
0116,2371,16000,,Seguridad social a cargo del ayuntamiento,119225.0,119225.0,112228.41
0116,2371,16500,,Cuotas elkarkidetza a cargo ayuntamiento,7984.0,7984.0,6791.19
0116,2371,22115,,Material tecnico especifico,100.0,100.0,0.0
0116,2371,22734,,Programa de ocio y tiempo libre,364000.0,364000.0,342696.31
0116,2371,22736,,Contrato servicios juventud,185804.22,185804.22,182375.37
0116,2371,22737,,Oficina municipal de informacion joven,18000.0,18000.0,17981.01
0116,2371,22775,,Plan joven,80000.0,75000.0,71029.37
0116,2371,41924,,Convenio consejo juventud euskadi-fomento participacion juvenil,10500.0,10500.0,8400.0
0116,2371,41924,R,Convenio consejo juventud euskadi-fomento participacion juvenil,0.0,2100.0,2100.0
0116,2371,48935,,Convocatoria general de subvenciones,30000.0,30000.0,24600.0
0116,2371,48935,R,Convocatoria general de subvenciones,0.0,4400.0,3583.91
0116,2371,48936,,Convocatoria jovenes informadores en eemm,11000.0,11000.0,5250.0
0116,2371,48936,R,Convocatoria jovenes informadores en eemm,0.0,5000.0,5000.0
0116,2371,62505,,Otros enseres,1000.0,1000.0,897.36
0116,2371,62800,,Adquisicion publicaciones y libros,500.0,500.0,489.73
0125,9124,12000,,Retribuciones basicas de funcionarios,117368.0,117368.0,133819.27
0125,9124,12100,,Retribuciones complementarias funcionarios,192325.0,192325.0,202932.22
0125,9124,14100,,Otro personal,85565.0,85565.0,65058.83
0125,9124,16000,,Seguridad social a cargo del ayuntamiento,98847.0,98847.0,97465.23
0125,9124,16500,,Cuotas elkarkidetza a cargo ayuntamiento,5970.0,5970.0,6529.52
0126,9124,12000,,Retribuciones basicas de funcionarios,19295.0,19295.0,0.0
0126,9124,12100,,Retribuciones complementarias funcionarios,26303.0,26303.0,0.0
0126,9124,16000,,Seguridad social a cargo del ayuntamiento,14067.0,14067.0,0.0
0130,9201,11000,,Retribuciones personal eventual gabinete,87446.0,87446.0,90637.39
0130,9201,12000,,Retribuciones basicas de funcionarios,222108.0,222108.0,222250.52
0130,9201,12100,,Retribuciones complementarias funcionarios,328406.0,328406.0,331086.12
0130,9201,14100,,Otro personal,19451.0,19451.0,57294.95
0130,9201,16000,,Seguridad social a cargo del ayuntamiento,131209.0,131209.0,138033.45
0130,9201,16500,,Cuotas elkarkidetza a cargo ayuntamiento,10401.0,10401.0,10944.28
0130,9201,22610,,Indemnizaciones,1000.0,1000.0,4984.66
0130,9201,22617,,Honorarios y minutas,30000.0,45000.0,40027.8
0130,9201,62800,,Adquisicion publicaciones y libros,15000.0,15000.0,13861.07
0145,9121,11000,,Retribuciones personal eventual gabinete,245192.0,245192.0,261623.95
0145,9121,16000,,Seguridad social a cargo del ayuntamiento,45849.0,45849.0,46792.44
0160,2381,12000,,Retribuciones basicas de funcionarios,108321.0,108321.0,112590.69
0160,2381,12100,,Retribuciones complementarias funcionarios,122120.0,191458.0,125322.76
0160,2381,14100,,Otro personal,108274.0,108274.0,117172.48
0160,2381,16000,,Seguridad social a cargo del ayuntamiento,93748.0,93748.0,94226.56
0160,2381,16500,,Cuotas elkarkidetza a cargo ayuntamiento,5554.0,5554.0,5728.31
0160,2381,22711,,Plan para la igualdad,65000.0,65000.0,57995.71
0160,2381,22712,,Casa-escuela empoderamiento feminista,210000.0,222000.0,222211.58
0160,2381,22713,,Prevención y atención violencia machista,80000.0,104900.0,109885.56
0160,2381,22714,,Agenda diversidad sexual y de genero,40000.0,40000.0,28755.37
0160,2381,48120,,Convenio observatorio lgtbi,80000.0,80000.0,80000.0
0160,2381,48139,,Convocatoria de subvenciones a asoc. mujeres,85000.0,85000.0,67999.99
0160,2381,48139,R,Convocatoria de subvenciones a asoc. mujeres,0.0,11120.81,9937.49
0160,2381,62925,,Observatorio lgtbi,5000.0,5000.0,4995.1
0171,3351,12000,,Retribuciones basicas de funcionarios,180993.0,180993.0,197797.35
0171,3351,12100,,Retribuciones complementarias funcionarios,199893.0,199893.0,225743.43
0171,3351,14100,,Otro personal,79871.0,79871.0,45320.09
0171,3351,16000,,Seguridad social a cargo del ayuntamiento,139164.0,139164.0,129862.75
0171,3351,16500,,Cuotas elkarkidetza a cargo ayuntamiento,8368.0,8368.0,7602.84
0171,3351,22111,,Otros enseres,1500.0,1500.0,675.28
0171,3351,22741,,Cursos de euskera para madres y padres,315000.0,339000.0,306613.57
0171,3351,22742,,Udal langileentzako ikastaroak,8500.0,8500.0,805.0
0171,3351,22780,,Plan euskera,200000.0,212500.0,179047.11
0171,3351,22799,,Traducciones externas euskera,10000.0,10000.0,4386.56
0171,3351,41803,,Convenio euskaltzaindia,63000.0,63000.0,50400.0
0171,3351,41803,R,Convenio euskaltzaindia,0.0,12600.0,12600.0
0171,3351,42302,,Convenio con la camara de comercio,0.0,10500.0,8400.0
0171,3351,48001,,Subvenciones a particulares para estudios de euskera,150000.0,150000.0,148696.41
