#Orgánico,Funcional,Económico,R,Denominación Aplicación,Crédito Inicial 2023,Crédito Inicial 2023
0110,9121,11000,,Retribuciones personal eventual gabinete,1219221.42,1219221.42
0110,9121,12000,,Retribuciones basicas de funcionarios,82944.0,82944.0
0110,9121,12100,,Retribuciones complementarias funcionarios,120857.0,120857.0
0110,9121,16000,,Seguridad social a cargo del ayuntamiento,434093.0,434093.0
0110,9121,16500,,Cuotas elkarkidetza a cargo ayuntamiento,4920.0,4920.0
0110,9123,22695,,Otros gastos diversos oficina sindica,900.0,900.0
0110,9123,22699,,Otros gastos diversos,2000.0,2000.0
0111,2328,11000,,Retribuciones personal eventual gabinete,81115.0,81115.0
0111,2328,12000,,Retribuciones basicas de funcionarios,96224.0,96224.0
0111,2328,12100,,Retribuciones complementarias funcionarios,106879.0,106879.0
0111,2328,16000,,Seguridad social a cargo del ayuntamiento,68801.0,68801.0
0111,2328,16500,,Cuotas elkarkidetza a cargo ayuntamiento,3243.0,3243.0
0111,3411,22704,,Patrocinio ironman vitoria-gasteiz,125000.0,125000.0
0111,4332,22707,,Estudios y trabajos tecnicos,110000.0,110000.0
0111,4332,22743,,Proyectos estratégicos y eventos ciudad,110000.0,110000.0
0111,4332,41401,,Bilbao ekintza tour de france,425000.0,425000.0
0111,4332,47142,,Convenio hibridalab,60000.0,60000.0
0111,4332,48160,,Convenio green deal,30000.0,30000.0
0111,9204,22725,,Eu oficina del dato,90000.0,90000.0
0112,2301,12000,,Retribuciones basicas de funcionarios,149982.0,149982.0
0112,2301,12100,,Retribuciones complementarias funcionarios,173430.0,173430.0
0112,2301,14100,,Otro personal,34861.0,34861.0
0112,2301,16000,,Seguridad social a cargo del ayuntamiento,99632.0,99632.0
0112,2301,16500,,Cuotas elkarkidetza a cargo ayuntamiento,5115.0,5115.0
0116,2371,12000,,Retribuciones basicas de funcionarios,151481.0,151481.0
0116,2371,12100,,Retribuciones complementarias funcionarios,186824.0,186824.0
0116,2371,14100,,Otro personal,39856.0,39856.0
0116,2371,16000,,Seguridad social a cargo del ayuntamiento,101460.0,101460.0
0116,2371,16500,,Cuotas elkarkidetza a cargo ayuntamiento,5419.0,5419.0
0116,2371,22115,,Material tecnico especifico,100.0,100.0
0116,2371,22734,,Programa de ocio y tiempo libre,370000.0,370000.0
0116,2371,22736,,Contrato servicios juventud,219801.0,219801.0
0116,2371,22737,,Oficina municipal de informacion joven,15000.0,15000.0
0116,2371,22775,,Plan joven,89540.0,89540.0
0116,2371,41924,,Convenio consejo juventud euskadi-fomento participacion juvenil,10500.0,10500.0
0116,2371,48935,,Convocatoria general de subvenciones,30000.0,30000.0
0116,2371,48936,,Convocatoria jovenes informadores en eemm,11000.0,11000.0
0116,2371,62505,,Otros enseres,1000.0,1000.0
0116,2371,62800,,Adquisicion publicaciones y libros,500.0,500.0
0125,9124,12000,,Retribuciones basicas de funcionarios,142568.0,142568.0
0125,9124,12100,,Retribuciones complementarias funcionarios,215815.0,215815.0
0125,9124,14100,,Otro personal,75602.0,75602.0
0125,9124,16000,,Seguridad social a cargo del ayuntamiento,104721.0,104721.0
0125,9124,16500,,Cuotas elkarkidetza a cargo ayuntamiento,7367.0,7367.0
0126,9124,12000,,Retribuciones basicas de funcionarios,4369.0,4369.0
0126,9124,12100,,Retribuciones complementarias funcionarios,8574.0,8574.0
0126,9124,16000,,Seguridad social a cargo del ayuntamiento,687.0,687.0
0130,9201,11000,,Retribuciones personal eventual gabinete,92176.0,92176.0
0130,9201,12000,,Retribuciones basicas de funcionarios,229380.0,229380.0
0130,9201,12100,,Retribuciones complementarias funcionarios,336535.0,336535.0
0130,9201,14100,,Otro personal,45854.0,45854.0
0130,9201,16000,,Seguridad social a cargo del ayuntamiento,142326.0,142326.0
0130,9201,16500,,Cuotas elkarkidetza a cargo ayuntamiento,10878.0,10878.0
0130,9201,22610,,Indemnizaciones,1000.0,1000.0
0130,9201,22617,,Honorarios y minutas,30000.0,30000.0
0130,9201,62800,,Adquisicion publicaciones y libros,15000.0,15000.0
0145,9121,11000,,Retribuciones personal eventual gabinete,266137.0,266137.0
0145,9121,16000,,Seguridad social a cargo del ayuntamiento,48898.0,48898.0
0160,2381,12000,,Retribuciones basicas de funcionarios,135160.0,135160.0
0160,2381,12100,,Retribuciones complementarias funcionarios,153529.0,153529.0
0160,2381,14100,,Otro personal,72602.0,72602.0
0160,2381,16000,,Seguridad social a cargo del ayuntamiento,97395.0,97395.0
0160,2381,16500,,Cuotas elkarkidetza a cargo ayuntamiento,5986.0,5986.0
0160,2381,22711,,Plan para la igualdad,65000.0,65000.0
0160,2381,22712,,Casa-escuela empoderamiento feminista,217125.0,217125.0
0160,2381,22713,,Prevención y atención violencia machista,80000.0,80000.0
0160,2381,22714,,Agenda diversidad sexual y de genero,40000.0,40000.0
0160,2381,48120,,Convenio observatorio lgtbi,100000.0,100000.0
0160,2381,48139,,Convocatoria de subvenciones a asoc. mujeres,85000.0,85000.0
0160,2381,62925,,Edificios igualdad,5000.0,5000.0
0171,3351,12000,,Retribuciones basicas de funcionarios,207515.0,207515.0
0171,3351,12100,,Retribuciones complementarias funcionarios,234770.0,234770.0
0171,3351,14100,,Otro personal,45770.0,45770.0
0171,3351,16000,,Seguridad social a cargo del ayuntamiento,133438.0,133438.0
0171,3351,16500,,Cuotas elkarkidetza a cargo ayuntamiento,7945.0,7945.0
0171,3351,22111,,Otros enseres,1500.0,1500.0
0171,3351,22741,,Cursos de euskera para madres y padres,560000.0,560000.0
0171,3351,22742,,Udal langileentzako ikastaroak,8500.0,8500.0
0171,3351,22780,,Plan euskera,195500.0,195500.0
0171,3351,22799,,Traducciones externas euskera,10000.0,10000.0
0171,3351,41803,,Convenio euskaltzaindia,63000.0,63000.0
0171,3351,42302,,Convenio con la camara de comercio,10500.0,10500.0
0171,3351,48001,,Subvenciones a particulares para estudios de euskera,150000.0,150000.0
0171,3351,48002,,Becas y bolsas de estudio al personal,30000.0,30000.0
0171,3351,48005,,Subvencion plan general uso del euskera,120000.0,120000.0
