#Económico,Denominacion Aplicacion Ingresos,C.DEFINITIVO
11201,Impuesto b.inmuebles naturaleza rustica,295000.0
11202,Impuesto b.inmuebles naturaleza urbana,44875000.0
11203,Impuesto caracteristicasespeciales,475000.0
11301,Impuesto sobre vehiculos traccion mecanica,16250000.0
11401,Impuesto sobre incremento valor terrenos,15150000.0
13001,Impuesto sobre actividades economicas,14515000.0
13002,Participacion en cuotas provinciales y estatales,1450000.0
28201,Impuestos sobre construcciones e instalaciones,11465000.0
28301,Aprovechamiento del coto de caza,2111.0
30001,Venta de efectos no utilizables,10000.0
30002,Venta de publicaciones e impresos,5000.0
30004,Venta de bienes y efectos en montehermoso,5000.0
30007,Venta de bienes y efectos oficina de turismo,50000.0
31001,Recogida y eliminacion de basuras,11075000.0
31003,Servicios funerarios,625000.0
31004,"Expedición de informes, atestados, fotocopias, planos y similares",200000.0
31005,Retirada de vehículos de la vía pública,455000.0
31008,Servicio de prevención y extinción de incendios,10100.0
31013,Vertido de residuos en vertedero de gardelegi,5215000.0
31020,Evacuación de consultas urbanísticas,8080.0
31021,Vertido de aguas residuales no domesticas,250000.0
31022,Duplicado tmc,8000.0
31026,Prestación servicios salud publica,50000.0
31027,Tasas de exámenes,50000.0
31028,Planta biocompost,2390000.0
31029,Recogida selectiva de envases y residuos,1663000.0
31101,Licencias de apertura de establecimientos,303000.0
31201,Otorgamiento de licencias urbanísticas,500000.0
32001,Ota - estacionamiento de vehículos en vías publicas,1997000.0
32005,Cesiones de terrenos cementerio el salvador,200000.0
32102,Quioscos en vía pública,2626.0
32103,"Vallas, andamios, contenedores, material construcción, en vía pública",625000.0
32104,Veladores en vía pública,485000.0
32105,Instalaciones en vía publica,475000.0
32107,Apertura de calicatas y zanjas,25000.0
32109,"Ocupación del suelo, subsuelo y vuelo",250000.0
32110,"Ocupación suelo, subsuelo, vuelo empr explotadora suministros",4250000.0
32111,"Utilización del palacio de congresos, principal, pza toros...",135000.0
32112,Utilización de salas en centros cívicos,100000.0
32113,Uso salas en centro empresas jundiz,9900.0
32114,Uso espacios en cscm,1009.36
32115,Transporte de energia,300000.0
32201,Entrada de vehículos por las aceras y reservas de la vía publica para aparcamien,1650000.0
34001,Talleres salud publica,15500.0
34002,"Escuelas infantiles,colonias abiertas y rincones de juego",291497.0
34004,Asistencia a domicilio 3ª edad,2696133.0
34005,Estancias residencias 3ª edad,3260000.0
34006,Talleres de intervencion social,60000.0
34007,Formacion ocupacional,24000.0
34008,Abono instalaciones mendizorrotza,6155000.0
34009,Abonos temporales y de temporada (gamarra),140000.0
34010,Utilizacion instalaciones deportivas (reserva y venta),800000.0
34012,Matriculas en la academia mpal. de folklore,80000.0
34013,Cursos y talleres de cultura,225000.0
34014,Taquillas  teatro,600000.0
34015,Prestacion de servicios de ludotecas,40000.0
34016,Prestamos de material audiovisual e luminacion de juventud,7000.0
34018,Talleres de presidencia,175000.0
34020,Abonados a campañas deportivas,975000.0
34023,Estancia en el c.a.m.a.s.,50000.0
34024,Estancias en pisos tutelados,4000.0
34025, comidas centro socioculturales de mayores,2550.0
34026,Liquidacion estancias en residencias 3ª edad,60000.0
34029,Cursos y actividades formativas,5000.0
34032,Venta de entradas presidencia,5000.0
34038,Servicio de bodas,20000.0
34039,Compensacion gastos de gestion,450000.0
34040,Ingresos estación de autobuses,700000.0
34041,Uso de parcelas en huertos urbanos,10100.0
34043,Ingresos aparcamientos de bicicletas seguros,20000.0
36100,Extinción incendios - cuota unespa y cias no conveniadas,1150000.0
38001,Reintegro por pagos,820000.0
38002,Reintegros gastos por publicaciones en anuncios,30000.0
38003,Reintegro de gastos o indemnizaciones de cias. aseguradoras,1.0
38004,Reintegros por costas de la via de apremio,8000.0
38005,Reintegro indemnizaciones via judicial,1000.0
38008,Reintegro explotaciones de servicios,126000.0
39101,Multas por infracciones de trafico,5160000.0
39102,Ingresos por procedimientos sancionadores,1630000.0
39201,Recargos de apremio,1030000.0
39401,Daños en via publica por accidentes de vehiculos,90000.0
39402,Daños en bienes mpales.por actos vandalicos,15000.0
39403,Actuaciones del seis por limpieza de calzadas por accid,5000.0
39404,Ingresos ejecuciones subsidiarias,20000.0
39405,Ingresos derivados de costas judiciales,25000.0
39601,Ingresos  empresas de telefonia,850000.0
39902,Otros ingresos diversos,125000.0
39903,Intereses demora ejercicios anteriores,1000.0
39906,Donativos belen de la florida,1.0
39907,Ingresos rifa san anton,1.0
39909,Participacion ingresos aparcamientos,20000.0
40000,De la admon. general,289000.0
40001,Impuestos no concertados,300000.0
41000,Del gobierno vasco,17500748.1
42000,De la diputacion foral de alava,8699577.45
42001,Fofel,205734797.72
48000,De familias,55000.0
48001,Fundación vital - convenio hazia inserción laboral de jóvenes,50000.0
49000,De entes de la union europea,18000.0
52500,Intereses en cajas y bancos ayuntamiento,300000.0
54001,Rentas arrendamientos fincas urbanas ayto,105000.0
54002,Arrendamiento locales semillero de empresas,125000.0
54003,Arrendamiento plaza de toros,25000.0
54004,Servicio hostelería en inmuebles municipales,25000.0
55000,Productos de concesiones,600000.0
55004,Cesion de uso plazas aparcamiento,20000.0
59002,Utilizacion de terrenos,20000.0
60300,Venta de terrenos pms (incluidos honorarios de proy basicos),12768000.0
61200,De edificios y otras construcciones,880000.0
65000,Convenio florida 53,400000.0
71000,Del gobierno vasco,4385710.0
72000,De la diputacion foral de alava,2990000.0
93301,Prestamos para la financiacion de inversiones,13364000.0
