#Económico,Denominacion Aplicacion Ingresos,Crédito Inicial,C.DEFINITVO,DRN NETOS
11201,Impuesto bienes inmuebles naturaleza rústica y s. social.,296000.0,296000.0,288263.59
11202,Impuesto bienes inmuebles naturaleza urbana,43087993.35,44087993.35,44418987.32
11301,Impuesto sobre vehículos tracción mecánica,16600000.0,16825000.0,16986949.91
11401,Impuesto sobre incremento valor terrenos,12155000.0,12155000.0,13275257.66
13001,Impuesto sobre actividades económicas,13100000.0,14100000.0,15443319.73
13002,Participación en cuotas provinciales y estatales,1450000.0,1450000.0,1450000.0
28201,Impuestos sobre construcciones e instalaciones,6350000.0,6350000.0,7576642.46
28301,Aprovechamiento del coto de caza,0.0,0.0,2111.0
30001,Venta de efectos no utilizables,40000.0,40000.0,14540.0
30002,Venta de publicaciones e impresos,1000.0,1000.0,30592.89
30004,Venta de bienes y efectos en Montehermoso,5000.0,5000.0,986.0
30006,Venta de energía eléctrica,3000.0,3000.0,8943.95
30007,Venta de bienes y efectos Oficina de turismo,25000.0,25000.0,32928.59
31001,Recogida y eliminación de basuras,10900000.0,10900000.0,10574435.42
31002,"Recogida selectiva de envases, residuos..",1706000.0,1706000.0,1645346.27
31003,Servicio prevención y extinción incendios,6000.0,6000.0,5849.79
31004,Retirada vehículos vía pública,300000.0,300000.0,234109.24
31005,Evaluación consultas urbanísticas,15000.0,15000.0,6716.23
31006,Licencias urbanísticas,250000.0,250000.0,375241.84
31007,Licencias de apertura de establecimientos,300000.0,300000.0,345497.82
31008,Vertido aguas residuales no domesticas,327510.0,327510.0,310091.39
31009,Vertido de residuos en vertedero de Gardelegui,4000000.0,4000000.0,4520702.29
31010,"Expedición informes, atestados, fotocopias, planos y similares",300000.0,300000.0,188132.67
31012,Servicios funerarios,660000.0,660000.0,583611.94
31015,Prestación servicios Demsac,250000.0,250000.0,325419.84
31016,Tasas de exámenes,7000.0,7000.0,5247.4
31019,Duplicado de la Tarjeta Municipal Ciudadana,10000.0,10000.0,13160.15
31020,Planta de Biocompost,750000.0,750000.0,0.0
31101,Instal. en vía pública,650000.0,650000.0,589135.66
31102,Quioscos en la vía pública,2500.0,2500.0,2583.72
31103,Veladores en la vía pública,280000.0,280000.0,317977.93
31104,"Apertura de zanjas, calicatas..",500000.0,500000.0,513337.87
31105,OTA,2000000.0,2000000.0,1894966.53
31106,"Ocupación suelo, subsuelo, vuelo, incluidas Gasnalsa e Iberdrola",5150000.0,5150000.0,3436604.52
31108,"Utilización palacios congresos, Teatro Principal, plaza de toros…",120000.0,120000.0,180796.38
31109,Utilización de salas centros cívicos,30000.0,30000.0,30527.69
31110,Paso de vehículos vados,1550000.0,1550000.0,1522598.02
31111,Cesiones de terrenos en el Cementerio de El Salvador,140000.0,140000.0,180228.7
31112,Utilización de salas en el Centro de empresas de Jundiz,10000.0,10000.0,2206.31
31113,Examen acreditación licencia autotaxi,0.0,0.0,162.54
31115,Uso de espacios en Centros socioculturales de mayores,1000.0,1000.0,1806.75
34000,Prestación de servicios SSAA municipales,440000.0,440000.0,319586.55
34001,Talleres Demsac,30000.0,30000.0,29049.52
34002,"Escuelas infantiles, colonias abiertas y rincones de juego",650000.0,650000.0,440028.04
34004,Asistencia a domicilio 3ª edad,550000.0,550000.0,706686.85
34005,Estancias residencias 3ª edad,3600000.0,3600000.0,3761306.4
34006,Talleres de intervención social,70000.0,70000.0,81723.97
34007,Formación ocupacional,50000.0,50000.0,24904.66
34008,Abono instalaciones Mendizorrotza,5650000.0,5650000.0,5924173.9
34009,Abonos temporales (Gamarra),150000.0,150000.0,153768.1
34010,Utilización instalaciones deportivas (reserva y venta),1150000.0,1150000.0,819685.07
34012,Matriculas en la Academia municipal de folklore,146000.0,146000.0,62156.13
