#Organico,Funcional,Economico,Denominación Aplicación,Crédito Inicial,Crédito Definitivo,Obligado
0110,9121,11000,Retribuciones personal eventual gabinete,1019916.0,1019916.0,1115465.25
0110,9121,12000,Retribuciones básicas de personal funcionario,58341.0,58341.0,56643.38
0110,9121,12100,Retribuciones complementarias de personal funcionario,92436.0,92436.0,96832.93
0110,9121,14100,Otro personal,44234.0,44234.0,41269.15
0110,9121,16000,Seguridad social a cargo del ayuntamiento,350813.0,350813.0,375755.01
0110,9121,16500,Cuotas Elkarkidetza a cargo ayuntamiento,3435.0,3435.0,4679.14
0110,9123,22699,Otros gastos diversos,2000.0,2000.0,1524.95
0111,2328,11000,Retribuciones personal eventual gabinete,85021.0,85021.0,0.0
0111,2328,12000,Retribuciones básicas de personal funcionario,42213.0,42213.0,24737.34
0111,2328,12100,Retribuciones complementarias de personal funcionario,54252.0,54252.0,32768.33
0111,2328,16000,Seguridad social a cargo del ayuntamiento,36838.0,36838.0,20210.68
0111,2328,16500,Cuotas Elkarkidetza a cargo ayuntamiento,3084.0,3084.0,1960.84
0112,2301,12000,Retribuciones básicas de personal funcionario,183711.0,183711.0,240175.81
0112,2301,12100,Retribuciones complementarias de personal funcionario,223611.0,223611.0,292745.33
0112,2301,14100,Otro personal,49192.0,49192.0,46223.78
0112,2301,16000,Seguridad social a cargo del ayuntamiento,124734.0,124734.0,153525.24
0112,2301,16500,Cuotas Elkarkidetza a cargo ayuntamiento,10951.0,10951.0,12668.5
0116,2371,12000,Retribuciones básicas de personal funcionario,122244.0,122244.0,124554.9
0116,2371,12100,Retribuciones complementarias de personal funcionario,156903.0,156903.0,159155.25
0116,2371,14100,Otro personal,164224.0,164224.0,125964.81
0116,2371,16000,Seguridad social a cargo del ayuntamiento,119601.0,119601.0,112200.73
0116,2371,16500,Cuotas Elkarkidetza a cargo ayuntamiento,8445.0,8445.0,8334.65
0116,2371,22115,Material técnico específico juventud,100.0,100.0,168.13
0116,2371,22734,Programa de ocio y tiempo libre 16-30 años,325000.0,373369.7,374155.73
0116,2371,22736,Contrato servicios juventud,123025.55,123025.55,120711.27
0116,2371,22737,Oficina municipal de información joven,4000.0,4000.0,3971.47
0116,2371,22775,Plan joven,70000.0,150000.0,147457.52
0125,9124,12000,Retribuciones básicas de personal funcionario,86613.0,86613.0,87725.3
0125,9124,12100,Retribuciones complementarias de personal funcionario,125251.0,125251.0,129410.6
0125,9124,14100,Otro personal,102804.0,102804.0,133657.62
0125,9124,16000,Seguridad social a cargo del ayuntamiento,86874.0,86874.0,88920.76
0125,9124,16500,Cuotas Elkarkidetza a cargo ayuntamiento,3154.0,3154.0,3842.74
0126,9124,12000,Retribuciones básicas de personal funcionario,36173.0,36173.0,32404.6
0126,9124,12100,Retribuciones complementarias de personal funcionario,43416.0,43416.0,45613.93
0126,9124,16000,Seguridad social a cargo del ayuntamiento,18673.0,18673.0,18624.71
0126,9124,16500,Cuotas Elkarkidetza a cargo ayuntamiento,1897.0,1897.0,1960.84
