#Organikoa,Funtzionala,Ekonomikoa,R,Aplikazioaren izena,2020ko Hasierako kreditua,g,h
0110,9121,11000,,Kabineteko behin-behineko langileen ordainsariak,1126834.0,1126834.0,252644.59
0110,9121,12000,,Funtzionarioen oinarrizko ordainsariak,80881.0,80881.0,13639.64
0110,9121,12100,,Funtzionarioen ordainsari osagarriak,122362.0,122362.0,30939.76
0110,9121,14100,,Bestelako langileak,3424.0,3424.0,0.0
0110,9121,16000,,"Gizarte Segurantza, enpresaren kontura",486919.0,483662.66,99257.71
0110,9121,16500,,"Elkarkidetzako kuotak, Udalaren kontura",0.0,3256.34,619.35
0110,9123,22695,,Sindikoaren bulegoa. Bestelako hainbat gastu.,700.0,700.0,700.0
0110,9123,22699,,Bestelako hainbat gastu,1327.0,1327.0,0.0
0111,2328,11000,,Kabineteko behin-behineko langileen ordainsariak,80951.0,80951.0,0.0
0111,2328,12000,,Funtzionarioen oinarrizko ordainsariak,68256.0,68256.0,2751.04
0111,2328,12100,,Funtzionarioen ordainsari osagarriak,74556.0,74556.0,6774.45
0111,2328,14100,,Bestelako langileak,43111.0,43111.0,7924.82
0111,2328,16000,,"Gizarte Segurantza, enpresaren kontura",80218.0,78629.52,5398.01
0111,2328,16500,,"Elkarkidetzako kuotak, Udalaren kontura",0.0,1588.48,218.4
0111,4332,22621,,Politika pulikoen azterlan eta bilakaera,100000.0,100000.0,0.0
0111,4332,22707,,Azterlanak eta lan teknikoak,18000.0,18000.0,0.0
0111,4332,22743,,Proiektu estrategikoak eta hiriko ekitaldiak,100000.0,100000.0,0.0
0112,2301,12000,,Funtzionarioen oinarrizko ordainsariak,225839.0,225839.0,23433.3
0112,2301,12100,,Funtzionarioen ordainsari osagarriak,268039.0,268039.0,42652.0
0112,2301,14100,,Bestelako langileak,68220.0,68220.0,14269.19
0112,2301,16000,,"Gizarte Segurantza, enpresaren kontura",185006.0,172698.48,25419.71
0112,2301,16500,,"Elkarkidetzako kuotak, Udalaren kontura",0.0,12307.52,1416.95
0116,2371,12000,,Funtzionarioen oinarrizko ordainsariak,145721.0,145721.0,25911.58
0116,2371,12100,,Funtzionarioen ordainsari osagarriak,183326.0,183326.0,47159.17
0116,2371,14100,,Bestelako langileak,117547.0,117547.0,24262.24
0116,2371,16000,,"Gizarte Segurantza, enpresaren kontura",129469.0,121994.37,29927.65
0116,2371,16500,,"Elkarkidetzako kuotak, Udalaren kontura",0.0,7474.63,1609.29
0116,2371,22115,,Berariazko material teknikoa - Gazteria,100.0,100.0,0.0
0116,2371,22734,,Aisialdi eta denbora libreko programa,378000.0,378000.0,72757.29
0116,2371,22736,,Gazteria Zerbitzuaren kontratua,147521.5,147521.5,22175.87
0116,2371,22737,,Gazteen Argibideetarako Udal Bulegoa,6000.0,6000.0,549.55
0116,2371,22775,,Gazte Plana,120000.0,120000.0,3800.35
0116,2371,22775,A,Gazte Plana,0.0,278.18,0.0
0116,2371,22775,R,Gazte Plana,0.0,1806.1,0.0
0116,2371,41924,,Hitzarmena: Euskadiko Gazteria Kontseilua - Gazteen partaidetzaren sustapena,10500.0,10500.0,0.0
0116,2371,48935,,Gazteriako dirulaguntza deialdi orokorra,35000.0,35000.0,0.0
0116,2371,48936,,Irakaskuntza Ertainetako gazte informatzaileen deialdia,10000.0,10000.0,0.0
0116,2371,62505,,Bestelako tresnak,1000.0,1000.0,0.0
0116,2371,62800,,"Argitalpenak eta liburuak erostea, Gazteen Argibideetarako Bulegorako",1000.0,1000.0,209.91
0125,9124,12000,,Funtzionarioen oinarrizko ordainsariak,90580.0,90580.0,18030.51
0125,9124,12100,,Funtzionarioen ordainsari osagarriak,140429.0,140429.0,45307.02
0125,9124,14100,,Bestelako langileak,78256.0,78256.0,22904.05
0125,9124,16000,,"Gizarte Segurantza, enpresaren kontura",87691.0,80753.71,26606.48
0125,9124,16500,,"Elkarkidetzako kuotak, Udalaren kontura",0.0,6937.29,1707.11
0126,9124,12000,,Funtzionarioen oinarrizko ordainsariak,10736.0,10736.0,0.0
0126,9124,12100,,Funtzionarioen ordainsari osagarriak,27412.0,27412.0,0.0
0126,9124,14100,,Bestelako langileak,16752.0,16752.0,0.0
0126,9124,16000,,"Gizarte Segurantza, enpresaren kontura",16193.0,15228.32,0.0
0126,9124,16500,,"Elkarkidetzako kuotak, Udalaren kontura",0.0,964.68,0.0
0130,9201,11000,,Kabineteko behin-behineko langileen ordainsariak,85548.0,85548.0,18457.71
0130,9201,12000,,Funtzionarioen oinarrizko ordainsariak,195834.0,195834.0,37196.01
0130,9201,12100,,Funtzionarioen ordainsari osagarriak,297512.0,297512.0,84842.13
0130,9201,14100,,Bestelako langileak,4622.0,4622.0,0.0
