#Ekonomikoa,Diru-sarreren aplikazioaren izena,"Hasierako kreditua 2020"
11201,Landa-lurreko Ondasun Higiezinen gaineko Zerga eta Gizarte Segurantza,292239.91
11202,Hiri-lurreko ondasun higiezinen gaineko zerga,43945678.72
11203,Ezaugarri bereziko higiezinak,475487.07
11301,Trakzio Mekanikoko Ibilgailuen gaineko Zerga,16375000.0
11401,Hiri-lurren Balio-gehikuntzaren gaineko Zerga,15150000.0
13001,Ekonomi Jardueren gaineko Zerga,14742000.0
13002,Probintziako eta Estatuko kuotetako partaidetza,1450000.0
28201,Eraikuntza eta instalazioen gaineko zergak,8180000.0
28301,Ehiza esparruaren ustiapena,2111.0
30001,Erabilgarri ez diren ondasunak saltzea,40000.0
30002,Argitalpen eta inprimakien salmenta,1000.0
30004,Montehermosoko ondasun eta elementuen salmenta,5000.0
30006,Energia elektrikoa saltzea,3000.0
30007,Turismo Bulegoko ondasunen salmenta,25000.0
31001,Zaborrak bildu eta suntsitzea,11118000.0
31003,Hileta-zerbitzuak.,650000.0
31004,"Txostenak, atestatuak, fotokopiak, planoak eta antzekoak egitea",288456.0
31005,Ibilgailuak bide publikotik kentzea,315241.2
31008,Prebentzio eta Su Itzaltze Zerbitzua,6181.2
31013,Gardelegiko zabortegian hondakinak hustea,4264000.0
31020,Hirigintza-kontsultei erantzutea,15453.0
31021,Etxeetakoez kanpoko ur zikinak isurtzea,337400.8
31022,Herritarren Udal Txartelaren kopia,10508.04
31023,Energia garraioa,151500.0
31026,Osasun eta Kontsumo Sailak eskainitako zerbitzuak,262701.0
31027,Azterketa-tasak,7211.4
31028,Biokonpost-lantegia,772650.0
31029,Ontzi eta hondakinen gaikako bilketa,1723060.0
31101,Establezimenduak irekitzeko lizentziak,300000.0
31201,Hirigintza-lizentziak ematea,309060.0
32001,TAO - Ibilgailuak bide publikoetan aparkatzea,1989000.0
32005,Salbatzailearen hilerriko lurzoru-lagapenak,206856.0
32102,Bide publikoetako kioskoak,2575.5
32104,Bide publikoetako mahaitxoak,335320.0
32105,Bide publikoetako instalazioak,669630.0
32107,Zangak irekitzea,515100.0
32109,"Hornikuntza-enpresek lurra, lurgaina eta lurpea okupatzea",4950000.0
32111,"Biltzar-jauregia, Principal antzokia, zezen-plaza eta beste erabiltzea",153000.0
32112,Gizarte-etxeetako aretoak erabiltzea,30906.0
32113,Jundizko enpresa-zentroko aretoak erabiltzea,10302.0
32114,Adinekoentzako zentro soziokulturaletako espazioak erabiltzea,1030.2
32201,"Ibilgailuak espaloietatik sartzea, eta bide publikoa aparkatzeko erreserbatzea",1612000.0
34000,Udal sozietate anonimoek zerbitzuak ematea,700000.0
34001,Osasun eta Kontsumo Sailaren lantegiak,31824.0
34002,"Haur eskolak, udaleku irekiak eta jolas txokoak",669630.0
34004,Etxez etxeko laguntza (3. adina),681750.0
34005,Egoitzetako egonaldiak (3. adina),4534900.0
34006,Gizartegintzako lantegiak,72114.0
34007,Lanaren bidezko prestakuntza,51510.0
34008,Mendizorrotzeko instalazioetarako abonamendua,6385600.0
34009,Aldi baterako eta denboraldiko abonamenduak (Gamarra),171600.0
34010,Kirol instalazioak erabiltzea (erreserba eta salmenta),1320800.0
34012,Udal Folklore Akademiako matrikulak,153387.6
34013,Kultur ikastaro eta lantegiak,318240.0
34014,Antzokiko leihatilak,848400.0
34015,Ludoteketako zerbitzuak,6758.11
34016,"Ikus-entzunezko materiala eta argiztapen-materiala mailegatzea, gazteei",8241.6
34018,Lehendakaritzako lantegiak,293607.0
34020,Kirol kanpainetako abonatuak,1424800.0
34023,"Egonaldia, CAMAS",41208.0
34025,Adinekoentzako zentro soziokulturaletako bazkariak,505000.0
34026,Egoitzetako egonaldien likidazioa (3. adina),63125.0
34038,Ezkontza-zerbitzua,30300.0
34039,Kudeaketa gastuen konpentsazioa,1010000.0
34040,Autobus-geltoki berriko diru-sarrerak,646400.0
36003,UNESPA eta hitzartu gabeko konpainien kuota,1040000.0
38001,Ordainketak itzultzea,700000.0
38002,Iragarki-argitalpenen gastuak itzultzea,50000.0
38003,Aseguru-etxeek gastu eta kalte-ordainak itzultzea,1.0
38004,Premiamendu-bideko kostuak itzultzea,8000.0
38005,Bide judizialeko kalte-ordainak itzultzea,15000.0
38007,Laneko Arriskuen Prebentzioarako Zerbitzuaren itzulketa,71035.0
39101,Trafiko arau-hausteengatiko isunak,5480000.0
39102,Prozedura zigortzaileetako diru-sarrerak,805420.0
39104,Lokaletako higiene- eta osasungarritasun-baldintzen arloko zigorrak,100000.0
39201,Premiamendu-gainordainak,950000.0
39401,Auto-istripuek bide publikoan eragindako kalteak,100000.0
39402,Ekintza basatiek ondasunetan eragindako kalteak,7500.0
39404,Betearazte subsidiarioengatiko sarrerak,90000.0
39405,Epai kostuek sortutako sarrerak,25000.0
39601,Telefonia-enpresen sarrerak,1000000.0
39901,Dohaintzak,2000.0
39902,Bestelako diru-sarrerak,50000.0
39903,Aurreko ekitaldietako berandutze-interesak,4000.0
39906,Floridako jaiotzako dohainak,15405.33
39907,San Anton zozketako diru-sarrerak,1.0
39909,Aparkalekuetako diru-sarreretako partizipazioa,40000.0
40000,Administrazio Orokorretik,459389.78
41000,Eusko Jaurlaritzatik,17692578.7
42000,Arabako Foru Aldunditik,9228793.2
42001,FOFEL,177063344.94
42003,Hitzartu gabeko zergak,300000.0
43000,"Ente publikoak, udalerriaren barruan",10000.0
48000,Familietatik,130000.0
49000,Europar Batasuneko erakundeetatik,209593.59
52500,Udalaren interesak banku eta kutxetan,5000.0
54001,Udalaren hiri-funtsen alokairu-errentak,135000.0
54002,Enpresa-mintegietako lokalak alokatzea,125000.0
54003,Udal eraikinetan ostalaritza-zerbitzuak ustiatzea,25000.0
55000,Emakiden emaitzak,800000.0
55902,Hiri-altzarietako publizitatea ustiatzeko emakida,150000.0
59002,Lur sailak erabiltzea,40000.0
60300,"Udalaren lurzoru-ondareko lursailak saltzea, oinarrizko proiektuetako ordainsariak barne",250000.0
60900,Lursailetatik - Udal lursailak besterentzea,5191532.94
61200,Eraikinak eta bestelako eraikuntzak,537000.0
65000,Dato-Alaba Jeneralean etxebizitzak eraikitzeko baimenak ekarritako hirigintza-gainbalioak,976694.0
71000,Eusko Jaurlaritzatik,4951403.58
72000,Arabako Foru Aldunditik,2685000.0
73000,"Ente publikoak, udalerrian",25000.0
93301,Inbertsioak finantzatzeko maileguak,10750000.0
