#Organikoa,Funtzionala,Ekonomikoa,Aplikazioaren izena,Hasierako kreditua,Behin betiko kreditua,Behartua
0110,1110,11000,Kabineteko behin-behineko langileen ordainsariak,965817.0,965817.0,976593.1
0110,1110,12000,Funtzionarioen oinarrizko ordainsariak,101688.0,101688.0,87002.11
0110,1110,12100,Funtzionarioen ordainsari osagarriak,168779.0,168779.0,191102.83
0110,1110,16000,"Gizarte Segurantza, enpresaren kontura",332535.0,332535.0,344492.37
0110,1110,16500,"Elkarkidetzako kuotak, Udalaren kontura",5446.0,5446.0,303.34
0110,1111,11000,Kabineteko behin-behineko langileen ordainsariak,209035.0,209035.0,160720.93
0110,1111,16000,"Gizarte Segurantza, enpresaren kontura",53056.0,53056.0,42459.68
0110,1111,16500,"Elkarkidetzako kuotak, Udalaren kontura",1443.0,1443.0,61.98
0110,1111,22603,Publizitatea,6000.0,0.0,0.0
0110,1111,22699,Bestelako hainbat gastu,10000.0,6000.0,3411.26
0125,1211,12000,Funtzionarioen oinarrizko ordainsariak,33649.0,33649.0,36701.11
0125,1211,12100,Funtzionarioen ordainsari osagarriak,62755.0,62755.0,70390.42
0125,1211,14100,Bestelako langileak,177833.0,177833.0,138164.94
0125,1211,16000,"Gizarte Segurantza, enpresaren kontura",69647.0,69647.0,67769.93
0125,1211,16500,"Elkarkidetzako kuotak, Udalaren kontura",1600.0,1600.0,220.64
0126,1211,12000,Funtzionarioen oinarrizko ordainsariak,63849.0,63849.0,28847.41
0126,1211,12100,Funtzionarioen ordainsari osagarriak,102157.0,102157.0,45315.39
0126,1211,16000,"Gizarte Segurantza, enpresaren kontura",36661.0,36661.0,25936.78
0126,1211,16500,"Elkarkidetzako kuotak, Udalaren kontura",4301.0,4301.0,1965.31
0130,1211,12000,Funtzionarioen oinarrizko ordainsariak,181913.0,181913.0,155887.88
0130,1211,12100,Funtzionarioen ordainsari osagarriak,222374.0,222374.0,270510.81
0130,1211,14100,Bestelako langileak,14469.0,14469.0,0.0
0130,1211,16000,"Gizarte Segurantza, enpresaren kontura",89297.0,89297.0,90536.89
0130,1211,16500,"Elkarkidetzako kuotak, Udalaren kontura",13536.0,13536.0,5600.2
0130,1211,22610,Kalte-ordainak,45000.0,446235.15,609.0
0130,1211,22617,"Ordainsariak, minutak",80000.0,80000.0,78533.65
015501,4541,12000,Funtzionarioen oinarrizko ordainsariak,150767.0,150767.0,134315.23
015501,4541,12100,Funtzionarioen ordainsari osagarriak,113175.0,113175.0,176351.02
015501,4541,14100,Bestelako langileak,63076.0,63076.0,40330.76
015501,4541,16000,"Gizarte Segurantza, enpresaren kontura",107121.0,107121.0,97752.44
015501,4541,16500,"Elkarkidetzako kuotak, Udalaren kontura",2286.0,2286.0,134.9
015501,4541,22699,Artxiboko kontserbazio-gastu materialak,12000.0,7100.0,7073.1
015501,4541,22752,Udal artxiboko kontratuak,122160.0,50000.0,49976.86
015502,4512,12000,Funtzionarioen oinarrizko ordainsariak,217117.0,217117.0,155845.61
015502,4512,12100,Funtzionarioen ordainsari osagarriak,222613.0,222613.0,252604.6
015502,4512,14100,Bestelako langileak,164960.0,164960.0,219363.16
015502,4512,16000,"Gizarte Segurantza, enpresaren kontura",188448.0,188448.0,189755.28
015502,4512,16500,"Elkarkidetzako kuotak, Udalaren kontura",9084.0,9084.0,559.03
015502,4512,22624,Folklore akademiako programazio-gastuak,54400.0,31882.0,35952.24
015502,4512,22757,Folklore Akademiako zerbitzu-enpresak,43165.0,21582.5,21470.66
015502,4514,22625,Folklore Akademiaren musika-udalekuak,60000.0,60000.0,60000.0
015503,4511,20103,Alokairuak,45000.0,45000.0,43808.44
015503,4511,22605,Erakusketa lekuak dinamizatzea,60000.0,0.0,0.0
015503,4511,22627,Araba Kulturala,180000.0,0.0,0.0
015503,4511,22635,Azkena Rock jaialdia,220000.0,259000.0,259000.0
015503,4511,22638,Kultur proiektuei laguntzea eta babestea,40000.0,0.0,0.0
015503,4511,22653,Kultura-zabalkundea,8000.0,0.0,0.0
015503,4512,13000,Lan-kontratudun langile finkoen ordainsariak,55018.0,55018.0,0.0
015503,4512,14100,Bestelako langileak,331547.0,331547.0,71143.11
015503,4512,16500,"Elkarkidetzako kuotak, Udalaren kontura",11432.0,11432.0,202.35
015503,4519,12000,Funtzionarioen oinarrizko ordainsariak,232713.0,232713.0,0.0
015503,4519,12100,Funtzionarioen ordainsari osagarriak,278148.0,278148.0,0.0
015503,4519,16000,"Gizarte Segurantza, enpresaren kontura",222944.0,222944.0,0.0
015503,4519,22643,"Erraldoiak, harmailak eta jaiotza konpontzea",23000.0,15000.0,8073.62
015503,4519,22652,Beste kultura-jarduera batzuk,92000.0,70000.0,70591.79
015503,4519,22660,Inauteriak,65900.0,30000.0,28849.73
015503,4519,22661,Andre Maria Zuriaren jaiak,987000.0,753500.0,756835.13
015503,4519,22662,Olarizu,18000.0,3000.0,7407.97
015503,4519,22663,Eguberri eta erregetako kanpaina,245400.0,270000.0,256923.51
015503,4519,22664,San Anton eta Santa Ageda jaiak,18000.0,14000.0,16223.14
015503,4519,22733,Espazio publikoetako kultura-programak,400000.0,160000.0,162125.02
015503,4519,22756,Kultura-jardueretako zerbitzuak,259000.0,180000.0,175442.85
015504,4510,12000,Funtzionarioen oinarrizko ordainsariak,40049.0,40049.0,59215.44
015504,4510,12100,Funtzionarioen ordainsari osagarriak,40010.0,40010.0,116355.29
015504,4510,13000,Lan-kontratudun langile finkoen ordainsariak,7953.0,7953.0,0.0
015504,4510,14100,Bestelako langileak,25909.0,25909.0,123231.02
015504,4510,16000,"Gizarte Segurantza, enpresaren kontura",34203.0,34203.0,77827.97
015504,4510,16500,"Elkarkidetzako kuotak, Udalaren kontura",2081.0,2081.0,134.9
015504,4514,22622,Montehermoso kulturunea,1015000.0,187000.0,185524.31
015504,4514,22751,Montehermosoko zerbitzu-kontratuak,1016000.0,539000.0,545119.46
015507,4530,12000,Funtzionarioen oinarrizko ordainsariak,161668.0,161668.0,101474.48
015507,4530,12100,Funtzionarioen ordainsari osagarriak,142511.0,142511.0,157752.72
015507,4530,14100,Bestelako langileak,165961.0,165961.0,149676.79
015507,4530,16000,"Gizarte Segurantza, enpresaren kontura",143151.0,143151.0,111211.15
015507,4530,16500,"Elkarkidetzako kuotak, Udalaren kontura",7817.0,7817.0,502.93
015507,4532,22115,Berariazko material teknikoa - Gazteria,1250.0,300.0,295.2
015507,4532,22732,Aisia eta denbora libreko zerbitzu-kontratuak,447375.46,20000.0,21030.54
015507,4534,22002,"Prentsa, aldizkariak eta bestelako argitalpenak - GAUB",2455.0,0.0,0.0
015507,4534,22732,Zerbitzuak emateko kontratuak - Gazteria,250000.0,105000.0,104291.18
015507,4534,22775,Gazte Plana,147900.0,75000.0,74672.36
015508,4510,12000,Funtzionarioen oinarrizko ordainsariak,200592.0,200592.0,163779.11
015508,4510,12100,Funtzionarioen ordainsari osagarriak,245503.0,245503.0,244315.75
015508,4510,14100,Bestelako langileak,337480.0,334780.0,84513.29
015508,4510,16000,"Gizarte Segurantza, enpresaren kontura",235672.0,234872.0,155140.01
015508,4510,16500,"Elkarkidetzako kuotak, Udalaren kontura",9876.0,9876.0,566.57
015508,4510,21208,Ikus-entzunezko ekipoak konpontzea,6102.0,1500.0,152.22
015508,4510,21300,Ibilgailuak konpontzea,700.0,0.0,0.0
015508,4510,21400,Altzariak konpontzea,2500.0,0.0,0.0
015508,4510,22104,Erregaiak,600.0,0.0,0.0
015508,4510,22111,Tresna eta lanabesak,700.0,560.0,540.77
015508,4510,22300,Garraioa,14517.0,3000.0,2334.91
015508,4510,22607,Vitoria-Gasteiz Film Office,125000.0,0.0,0.0
015510,4513,12000,Funtzionarioen oinarrizko ordainsariak,499924.0,499924.0,464834.23
015510,4513,12100,Funtzionarioen ordainsari osagarriak,565726.0,565726.0,686473.92
015510,4513,14100,Bestelako langileak,255769.0,255769.0,152585.37
015510,4513,16000,"Gizarte Segurantza, enpresaren kontura",355795.0,355795.0,370322.07
015510,4513,16500,"Elkarkidetzako kuotak, Udalaren kontura",17344.0,17344.0,5618.37
015510,4513,21207,Ekipoak onik zaindu eta konpontzea,25600.0,16000.0,16956.82
015510,4513,22692,Musika Banda - kolaborazioak,36000.0,1000.0,1120.0
015510,4513,22699,Musika Bandaren programazio-gastuak,55330.0,47306.62,46724.97
015510,4513,22732,Zerbitzuak emateko kontratuak,37684.0,6000.0,5948.5
015520,4510,12000,Funtzionarioen oinarrizko ordainsariak,159204.0,159204.0,129021.15
015520,4510,12100,Funtzionarioen ordainsari osagarriak,174275.0,174275.0,234123.6
015520,4510,14100,Bestelako langileak,31836.0,31836.0,57393.25
015520,4510,16000,"Gizarte Segurantza, enpresaren kontura",100180.0,100180.0,118505.19
015520,4510,16500,"Elkarkidetzako kuotak, Udalaren kontura",4162.0,4162.0,245.62
015520,4518,22603,Antzoki Sarearen publizitate berezia,27300.0,15000.0,14891.16
015520,4518,22627,Ikuskizunak eta jaialdiak,1500000.0,990200.0,943758.8
015520,4518,22732,Zerbitzuak emateko kontratuak,303364.0,303364.0,251121.99
0160,3101,12000,Funtzionarioen oinarrizko ordainsariak,58195.0,58195.0,79783.22
0160,3101,12100,Funtzionarioen ordainsari osagarriak,40557.0,40557.0,106851.28
0160,3101,14100,Bestelako langileak,82746.0,82746.0,9924.88
0160,3101,16000,"Gizarte Segurantza, enpresaren kontura",60482.0,60482.0,49460.49
0160,3101,16500,"Elkarkidetzako kuotak, Udalaren kontura",1143.0,1143.0,67.45
0160,3101,22115,Berariazko material teknikoa,550.0,550.0,66.8
0160,3101,22710,III. Berdintasun Plana,269700.0,150000.0,51977.19
0160,3101,22773,Berdintasunerako ikastaroak programatzea,45000.0,25000.0,20823.93
0171,1242,12000,Funtzionarioen oinarrizko ordainsariak,92401.0,92401.0,101939.68
0171,1242,12100,Funtzionarioen ordainsari osagarriak,67428.0,67428.0,141507.57
0171,1242,16000,"Gizarte Segurantza, enpresaren kontura",112270.0,112270.0,124285.51
0171,1242,16500,"Elkarkidetzako kuotak, Udalaren kontura",5879.0,5879.0,460.08
0171,1242,22741,Gurasoentzako euskara eskolak,390000.0,335000.0,386327.01
0171,1242,22748,Euskararen Astea,30000.0,30000.0,9882.55
0171,1242,22780,Euskara plana,231000.0,195973.86,101039.22
0171,1242,22799,"Kanpoko itzulpenak, euskera",45664.0,15000.0,770.84
0171,3101,14100,Bestelako langileak,0.0,0.0,0.0
0180,4621,11000,Kabineteko behin-behineko langileen ordainsariak,193868.0,193868.0,61939.83
0180,4621,12000,Funtzionarioen oinarrizko ordainsariak,58618.0,58618.0,13358.02
0180,4621,12100,Funtzionarioen ordainsari osagarriak,66128.0,66128.0,26349.97
0180,4621,16000,"Gizarte Segurantza, enpresaren kontura",79937.0,79937.0,27315.76
0180,4621,16500,"Elkarkidetzako kuotak, Udalaren kontura",2543.0,2543.0,0.0
0180,4621,22634,Ekitaldiak antolatzea eta ordezkaritza-gastuak,171561.0,184800.0,93622.79
0187,4621,22603,Argitalpenak eta publizitatea,1520000.0,890000.0,1240781.01
0187,4621,22604,Mugikortasun iraunkorraren sustatzeko plana,70000.0,0.0,0.0
0187,4621,22605,Udalaren seinaletika korporatiboaren programa,30000.0,0.0,47206.67
0187,4621,22612,Eguneko prentsa erostea,60000.0,30000.0,52174.11
0187,4621,22616,Prentsari laguntza teknikoa emateko zerbitzuak,15000.0,15000.0,50363.85
0187,4621,22631,"Udalaren partaidetza, beste erakunde batzuetan",32000.0,25000.0,25802.52
0187,4621,22632,Harpidetzak,20000.0,10000.0,9044.21
0187,4621,22645,Hedabideetako ohiko iragarkiak,300000.0,260000.0,320407.14
0187,4621,22681,Herritarrentzako irrati-saioak,16200.0,0.0,0.0
0187,4621,22730,Argitalpen funtsak gordetzeko zerbitzua,30000.0,30000.0,28369.97
0187,4621,22733,Komunikazio-plana - Bizikleta,12000.0,0.0,0.0
0188,4444,22600,Green capitalaren sustapena eta zabalkundea,505500.0,1707000.0,516904.47
0188,4444,22732,European Green Capital kontratuak,173000.0,96000.0,203077.68
0210,1900,12000,Funtzionarioen oinarrizko ordainsariak,51509.0,51509.0,39346.97
0210,1900,12100,Funtzionarioen ordainsari osagarriak,85708.0,85708.0,81762.9
0210,1900,14100,Bestelako langileak,84882.0,84882.0,87014.39
0210,1900,16000,"Gizarte Segurantza, enpresaren kontura",48503.0,48503.0,49948.62
0210,1900,16500,"Elkarkidetzako kuotak, Udalaren kontura",3690.0,3690.0,2278.6
0210,1900,21300,Ibilgailuak konpontzea,3000.0,0.0,0.0
0210,1900,22004,Kartografia eta proiektuak editatu eta erreproduzitzea,4000.0,4000.0,3781.96
0210,1900,22104,Erregaiak,6000.0,0.0,0.0
0210,1900,22707,Laguntza teknikoak,100000.0,35000.0,2330.4
0210,4321,12000,Funtzionarioen oinarrizko ordainsariak,23735.0,23735.0,0.0
0210,4321,12100,Funtzionarioen ordainsari osagarriak,35501.0,35501.0,0.0
0210,4321,16000,"Gizarte Segurantza, enpresaren kontura",10184.0,10184.0,0.0
0211,4321,12000,Funtzionarioen oinarrizko ordainsariak,125518.0,125518.0,118292.66
0211,4321,12100,Funtzionarioen ordainsari osagarriak,163759.0,163759.0,194969.62
0211,4321,14100,Bestelako langileak,88863.0,88863.0,207022.59
0211,4321,16000,"Gizarte Segurantza, enpresaren kontura",89600.0,89600.0,138383.47
0211,4321,16500,"Elkarkidetzako kuotak, Udalaren kontura",5138.0,5138.0,468.96
0211,4322,12000,Funtzionarioen oinarrizko ordainsariak,77828.0,77828.0,60855.22
0211,4322,12100,Funtzionarioen ordainsari osagarriak,87083.0,87083.0,91711.38
0211,4322,14100,Bestelako langileak,38502.0,38502.0,0.0
0211,4322,16000,"Gizarte Segurantza, enpresaren kontura",69883.0,69883.0,41608.92
0211,4322,16500,"Elkarkidetzako kuotak, Udalaren kontura",2081.0,2081.0,122.81
0213,4340,12000,Funtzionarioen oinarrizko ordainsariak,312156.0,312156.0,242328.51
0213,4340,12100,Funtzionarioen ordainsari osagarriak,405220.0,405220.0,370302.47
0213,4340,14100,Bestelako langileak,124471.0,124471.0,87373.27
0213,4340,16000,"Gizarte Segurantza, enpresaren kontura",221016.0,221016.0,204439.61
0213,4340,16500,"Elkarkidetzako kuotak, Udalaren kontura",16381.0,16381.0,1008.02
0213,4340,22620,Lan subsidiarioak eta eskoratzeak,140000.0,50000.0,3304.0
0213,4340,22730,Argitalpen funtsak gordetzeko zerbitzua,6000.0,18000.0,13148.74
0214,4311,12000,Funtzionarioen oinarrizko ordainsariak,155970.0,155970.0,71343.45
0214,4311,12100,Funtzionarioen ordainsari osagarriak,181110.0,181110.0,99738.09
0214,4311,16000,"Gizarte Segurantza, enpresaren kontura",90686.0,90686.0,56391.14
0214,4311,16500,"Elkarkidetzako kuotak, Udalaren kontura",7736.0,7736.0,332.16
0214,4330,12000,Funtzionarioen oinarrizko ordainsariak,147925.0,147925.0,134591.09
0214,4330,12100,Funtzionarioen ordainsari osagarriak,178531.0,178531.0,194994.06
0214,4330,14100,Bestelako langileak,156493.0,156493.0,36368.93
0214,4330,16000,"Gizarte Segurantza, enpresaren kontura",139090.0,139090.0,107255.45
0214,4330,16500,"Elkarkidetzako kuotak, Udalaren kontura",8995.0,8995.0,307.05
0216,4321,12000,Funtzionarioen oinarrizko ordainsariak,213224.0,213224.0,176113.07
0216,4321,12100,Funtzionarioen ordainsari osagarriak,253456.0,253456.0,261059.5
0216,4321,14100,Bestelako langileak,112735.0,112735.0,17825.58
0216,4321,16000,"Gizarte Segurantza, enpresaren kontura",180284.0,180284.0,148199.43
0216,4321,16500,"Elkarkidetzako kuotak, Udalaren kontura",12398.0,12398.0,870.17
0320,1900,12000,Funtzionarioen oinarrizko ordainsariak,49883.0,49883.0,54848.91
0320,1900,12100,Funtzionarioen ordainsari osagarriak,86054.0,86054.0,90259.09
0320,1900,16000,"Gizarte Segurantza, enpresaren kontura",20937.0,20937.0,26706.79
0320,1900,16500,"Elkarkidetzako kuotak, Udalaren kontura",2148.0,2148.0,425.84
0320,2224,12000,Funtzionarioen oinarrizko ordainsariak,133390.0,133390.0,122282.67
0320,2224,12100,Funtzionarioen ordainsari osagarriak,151316.0,151316.0,176974.5
0320,2224,14100,Bestelako langileak,151221.0,151221.0,96745.6
0320,2224,16000,"Gizarte Segurantza, enpresaren kontura",146796.0,146796.0,140292.3
0320,2224,16500,"Elkarkidetzako kuotak, Udalaren kontura",10078.0,10078.0,404.71
0320,5111,20200,TAO txartelak saltzeko makinak mantentzea,295000.0,315000.0,254365.67
0320,5112,12000,Funtzionarioen oinarrizko ordainsariak,83683.0,83683.0,70013.61
0320,5112,12100,Funtzionarioen ordainsari osagarriak,80258.0,80258.0,106707.59
0320,5112,16000,"Gizarte Segurantza, enpresaren kontura",48591.0,48591.0,43311.68
0320,5112,16500,"Elkarkidetzako kuotak, Udalaren kontura",4162.0,4162.0,270.91
0320,5112,21910,Trafikoa kontrolatzeko sistema mantentzea,1242000.0,1147000.0,1169335.42
0320,5113,21050,Seinaleztapena onik zaintzea,343200.0,257500.0,205380.05
0330,1900,12000,Funtzionarioen oinarrizko ordainsariak,289009.0,289009.0,276309.03
0330,1900,12100,Funtzionarioen ordainsari osagarriak,399798.0,399798.0,453016.06
0330,1900,14100,Bestelako langileak,126034.0,126034.0,150586.03
0330,1900,16000,"Gizarte Segurantza, enpresaren kontura",236489.0,236489.0,270336.28
0330,1900,16220,Kalte-ordainak,40.0,40.0,0.0
0330,1900,16500,"Elkarkidetzako kuotak, Udalaren kontura",13544.0,13544.0,1180.89
0340,2231,12000,Funtzionarioen oinarrizko ordainsariak,1558767.0,1558767.0,1269989.4
0340,2231,12100,Funtzionarioen ordainsari osagarriak,2957799.0,2957799.0,2938213.8
0340,2231,14100,Bestelako langileak,808795.0,1172765.0,1547356.78
0340,2231,16000,"Gizarte Segurantza, enpresaren kontura",1846971.0,2002957.6,2265025.89
0340,2231,16500,"Elkarkidetzako kuotak, Udalaren kontura",106310.0,106310.0,31662.69
0340,2231,21300,Ibilgailuak konpontzea,88400.0,60000.0,61448.68
0340,2231,21900,Ekipoak berritzea eta erostea,85000.0,60000.0,49582.82
0340,2231,22104,Erregaiak,57000.0,0.0,0.0
0340,2231,22105,Jantziak eta uniformeak,80000.0,100000.0,36902.22
0340,2231,22111,Tresna eta lanabesak,30000.0,30000.0,25619.68
0340,2231,22199,Bestelako hornikuntzak,36000.0,36000.0,36874.63
0340,2231,22699,Bestelako hainbat gastu,20000.0,10000.0,10175.05
0340,2233,21300,Ibilgailuak konpontzea - SISEU,1.0,1.0,0.0
0340,2233,21900,Ekipoak berritzea eta erostea - SISEU,1.0,1.0,0.0
0340,2233,22105,Jantziak eta uniformeak,1.0,1.0,0.0
0340,2233,22111,Tresna eta lanabesak - SISEU,1.0,1.0,0.0
0340,2233,22199,Bestelako hornikuntzak - SISEU,1.0,1.0,0.0
0340,2233,22638,Boluntarioen prestakuntza - Gobiaran - Kanpezu,1.0,1.0,0.0
0340,2233,22699,Bestelako hainbat gastu,1.0,1.0,824.74
0340,2234,21000,Azpiegiturak eta ondasun naturalak,5000.0,5000.0,3781.63
0340,2234,21102,Larrialdietako gastuak,156252.88,57000.0,7808.07
0350,1110,22710,Bestelako hainbat hornikuntza eta gastu,960000.0,0.0,0.0
0350,2221,12000,Funtzionarioen oinarrizko ordainsariak,5780781.0,5780781.0,4918598.36
0350,2221,12100,Funtzionarioen ordainsari osagarriak,10064933.0,10064933.0,10623974.51
0350,2221,14100,Bestelako langileak,14809.0,14809.0,0.0
0350,2221,16000,"Gizarte Segurantza, enpresaren kontura",4206550.0,4206550.0,4463839.63
0350,2221,16220,Kalte-ordainak,119.0,119.0,0.0
0350,2221,16500,"Elkarkidetzako kuotak, Udalaren kontura",273245.0,273245.0,33133.05
0350,2221,20301,Rentinga - Txakurren unitatea,37000.0,0.0,0.0
0350,2221,20501,Tetra irrati-komunikazioen sistemaren rentinga,1.0,8000.0,7893.32
0350,2221,21300,Ibilgailuak konpontzea,88000.0,88000.0,83188.41
0350,2221,21400,Altzariak konpontzea,25000.0,0.0,0.0
0350,2221,21900,Ekipoak berritzea eta erostea,50000.0,50000.0,42838.5
0350,2221,21905,Segurtasun scannerra eta USPa onik zaintzea,7280.0,7500.0,5118.23
0350,2221,22002,"Prentsa, aldizkariak eta bestelako argitalpenak",1000.0,0.0,0.0
0350,2221,22104,Erregaiak,140000.0,0.0,0.0
0350,2221,22105,Jantziak eta uniformeak,220000.0,200000.0,127436.95
0350,2221,22111,Tresna eta lanabesak,110000.0,50000.0,15818.29
0350,2221,22112,Osasun-material eta -jarduerak,3000.0,3000.0,1070.6
0350,2221,22199,Bestelako hornikuntzak,63000.0,30000.0,12945.49
0350,2221,22699,Bestelako hainbat gastu,20000.0,10000.0,16342.2
0350,2223,21900,Ekipoak berritzea eta erostea,5000.0,5000.0,0.0
0350,2223,22199,Bestelako hornikuntzak,15000.0,15000.0,8522.48
0350,2223,22699,Bestelako hainbat gastu,18000.0,59000.0,29432.7
0350,2224,22105,Jantziak eta uniformeak,10000.0,0.0,0.0
0350,2224,22199,Bestelako hornikuntzak,2000.0,0.0,0.0
0350,2234,21000,Azpiegiturak eta ondasun naturalak,25000.0,4000.0,3008.34
0410,0111,32000,Epe laburreko zorraren interes eta komisioak,215426.36,215426.36,105650.72
0410,0111,33000,Epe luzeko zorraren interesak eta komisioak,3990000.0,3108363.95,2762702.03
0410,0111,36100,"Interesak, zor ez ziren sarrerak itzultzean",150000.0,150000.0,21683.97
0410,0111,36101,Diru-sarrerei lotutako finantza-gastuak,140000.0,140000.0,131293.55
0410,0111,36900,Bestelako finantza-gastuak,10000.0,10000.0,1523.69
0410,0111,91005,Kredituen amortizazioa,12814326.21,12814326.21,12724988.34
0410,1200,22101,Energia elektrikoa,8000000.0,8700000.0,8833732.44
0410,1200,22102,Ur-hornidura eta hondar-urak araztea,1300000.0,890000.0,139453.07
0410,1200,22401,Udal eraikin eta lokalen aseguruak,433500.0,350000.0,338607.42
0410,1201,20300,Ibilgailuak alokatzea,35000.0,0.0,0.0
0410,1201,20301,Ibilgailuen rentinga,800000.0,822000.0,709092.45
0410,1201,21300,Ibilgailuak konpontzea,20400.0,200000.0,90836.22
0410,1201,22104,Erregaiak,25500.0,400000.0,372615.27
0410,1201,22404,Ibilgailuen aseguruak,190000.0,127000.0,126250.0
0410,1203,21400,Altzariak konpontzea,6120.0,15000.0,2205.1
0410,1203,21500,Ekipoak mantentzeko kontratuak,130000.0,130000.0,144449.1
0410,1203,22001,"Ohikoa, inbentariatu ezina",370000.0,300000.0,174447.84
0410,1203,22110,Kopiagintza-gastuak,76500.0,100000.0,68188.22
0410,1203,22663,Elorriagako ustiapenak bertan behera geratzea konpentsatzea,46200.0,46200.0,49807.92
0410,1203,22732,Zerbitzuak emateko kontratuak,145000.0,113000.0,145068.21
0410,1204,20100,Lokal eta eraikinak alokatzea,2767642.0,2819646.0,2831840.2
0410,1204,21103,Alokatutako eraikinak egokitzea,500000.0,0.0,0.0
0410,1204,22402,Erantzukizun zibileko aseguruak,433500.0,315000.0,312208.81
0410,1204,22407,Bizitza- eta istripu-asegurua,98940.0,20000.0,26390.89
0410,1204,22499,Kalte-ordainak - Ondare-erantzukizuna,332500.0,332500.0,300759.26
0410,1204,22601,Auzo-komunitateetako gastuak,198900.0,249444.62,289378.88
0410,1204,22760,Erloju publikoak mantentzea,18819.0,18819.0,18620.73
0410,1204,22761,Izotz-pista alokatzeko kontratuak,800000.0,0.0,0.0
0410,1261,22639,Atezaintza-gastuak,475.0,475.0,0.0
0410,6111,12000,Funtzionarioen oinarrizko ordainsariak,25763.0,25763.0,21281.58
0410,6111,12100,Funtzionarioen ordainsari osagarriak,39537.0,39537.0,48716.52
0410,6111,16000,"Gizarte Segurantza, enpresaren kontura",9671.0,9671.0,9865.9
0410,6111,16500,"Elkarkidetzako kuotak, Udalaren kontura",1400.0,1400.0,82.64
0410,6111,22600,Ondasunen erregistro-gastuak,35700.0,30000.0,28633.61
0410,6111,22611,Katastroa mantentzea,501000.0,501000.0,488926.72
0410,6111,22776,Isunen Ataleko zerbitzuak,293760.0,250000.0,247038.37
0410,6111,22785,Zezen-ikuskizunen kontratuak,1000000.0,0.0,6088.8
