#Económico,Denominación Aplicación Ingresos,C.DEFINITVO,DRN NETOS
11201,Impuesto B. Inmuebles naturaleza rústica,295000.0,294556.51
11202,Impuesto B. Inmuebles naturaleza urbana,44220000.0,44514285.93
11203,Impuesto características especiales,475000.0,468744.55
11301,Impuesto sobre vehículos tracción mecánica,16375000.0,15504368.94
11401,Impuesto sobre incremento valor terrenos,15150000.0,10761278.26
13001,Impuesto sobre actividades económicas,14300000.0,14773514.15
13002,Participación en cuotas provinciales y estatales,1450000.0,1247819.52
28201,Impuestos sobre construcciones e instalaciones,8680000.0,12281240.22
28301,Aprovechamiento del coto de caza,2111.0,2111.0
30001,Venta de efectos no utilizables,30000.0,4455.4
30002,Venta de publicaciones e impresos,7000.0,0.0
30004,Venta de bienes y efectos en Montehermoso,5000.0,0.0
30006,Venta de energía eléctrica,0.0,929.82
30007,Ingresos oficina de turismo,25000.0,33453.09
31001,Recogida y eliminación de basuras,10850000.0,10316367.99
31003,Servicios funerarios,700000.0,628310.68
31004,"Expedición de informes, atestados, fotocopias, planos y similares",240000.0,58456.76
31005,Retirada de vehículos de la vía pública,315000.0,124278.71
31008,Servicio de prevención y extinción de incendios,10000.0,1811.35
31013,Vertido de residuos en vertedero de Gardelegi,3850000.0,5706962.98
31020,Evacuación de consultas urbanísticas,8000.0,10027.12
31021,Vertido de aguas residuales no domésticas,300000.0,358600.14
31022,Duplicado TMC,10000.0,8281.0
31026,Prestación servicios salud pública,95000.0,81323.46
31027,Tasas de exámenes,3500.0,52432.3
31028,Planta biocompost,2185000.0,1925252.28
31029,Recogida selectiva de envases y residuos,1330000.0,2138368.9
31101,Licencias de apertura de establecimientos,300000.0,338517.37
31105,OTA,0.0,199.29
31201,Otorgamiento de licencias urbanísticas,325000.0,548658.02
32001,OTA - estacionamiento de vehículos en vías públicas,1960000.0,1604301.63
32005,Cesiones de terrenos cementerio El Salvador,230000.0,196168.4
32102,Quioscos en vía pública,2575.5,2446.24
32103,"Vallas, andamios, contenedores, material construcción, en vía pública",350000.0,916015.47
32104,Veladores en vía pública,300000.0,189904.51
32105,Instalaciones en vía pública,275000.0,225497.98
32107,Apertura de calicatas y zanjas,20000.0,24148.16
32109,"Ocupación del suelo, subsuelo y vuelo por empresas de suministros",0.0,284472.74
32110,"Ocupación suelo, subsuelo, vuelo empr explotadora suministros",4175000.0,3548236.64
32111,"Utilización del Palacio de congresos, Principal, Pza toros...",80000.0,0.0
32112,Utilización de salas en centros cívicos,125000.0,184787.3
32113,Uso salas en CETIC y centro empresas Jundiz,10000.0,11849.11
32114,Uso espacios en CSCM,1000.0,965.38
32115,Transporte de energía,300000.0,0.0
32201,Entrada de vehículos por las aceras y reservas de la vía pública para aparcamien,1625000.0,1637434.12
34001,Talleres salud pública,9173.28,17456.67
34002,"Escuelas infantiles, colonias abiertas y rincones de juego",355000.0,332968.65
34004,Asistencia a domicilio 3ª edad,1450000.0,1499885.8
34005,Estancias residencias 3ª edad,3195000.0,3172711.52
34006,Talleres de intervención social,40000.0,74484.31
34007,Formación ocupacional,22000.0,21443.16
34008,Abono instalaciones Mendizorrotza,5900000.0,6026345.22
34009,Abonos temporales y de temporada (Gamarra),1000.0,42921.45
34010,Utilización instalaciones deportivas (reserva y venta),614958.0,617238.98
34012,MatrÍculas en la Academia mpal. de folklore,75000.0,79552.76
