#Económico,Denominación Aplicación Ingresos,C.DEFINITVO
11201,Impuesto B. Inmuebles naturaleza rústica,295000.0
11202,Impuesto B. Inmuebles naturaleza urbana,44220000.0
11203,Impuesto características especiales,475000.0
11301,Impuesto sobre vehículos tracción mecánica,16375000.0
11401,Impuesto sobre incremento valor terrenos,15150000.0
13001,Impuesto sobre actividades económicas,14300000.0
13002,Participación en cuotas provinciales y estatales,1450000.0
28201,Impuestos sobre construcciones e instalaciones,8680000.0
28301,Aprovechamiento del coto de caza,2111.0
30001,Venta de efectos no utilizables,30000.0
30002,Venta de publicaciones e impresos,7000.0
30004,Venta de bienes y efectos en Montehermoso,5000.0
30006,Venta de energía eléctrica,0.0
30007,Ingresos oficina de turismo,25000.0
31001,Recogida y eliminación de basuras,10850000.0
31003,Servicios funerarios,700000.0
31004,"Expedición de informes, atestados, fotocopias, planos y similares",240000.0
31005,Retirada de vehículos de la vía pública,315000.0
31008,Servicio de prevención y extinción de incendios,10000.0
31013,Vertido de residuos en vertedero de Gardelegi,3850000.0
31020,Evacuación de consultas urbanísticas,8000.0
31021,Vertido de aguas residuales no domésticas,300000.0
31022,Duplicado TMC,10000.0
31026,Prestación servicios salud pública,95000.0
31027,Tasas de exámenes,3500.0
31028,Planta biocompost,2185000.0
31029,Recogida selectiva de envases y residuos,1330000.0
31101,Licencias de apertura de establecimientos,300000.0
31201,Otorgamiento de licencias urbanísticas,325000.0
32001,OTA - estacionamiento de vehículos en vías públicas,1960000.0
32005,Cesiones de terrenos cementerio El Salvador,230000.0
32102,Quioscos en vía pública,2575.5
32103,"Vallas, andamios, contenedores, material construcción, en vía pública",350000.0
32104,Veladores en vía pública,300000.0
32105,Instalaciones en vía pública,275000.0
32107,Apertura de calicatas y zanjas,20000.0
32109,"Ocupación del suelo, subsuelo y vuelo por empresas de suministros",0.0
32110,"Ocupación suelo, subsuelo, vuelo empr explotadora suministros",4175000.0
32111,"Utilización del Palacio de congresos, Principal, Pza toros...",80000.0
32112,Utilización de salas en centros cívicos,125000.0
32113,Uso salas en centro empresas Jundiz,10000.0
32114,Uso espacios en CSCM,1000.0
32115,Transporte de energía,300000.0
32201,Entrada de vehículos por las aceras y reservas de la vía pública para aparcamien,1625000.0
34001,Talleres salud pública,9173.28
34002,"Escuelas infantiles, colonias abiertas y rincones de juego",355000.0
34004,Asistencia a domicilio 3ª edad,1450000.0
34005,Estancias residencias 3ª edad,3195000.0
34006,Talleres de intervención social,40000.0
34007,Formación ocupacional,22000.0
34008,Abono instalaciones Mendizorrotza,5900000.0
34009,Abonos temporales y de temporada (Gamarra),1000.0
34010,Utilización instalaciones deportivas (reserva y venta),614958.0
34012,Matrículas en la academia mpal. de Folklore,75000.0
34013,Cursos y talleres de cultura,203871.52
34014,Taquillas teatro,370000.0
34015,Prestación de servicios de ludotecas,11000.0
34016,Prestamos de material audiovisual e iluminación de juventud,4900.0
34018,Talleres de presidencia,169575.86
34020,Abonados a campañas deportivas,750000.0
34023,Estancia en el C.A.M.A.S.,50000.0
34025,Comidas centro socioculturales de mayores,290000.0
34026,Liquidación estancias en residencias 3ª edad,55000.0
34029,Cursos y actividades formativas,7500.0
34032,Venta de entradas presidencia,6371.62
34038,Servicio de bodas,12000.0
34039,Compensación gastos de gestión,500000.0
34040,Ingresos estación de autobuses,450000.0
34041,Ingresos explotación aparcamiento Europa,10000.0
34043,Ingresos aparcamientos de bicicletas seguros,7300.0
36100,Extinción incendios - cuota UNESPA y cías no conveniadas,1040000.0
38001,Reintegro por pagos,820000.0
38002,Reintegros gastos por publicaciones en anuncios,15000.0
38003,Reintegro de gastos o indemnizaciones de cías. aseguradoras,104001.0
38004,Reintegros por costas de la vía de apremio,8000.0
38005,Reintegro indemnizaciones vía judicial,1000.0
38008,Reintegro explotaciones de servicios,126000.0
39101,Multas por infracciones de tráfico,5480000.0
39102,Ingresos por procedimientos sancionadores,1600000.0
39201,Recargos de apremio,1030000.0
39401,Daños en vía pública por accidentes de vehículos,90000.0
39402,Daños en bienes mpales.por actos vandálicos,15000.0
39404,Ingresos ejecuciones subsidiarias,40000.0
39405,Ingresos derivados de costas judiciales,25000.0
39601,Ingresos  empresas de telefonía,850000.0
39902,Otros ingresos diversos,125000.0
39903,Intereses demora ejercicios anteriores,1000.0
39906,Donativos Belén de La Florida,5405.47
39907,Ingresos rifa San Antón,1.0
39909,Participación ingresos aparcamientos,25000.0
40000,De la Admón. General,322600.0
41000,Del Gobierno Vasco,17933841.68
42000,De la Diputación Foral de Alava,7005094.36
42001,FOFEL,166226932.34
48000,De familias,50000.0
49000,De entes de la Unión Europea,50000.0
52500,Intereses en cajas y bancos ayuntamiento,1000.0
53100,Participación en beneficios de empresas con participación mpal.,1700000.0
54001,Rentas arrendamientos fincas urbanas Ayto,105000.0
54002,Arrendamiento locales semillero de empresas,125000.0
54003,Arrendamiento plaza de toros,25000.0
54004,Servicio hostelería en inmuebles municipales,23000.0
55000,Productos de concesiones,675500.0
55004,Cesión de uso plazas aparcamiento,28000.0
59002,Utilización de terrenos,40000.0
60300,Venta de terrenos PMS (incluidos honorarios de proy. básicos),3675132.85
61200,De edificios y otras construcciones,4466515.33
65000,Plusvalías construcción viviendas en Dato - Gral. Alava,976694.0
71000,Del Gobierno Vasco,7709785.48
72000,De la Diputación Foral de Alava,3882924.7
73000,Entes públicos dentro término municipal,10000.0
93301,Préstamos para la financiación de inversiones,17050000.0
