#Orgánico,Funcional,Económico,R,Denominación Aplicación,Tot Crédito inicial 2020,Tot Crédito Definitivo,Tot Obligado
0110,9121,11000,,Retribuciones personal eventual gabinete,1075187.0,1075187.0,1157986.99
0110,9121,12000,,Retribuciones básicas de funcionarios,73457.0,73457.0,78648.5
0110,9121,12100,,Retribuciones complementarias funcionarios,115255.45,115255.45,119055.75
0110,9121,14100,,Otro personal,0.0,0.0,16421.3
0110,9121,16000,,Seguridad social a cargo del ayuntamiento,379454.0,379454.0,403712.74
0110,9121,16500,,Cuotas Elkarkidetza a cargo ayuntamiento,2815.0,2815.0,3313.63
0110,9123,22695,,Otros gastos diversos oficina sindico,700.0,700.0,661.06
0110,9123,22699,,Otros gastos diversos,1327.0,1327.0,840.63
0110,9221,22690,,Elecciones 2019,0.0,199000.0,185054.26
0111,2328,11000,,Retribuciones personal eventual gabinete,85157.0,85157.0,0.0
0111,2328,12000,,Retribuciones básicas de funcionarios,31282.0,31282.0,16582.87
0111,2328,12100,,Retribuciones complementarias funcionarios,46668.0,46668.0,26485.46
0111,2328,14100,,Otro personal,0.0,0.0,8027.64
0111,2328,16000,,Seguridad social a cargo del ayuntamiento,30927.0,30927.0,13599.13
0111,2328,16500,,Cuotas Elkarkidetza a cargo ayuntamiento,3620.0,3620.0,1011.08
0111,4332,22707,,Estudios y trabajos técnicos,0.0,18000.0,17424.0
0112,2301,12000,,Retribuciones básicas de funcionarios,279610.0,279610.0,190830.39
0112,2301,12100,,Retribuciones complementarias funcionarios,351420.0,351420.0,244801.9
0112,2301,14100,,Otro personal,39736.0,39736.0,68394.37
0112,2301,16000,,Seguridad social a cargo del ayuntamiento,177550.0,177550.0,148682.7
0112,2301,16500,,Cuotas Elkarkidetza a cargo ayuntamiento,14353.0,14353.0,10606.98
0116,2371,12000,,Retribuciones básicas de funcionarios,146944.0,146944.0,138588.1
0116,2371,12100,,Retribuciones complementarias funcionarios,183559.0,183559.0,176262.2
0116,2371,14100,,Otro personal,100360.0,100360.0,114650.26
0116,2371,16000,,Seguridad social a cargo del ayuntamiento,117911.0,117911.0,117928.6
0116,2371,16500,,Cuotas Elkarkidetza a cargo ayuntamiento,7727.0,7727.0,7538.7
0116,2371,22115,,Material técnico específico juventud,100.0,100.0,73.51
