#Orgánico,Funcional,Económico,R,Denominación Aplicación,Crédito Inicial 2022,Crédito Definitivo 2022,Obligado,i,j
0110,1515,22603,R,Piie gastos ofi. prox. zaramaga,0,31751.02,724.48,,
0110,9121,11000,,Retribuciones personal eventual gabinete,1266859,1266859,991871.34,,
0110,9121,12000,,Retribuciones basicas de funcionarios,106397,106397,90501.4,,
0110,9121,12100,,Retribuciones complementarias funcionarios,163057,163057,142164.61,,
0110,9121,14100,,Otro personal,4780.79,4780.79,4507.43,,
0110,9121,16000,,Seguridad social a cargo del ayuntamiento,499052,499052,398500.7,,
0110,9121,16500,,Cuotas elkarkidetza a cargo ayuntamiento,5521,5521,6377.75,,
0110,9123,22695,,Otros gastos diversos oficina sindica,900,900,0,,
0110,9123,22699,,Otros gastos diversos,2000,2000,942.28,,
0111,1341,62705,A,Eu ciudades conectadas,0,779614.2,9220.5,,
0111,1341,62705,R,Eu ciudades conectadas,0,49054.9,1361.25,,
0111,2328,11000,,Retribuciones personal eventual gabinete,94609.27,94609.27,0,,
0111,2328,12000,,Retribuciones basicas de funcionarios,93789,93789,12398.65,,
0111,2328,12100,,Retribuciones complementarias funcionarios,109047,109047,23164.68,,
0111,2328,14100,,Otro personal,0,0,7558.38,,
0111,2328,16000,,Seguridad social a cargo del ayuntamiento,76657,76657,12959.34,,
0111,2328,16500,,Cuotas elkarkidetza a cargo ayuntamiento,3919,3919,795.5,,
0111,3411,22704,,Patrocinio ironman vitoria-gasteiz,125000,125000,100000,,
0111,4332,22601,,Patroncinio concierto sinfónico de música de álava,0,12000,12000,,
0111,4332,22705,,Patrocinio vitoria-gasteiz trail,0,15000,15000,,
0111,4332,22707,,Estudios y trabajos tecnicos,159710.5,116216.5,38130.9,,
0111,4332,22743,,Proyectos estratégicos y eventos ciudad,294388.5,294388.5,87853.85,,
0111,4332,41401,,Convenios promoción ciudad,150000,43000,0,,
0111,4332,47142,R,Convenio hibridalab,0,8000,7515.12,,
0111,4332,48160,,Convenio green deal,20000,10000,0,,
0111,9204,22724,,Oficina del dato,90000,0,0,,
0111,9204,22725,,Oficina del dato,0,90000,7452.39,,
0112,2301,12000,,Retribuciones basicas de funcionarios,154169.35,154169.35,99487.77,,
0112,2301,12100,,Retribuciones complementarias funcionarios,191613,191613,129277.04,,
0112,2301,14100,,Otro personal,14543,14543,100918.98,,
0112,2301,16000,,Seguridad social a cargo del ayuntamiento,104416,104416,103551.65,,
0112,2301,16500,,Cuotas elkarkidetza a cargo ayuntamiento,7541,7541,7897.97,,
0116,2371,12000,,Retribuciones basicas de funcionarios,143204.98,143204.98,114494.2,,
0116,2371,12100,,Retribuciones complementarias funcionarios,182375,182375,151239.71,,
0116,2371,14100,,Otro personal,103707,103707,53995.84,,
0116,2371,16000,,Seguridad social a cargo del ayuntamiento,133981,133981,99543.51,,
0116,2371,16500,,Cuotas elkarkidetza a cargo ayuntamiento,6040,6040,4313.6,,
0116,2371,22115,,Material tecnico especifico,100,100,95.18,,
0116,2371,22734,,Programa de ocio y tiempo libre,370000,352000,183278,,
0116,2371,22736,,Contrato servicios juventud,215801,215801,193320.88,,
0116,2371,22737,,Oficina municipal de informacion joven,70000,70000,6097.91,,
0116,2371,22775,,Plan joven,100000,100000,122253.78,,
0116,2371,22776,,Gazte plaza,50000,50000,0,,
0116,2371,41924,,Convenio consejo juventud euskadi-fomento participacion juvenil,10500,10500,8400,,
0116,2371,48935,,Convocatoria subvenciones,30000,30000,0,,
0116,2371,48935,R,Convocatoria subvenciones,0,5115,4155,,
0116,2371,48936,,Convocatoria de subvención para jovenes informadores,11000,11000,0,,
0116,2371,48936,R,Convoc. jovenes informad eemm,0,3750,3750,,
0116,2371,48937,,Ayudas para impulsar el conocimiento de inglés,0,30000,0,,
0116,2371,62505,,Otros enseres,6000,14000,99.8,,
0116,2371,62800,,Adquisicion publicaciones y libros,500,500,403.82,,
0125,9124,12000,,Retribuciones basicas de funcionarios,128899.77,128899.77,82028.02,,
0125,9124,12100,,Retribuciones complementarias funcionarios,195413,195413,133731.13,,
0125,9124,14100,,Otro personal,39483,39483,56683.53,,
0125,9124,16000,,Seguridad social a cargo del ayuntamiento,95550,95550,78165.71,,
0125,9124,16500,,Cuotas elkarkidetza a cargo ayuntamiento,7963,7963,5487.73,,
0126,9124,12000,,Retribuciones basicas de funcionarios,1,1,0,,
0126,9124,12100,,Retribuciones complementarias funcionarios,510,510,0,,
0130,9201,11000,,Retribuciones personal eventual gabinete,68802.14,68802.14,257.84,,
0130,9201,12000,,Retribuciones basicas de funcionarios,234017,234017,175547.05,,
0130,9201,12100,,Retribuciones complementarias funcionarios,412629,412629,300918.73,,
0130,9201,14100,,Otro personal,68748,68748,26282.01,,
0130,9201,16000,,Seguridad social a cargo del ayuntamiento,159152,159152,102788.01,,
0130,9201,16500,,Cuotas elkarkidetza a cargo ayuntamiento,15714,15714,9189.72,,
0130,9201,22610,,Indemnizaciones,1000,1000,0,,
0130,9201,22617,,Honorarios y minutas,30000,30000,30767.47,,
0130,9201,62800,,Adquisicion publicaciones y libros,15000,15000,14274.64,,
0145,9121,11000,,Retribuciones personal eventual gabinete,299626.95,299626.95,185898.88,,
0145,9121,12000,,Retribuciones basicas de funcionarios,0,0,17596.16,,
0145,9121,12100,,Retribuciones complementarias funcionarios,0,0,35686.15,,
0145,9121,16000,,Seguridad social a cargo del ayuntamiento,59377,59377,45570.02,,
0145,9121,16500,,Cuotas elkarkidetza a cargo ayuntamiento,1069,1069,2849.52,,
0160,2381,12000,,Retribuciones basicas de funcionarios,143631.1,143631.1,90744.26,,
0160,2381,12100,,Retribuciones complementarias funcionarios,190054,190054,116467.36,,
0160,2381,14100,,Otro personal,47097,47097,63173.61,,
0160,2381,16000,,Seguridad social a cargo del ayuntamiento,109498,109498,97718.16,,
