#Orgánico,Funcional,Económico,R,Denominación Aplicación,Crédito Inicial 2022,Crédito Definitivo 2022,Obligado 
0110,1515,22603,R,Piie gastos ofi. prox. zaramaga,0.0,31751.02,724.48
0110,9121,11000,,Retribuciones personal eventual gabinete,1266859.0,1266859.0,675774.52
0110,9121,12000,,Retribuciones basicas de funcionarios,106397.0,106397.0,64940.15
0110,9121,12100,,Retribuciones complementarias funcionarios,163057.0,163057.0,91493.49
0110,9121,14100,,Otro personal,4780.79,4780.79,4425.43
0110,9121,16000,,Seguridad social a cargo del ayuntamiento,499052.0,499052.0,262924.16
0110,9121,16500,,Cuotas elkarkidetza a cargo ayuntamiento,5521.0,5521.0,4377.17
0110,9123,22695,,Otros gastos diversos oficina sindica,900.0,900.0,0.0
0110,9123,22699,,Otros gastos diversos,2000.0,2000.0,0.0
0111,1341,62705,A,Eu ciudades conectadas,0.0,779614.2,0.0
0111,1341,62705,R,Eu ciudades conectadas,0.0,49054.9,1361.25
0111,2328,11000,,Retribuciones personal eventual gabinete,94609.27,94609.27,0.0
0111,2328,12000,,Retribuciones basicas de funcionarios,93789.0,93789.0,9289.52
0111,2328,12100,,Retribuciones complementarias funcionarios,109047.0,109047.0,15125.39
0111,2328,14100,,Otro personal,0.0,0.0,7558.38
0111,2328,16000,,Seguridad social a cargo del ayuntamiento,76657.0,76657.0,9495.75
0111,2328,16500,,Cuotas elkarkidetza a cargo ayuntamiento,3919.0,3919.0,556.85
0111,3411,22704,,Patrocinio ironman vitoria-gasteiz,125000.0,125000.0,100000.0
0111,4332,22601,,Patroncinio concierto sinfónico de música de álava,0.0,12000.0,0.0
0111,4332,22705,,Patrocinio vitoria-gasteiz trail,0.0,15000.0,0.0
0111,4332,22707,,Estudios y trabajos tecnicos,159710.5,124216.5,2206.0
0111,4332,22743,,Proyectos estratégicos y eventos ciudad,294388.5,294388.5,83645.01
0111,4332,41401,,Convenios promoción ciudad,150000.0,73000.0,0.0
0111,4332,47142,R,Convenio hibridalab,0.0,8000.0,7515.12
0111,4332,48160,,Convenio green deal,20000.0,10000.0,0.0
0111,9204,22724,,Oficina del dato,90000.0,0.0,0.0
0111,9204,22725,,Oficina del dato,0.0,90000.0,5575.68
0112,2301,12000,,Retribuciones basicas de funcionarios,154169.35,154169.35,73565.51
0112,2301,12100,,Retribuciones complementarias funcionarios,191613.0,191613.0,86583.93
0112,2301,14100,,Otro personal,14543.0,14543.0,63881.68
0112,2301,16000,,Seguridad social a cargo del ayuntamiento,104416.0,104416.0,68098.01
0112,2301,16500,,Cuotas elkarkidetza a cargo ayuntamiento,7541.0,7541.0,5357.13
0116,2371,12000,,Retribuciones basicas de funcionarios,143204.98,143204.98,81418.02
0116,2371,12100,,Retribuciones complementarias funcionarios,182375.0,182375.0,96634.98
0116,2371,14100,,Otro personal,103707.0,103707.0,36197.63
0116,2371,16000,,Seguridad social a cargo del ayuntamiento,133981.0,133981.0,65936.54
0116,2371,16500,,Cuotas elkarkidetza a cargo ayuntamiento,6040.0,6040.0,3019.52
0116,2371,22115,,Material tecnico especifico,100.0,100.0,95.18
0116,2371,22734,,Programa de ocio y tiempo libre,370000.0,352000.0,73357.54
0116,2371,22736,,Contrato servicios juventud,215801.0,215801.0,193320.88
0116,2371,22737,,Oficina municipal de informacion joven,70000.0,70000.0,5677.91
0116,2371,22775,,Plan joven,100000.0,100000.0,92703.11
0116,2371,22776,,Gazte plaza,50000.0,50000.0,0.0
0116,2371,41924,,Convenio consejo juventud euskadi-fomento participacion juvenil,10500.0,10500.0,8400.0
0116,2371,48935,,Convocatoria subvenciones,30000.0,30000.0,0.0
0116,2371,48935,R,Convocatoria subvenciones,0.0,5115.0,2940.0
0116,2371,48936,,Convocatoria de subvención para jovenes informadores,11000.0,11000.0,0.0
0116,2371,48936,R,Convoc. jovenes informad eemm,0.0,3750.0,0.0
0116,2371,62505,,Otros enseres,6000.0,6000.0,99.8
0116,2371,62800,,Adquisicion publicaciones y libros,500.0,500.0,372.32
0125,9124,12000,,Retribuciones basicas de funcionarios,128899.77,128899.77,59336.18
0125,9124,12100,,Retribuciones complementarias funcionarios,195413.0,195413.0,82971.71
0125,9124,14100,,Otro personal,39483.0,39483.0,37477.92
0125,9124,16000,,Seguridad social a cargo del ayuntamiento,95550.0,95550.0,51372.47
0125,9124,16500,,Cuotas elkarkidetza a cargo ayuntamiento,7963.0,7963.0,3981.04
0126,9124,12000,,Retribuciones basicas de funcionarios,1.0,1.0,0.0
0126,9124,12100,,Retribuciones complementarias funcionarios,510.0,510.0,0.0
0130,9201,11000,,Retribuciones personal eventual gabinete,68802.14,68802.14,257.84
0130,9201,12000,,Retribuciones basicas de funcionarios,234017.0,234017.0,127418.77
0130,9201,12100,,Retribuciones complementarias funcionarios,412629.0,412629.0,194203.36
0130,9201,14100,,Otro personal,68748.0,68748.0,17258.63
0130,9201,16000,,Seguridad social a cargo del ayuntamiento,159152.0,159152.0,67666.99
0130,9201,16500,,Cuotas elkarkidetza a cargo ayuntamiento,15714.0,15714.0,6694.01
0130,9201,22610,,Indemnizaciones,1000.0,1000.0,0.0
0130,9201,22617,,Honorarios y minutas,30000.0,30000.0,23004.2
0130,9201,62800,,Adquisicion publicaciones y libros,15000.0,15000.0,14274.64
0145,9121,11000,,Retribuciones personal eventual gabinete,299626.95,299626.95,140292.76
0145,9121,12000,,Retribuciones basicas de funcionarios,0.0,0.0,12164.17
0145,9121,12100,,Retribuciones complementarias funcionarios,0.0,0.0,18671.52
0145,9121,16000,,Seguridad social a cargo del ayuntamiento,59377.0,59377.0,32035.94
0145,9121,16500,,Cuotas elkarkidetza a cargo ayuntamiento,1069.0,1069.0,2137.14
0160,2381,12000,,Retribuciones basicas de funcionarios,143631.1,143631.1,64638.53
