#Económico,Denominacion Aplicacion Ingresos,C.DEFINITVO,DRN NETOS
11201,Impuesto b.inmuebles naturaleza rustica,295000.0,293626.03
11202,Impuesto b.inmuebles naturaleza urbana,45000000.0,45326369.29
11203,Impuesto caracteristicasespeciales,475000.0,466779.05
11301,Impuesto sobre vehiculos traccion mecanica,15825000.0,15294229.67
11401,Impuesto sobre incremento valor terrenos,15150000.0,6078591.79
13001,Impuesto sobre actividades economicas,14725000.0,43071.33
13002,Participacion en cuotas provinciales y estatales,1500000.0,0.0
28201,Impuestos sobre construcciones e instalaciones,12000000.0,10904058.87
30001,Venta de efectos no utilizables,10000.0,20218.75
30002,Venta de publicaciones e impresos,5000.0,0.0
30004,Venta de bienes y efectos en montehermoso,5000.0,576.45
30006,Venta de energia electrica,25000.0,5825.84
30007,Venta de bienes y efectos oficina de turismo,40000.0,5942.02
31001,Recogida y eliminacion de basuras,11125000.0,11208909.84
31003,Servicios funerarios,625000.0,496291.89
31004,"Expedición de informes, atestados, fotocopias, planos y similares",200000.0,75260.54
31005,Retirada de vehículos de la vía pública,550000.0,178727.98
31008,Servicio de prevención y extinción de incendios,10000.0,1181.68
31013,Vertido de residuos en vertedero de gardelegi,4500000.0,1805487.96
31020,Evacuación de consultas urbanísticas,8080.0,5502.44
31021,Vertido de aguas residuales no domesticas,200000.0,191548.23
31022,Duplicado tmc,13000.0,5255.5
31026,Prestación servicios salud publica,60000.0,32699.69
31027,Tasas de exámenes,65000.0,-3673.81
31028,Planta biocompost,2500000.0,1076732.76
31029,Recogida selectiva de envases y residuos,1885000.0,460642.87
31101,Licencias de apertura de establecimientos,330000.0,159815.28
31201,Otorgamiento de licencias urbanísticas,620000.0,439436.47
32001,Ota - estacionamiento de vehículos en vías publicas,1900000.0,1062913.94
32005,Cesiones de terrenos cementerio el salvador,180000.0,25787.06
32102,Quioscos en vía pública,3000.0,1371.12
32103,"Vallas, andamios, contenedores, material construcción, en vía pública",700000.0,280268.52
32104,Veladores en vía pública,500000.0,467719.27
32105,Instalaciones en vía publica,575000.0,126391.0
32107,Apertura de calicatas y zanjas,50000.0,33516.18
32109,"Ocupación del suelo, subsuelo y vuelo",250000.0,218213.53
32110,"Ocupación suelo, subsuelo, vuelo empr explotadora suministros",5800000.0,1557957.08
32111,"Utilización del palacio de congresos, principal, pza toros...",225000.0,135530.48
32112,Utilización de salas en centros cívicos,60000.0,26045.72
32113,Uso salas en centro empresas jundiz,9900.0,1427.44
32114,Uso espacios en cscm,2500.0,391.84
32115,Transporte de energia,300000.0,0.0
32201,Entrada de vehículos por las aceras y reservas de la vía publica para aparcamien,1650000.0,781828.55
34001,Talleres salud publica,15500.0,10230.97
34002,"Escuelas infantiles,colonias abiertas y rincones de juego",230000.0,40650.55
34004,Asistencia a domicilio 3ª edad,2900000.0,1830946.19
34005,Estancias residencias 3ª edad,3260000.0,1619040.04
34006,Talleres de intervencion social,70000.0,14974.29
34007,Formacion ocupacional,24000.0,17606.62
34008,Abono instalaciones mendizorrotza,6150000.0,6052418.82
34009,Abonos temporales y de temporada (gamarra),140000.0,86979.5
34010,Utilizacion instalaciones deportivas (reserva y venta),1350000.0,460933.54
34012,Matriculas en la academia mpal. de folklore,80000.0,24955.49
34013,Cursos y talleres de cultura,380000.0,194944.65
34014,Taquillas  teatro,450000.0,268967.55
34015,Prestacion de servicios de ludotecas,40000.0,44823.22
34016,Prestamos de material audiovisual e luminacion de juventud,7000.0,2813.36
34018,Talleres de presidencia,225000.0,133128.97
34020,Abonados a campañas deportivas,1100000.0,384292.88
34023,Estancia en el c.a.m.a.s.,50000.0,0.0
34024,Estancias en pisos tutelados,4000.0,7488.29
34025, comidas centro socioculturales de mayores,2730.0,192.32
34026,Liquidacion estancias en residencias 3ª edad,125000.0,49375.6
34029,Cursos y actividades formativas,5000.0,0.0
34032,Venta de entradas presidencia,5000.0,3197.4
34038,Servicio de bodas,20000.0,13627.33
34039,Compensacion gastos de gestion,750000.0,473323.55
34040,Ingresos estación de autobuses,700000.0,265538.96
34041,Uso de parcelas en huertos urbanos,10100.0,7972.51
34043,Ingresos aparcamientos de bicicletas seguros,20000.0,11723.06
36100,Extinción incendios - cuota unespa y cias no conveniadas,1205000.0,-136838.33
38001,Reintegro por pagos,850000.0,844558.99
38002,Reintegros gastos por publicaciones en anuncios,30000.0,2158.31
38003,Reintegro de gastos o indemnizaciones de cias. aseguradoras,560001.0,628877.01
38004,Reintegros por costas de la via de apremio,8000.0,793.77
38005,Reintegro indemnizaciones via judicial,1000.0,20.54
38008,Reintegro explotaciones de servicios,118000.0,50466.58
39101,Multas por infracciones de trafico,5000000.0,2761452.76
39102,Ingresos por procedimientos sancionadores,1500000.0,912216.81
39201,Recargos de apremio,950000.0,498201.53
39401,Daños en via publica por accidentes de vehiculos,60000.0,17418.52
39402,Daños en bienes mpales.por actos vandalicos,15000.0,3.46
39403,Actuaciones del seis por limpieza de calzadas por accid,5000.0,802.01
39404,Ingresos ejecuciones subsidiarias,20000.0,0.0
39405,Ingresos derivados de costas judiciales,25000.0,2780.0
39601,Ingresos  empresas de telefonia,800000.0,184718.29
39902,Otros ingresos diversos,250000.0,-2696.0
39903,Intereses demora ejercicios anteriores,1000.0,0.0
39906,Donativos belen de la florida,1.0,19763.23
39907,Ingresos rifa san anton,1.0,16649.5
39909,Participacion ingresos aparcamientos,20000.0,2623.29
40000,De la admon. general,2719555.44,20984.56
40001,Impuestos no concertados,288000.0,71748.09
41000,Del gobierno vasco,20133728.08,7251677.4
42000,De la diputacion foral de alava,7588298.86,3331432.93
42001,Fofel,214014917.84,108232057.02
42002,Liquidacion fofel,2998852.35,4505255.98
47000,De empresas participadas,5950.0,2950.0
48000,De familias,55000.0,84525.0
48001,Fundación vital - convenio hazia inserción laboral de jóvenes,53000.0,0.0
49000,De entes de la union europea,123000.0,-18032.53
52500,Intereses en cajas y bancos ayuntamiento,2000000.0,1430215.21
54001,Rentas arrendamientos fincas urbanas ayto,125000.0,69435.54
54002,Arrendamiento locales semillero de empresas,130000.0,61467.39
54004,Servicio hostelería en inmuebles municipales,25000.0,30117.1
55000,Productos de concesiones,750000.0,772313.78
55004,Cesion de uso plazas aparcamiento,30000.0,0.0
59002,Utilizacion de terrenos,20000.0,5764.31
60300,Venta de terrenos pms (incluidos honorarios de proy basicos),12803400.0,0.0
61200,De edificios y otras construcciones,880000.0,13148.44
65100,Cesiones obligatorias aprovechamiento,0.0,1512049.06
71000,Del gobierno vasco,10884897.17,257586.26
72000,De la diputacion foral de alava,4255000.0,32000.0
73000,Entes publicos dentro termino municipal,40000.0,0.0
77000,Empresas privadas,8050.0,8050.0
87001,Rtgg,26679120.08,0.0
87002,Rtgfa,39501186.66,0.0
93301,Prestamos para la financiacion de inversiones,15289805.62,0.0
