#Orgánico,Funcional,Económico,R,Denominación Aplicacion,Tot Crédito inicial 2020,Tot Crédito Definitivo,Tot Obligado
0110,9121,11000,,Retribuciones personal eventual gabinete,1126834.0,1126834.0,1135944.53
0110,9121,12000,,Retribuciones básicas de funcionarios,80881.0,80881.0,81288.85
0110,9121,12100,,Retribuciones complementarias funcionarios,122362.0,122362.0,121596.73
0110,9121,14100,,Otro personal,3424.0,3424.0,0.0
0110,9121,16000,,Seguridad social a cargo del Ayuntamiento,486919.0,483662.66,399634.56
0110,9121,16500,,Cuotas Elkarkidetza a cargo Ayuntamiento,0.0,3256.34,2890.3
0110,9123,22695,,Otros gastos diversos oficina síndica,700.0,700.0,381.42
0110,9123,22699,,Otros gastos diversos,1327.0,1727.0,2045.58
0111,2328,11000,,Retribuciones personal eventual gabinete,80951.0,80951.0,0.0
0111,2328,12000,,Retribuciones básicas de funcionarios,68256.0,68256.0,17168.23
0111,2328,12100,,Retribuciones complementarias funcionarios,74556.0,74556.0,27033.0
0111,2328,14100,,Otro personal,43111.0,43111.0,16436.35
0111,2328,16000,,Seguridad social a cargo del Ayuntamiento,80218.0,78629.52,16513.83
0111,2328,16500,,Cuotas Elkarkidetza a cargo Ayuntamiento,0.0,1588.48,1019.2
0111,4332,22621,,Estudios y evolución de políticas públicas,100000.0,100000.0,0.0
0111,4332,22701,,Impulso a proyectos comunitarios,0.0,90000.0,8039.25
0111,4332,22707,,Estudios y trabajos técnicos,18000.0,18000.0,16048.73
0111,4332,22743,,Proyectos estratégicos y eventos ciudad,100000.0,100000.0,0.0
0112,2301,12000,,Retribuciones básicas de funcionarios,225839.0,225839.0,147131.68
0112,2301,12100,,Retribuciones complementarias funcionarios,268039.0,268039.0,181095.98
0112,2301,14100,,Otro personal,68220.0,68220.0,46737.1
0112,2301,16000,,Seguridad social a cargo del Ayuntamiento,185006.0,172698.48,103683.79
0112,2301,16500,,Cuotas Elkarkidetza a cargo Ayuntamiento,0.0,12307.52,7010.89
0116,2371,12000,,Retribuciones básicas de funcionarios,145721.0,145721.0,146376.95
0116,2371,12100,,Retribuciones complementarias funcionarios,183326.0,183326.0,184498.78
0116,2371,14100,,Otro personal,117547.0,117547.0,110763.96
0116,2371,16000,,Seguridad social a cargo del Ayuntamiento,129469.0,121994.37,119490.24
0116,2371,16500,,Cuotas Elkarkidetza a cargo Ayuntamiento,0.0,7474.63,7589.74
0116,2371,22115,,Material técnico específico,100.0,100.0,59.9
0116,2371,22734,,Programa de ocio y tiempo libre,378000.0,303000.0,205975.08
0116,2371,22736,,Contrato servicios juventud,147521.5,147521.5,112856.69
0116,2371,22737,,Oficina municipal de informacion joven,6000.0,6000.0,5093.82
0116,2371,22775,,Plan joven,120000.0,120000.0,33760.27
0116,2371,22775,A,Plan joven,0.0,278.18,278.18
0116,2371,22775,R,Plan joven,0.0,1806.1,1806.1
0116,2371,41924,,Convenio consejo juventud Euskadi-fomento Participación juvenil,10500.0,10500.0,8400.0
0116,2371,48935,,Convocatoria general de subvenciones,35000.0,35000.0,0.0
