#Orgánico,Funcional,Económico,R,Denominación Aplicación,Tot Crédito inicial 2020,Tot Crédito Definitivo,Tot Obligado 
0110,9121,11000,,Retribuciones personal eventual gabinete,1126834.0,1126834.0,578973.52
0110,9121,12000,,Retribuciones básicas de funcionarios,80881.0,80881.0,40212.54
0110,9121,12100,,Retribuciones complementarias funcionarios,122362.0,122362.0,59941.52
0110,9121,14100,,Otro personal,3424.0,3424.0,0.0
0110,9121,16000,,Seguridad social a cargo del ayuntamiento,486919.0,483662.66,199446.91
0110,9121,16500,,Cuotas Elkarkidetza a cargo ayuntamiento,0.0,3256.34,1445.15
0110,9123,22695,,Otros gastos diversos oficina sindic0,700.0,700.0,700.0
0110,9123,22699,,Otros gastos diversos,1327.0,1327.0,0.0
0111,2328,11000,,Retribuciones personal eventual gabinete,80951.0,80951.0,0.0
0111,2328,12000,,Retribuciones básicas de funcionarios,68256.0,68256.0,8573.32
0111,2328,12100,,Retribuciones complementarias funcionarios,74556.0,74556.0,13527.3
0111,2328,14100,,Otro personal,43111.0,43111.0,11031.14
0111,2328,16000,,Seguridad social a cargo del ayuntamiento,80218.0,78629.52,9122.49
0111,2328,16500,,Cuotas Elkarkidetza a cargo ayuntamiento,0.0,1588.48,509.6
0111,4332,22621,,Estudios y evolución de políticas públicas,100000.0,100000.0,0.0
0111,4332,22707,,Estudios y trabajos técnicos,18000.0,18000.0,0.0
0111,4332,22743,,Proyectos estratégicos y eventos ciudad,100000.0,100000.0,0.0
0112,2301,12000,,Retribuciones básicas de funcionarios,225839.0,225839.0,71847.65
0112,2301,12100,,Retribuciones complementarias funcionarios,268039.0,268039.0,87625.78
0112,2301,14100,,Otro personal,68220.0,68220.0,28992.84
0112,2301,16000,,Seguridad social a cargo del ayuntamiento,185006.0,172698.48,51158.28
0112,2301,16500,,Cuotas Elkarkidetza a cargo ayuntamiento,0.0,12307.52,3451.11
0116,2371,12000,,Retribuciones básicas de funcionarios,145721.0,145721.0,71644.68
0116,2371,12100,,Retribuciones complementarias funcionarios,183326.0,183326.0,92054.71
0116,2371,14100,,Otro personal,117547.0,117547.0,55471.55
0116,2371,16000,,Seguridad social a cargo del ayuntamiento,129469.0,121994.37,59930.91
0116,2371,16500,,Cuotas Elkarkidetza a cargo ayuntamiento,0.0,7474.63,3755.01
0116,2371,22115,,Material técnico especifico,100.0,100.0,0.0
0116,2371,22734,,Programa de ocio y tiempo libre,378000.0,378000.0,81737.68
0116,2371,22736,,Contrato servicios juventud,147521.5,147521.5,51330.57
0116,2371,22737,,Oficina municipal de información joven,6000.0,6000.0,824.55
0116,2371,22775,,Plan joven,120000.0,120000.0,5349.97
0116,2371,22775,A,Plan joven,0.0,278.18,278.18
0116,2371,22775,R,Plan joven,0.0,1806.1,1806.1
0116,2371,41924,,Convenio consejo juventud Euskadi-fomento participación juvenil,10500.0,10500.0,0.0
0116,2371,48935,,Convocatoria general de subvenciones,35000.0,35000.0,0.0
0116,2371,48936,,Convocatoria jóvenes informadores en EEMM,10000.0,10000.0,0.0
0116,2371,62505,,Otros enseres,1000.0,1000.0,0.0
0116,2371,62800,,Adquisición publicaciones y libros,1000.0,1000.0,209.91
0125,9124,12000,,Retribuciones básicas de funcionarios,90580.0,90580.0,54754.97
0125,9124,12100,,Retribuciones complementarias funcionarios,140429.0,140429.0,90478.2
0125,9124,14100,,Otro personal,78256.0,78256.0,43930.49
0125,9124,16000,,Seguridad social a cargo del ayuntamiento,87691.0,80753.71,51901.99
0125,9124,16500,,Cuotas Elkarkidetza a cargo ayuntamiento,0.0,6937.29,3836.95
0126,9124,12000,,Retribuciones básicas de funcionarios,10736.0,10736.0,0.0
0126,9124,12100,,Retribuciones complementarias funcionarios,27412.0,27412.0,0.0
0126,9124,14100,,Otro personal,16752.0,16752.0,0.0
0126,9124,16000,,Seguridad social a cargo del ayuntamiento,16193.0,15228.32,0.0
0126,9124,16500,,Cuotas Elkarkidetza a cargo ayuntamiento,0.0,964.68,0.0
0130,9201,11000,,Retribuciones personal eventual gabinete,85548.0,85548.0,42412.05
0130,9201,12000,,Retribuciones básicas de funcionarios,195834.0,195834.0,110626.82
0130,9201,12100,,Retribuciones complementarias funcionarios,297512.0,297512.0,167257.87
0130,9201,14100,,Otro personal,4622.0,4622.0,0.0
0130,9201,16000,,Seguridad social a cargo del ayuntamiento,129955.0,120569.3,60177.25
0130,9201,16500,,Cuotas Elkarkidetza a cargo ayuntamiento,0.0,9385.7,5073.74
0130,9201,22610,,Indemnizaciones,14000.0,14000.0,0.0
0130,9201,22617,,Honorarios y minutas,39620.0,39620.0,14257.96
0145,9121,11000,,Retribuciones personal eventual gabinete,212239.0,212239.0,82275.9
