#Económico,Denominacion Aplicacion Ingresos,Crédito Inicial,C.DEFINITVO,DRN NETOS
11201,Impuesto bienes inmuebles naturaleza rústica,290000.0,290000.0,293793.37
11202,Impuesto bienes inmuebles naturaleza urbana,42100000.0,42100000.0,43100613.11
11301,Impuesto sobre vehículos tracción mecánica,14250000.0,14250000.0,14053667.92
11401,Impuesto sobre incremento valor terrenos,16000000.0,16000000.0,16507652.07
13001,Impuesto sobre actividades económicas,11600000.0,11600000.0,13093658.07
13002,Participación en cuotas provinciales y estatales,1050000.0,1050000.0,978571.91
28201,Impuesto sobre construcciuones e instalaciones,4750000.0,4750000.0,3113463.79
28301,Aprovechamiento del coto de caza,8000.0,8000.0,1200.0
30001,Venta de efectos no utilizables,15000.0,15000.0,51534.5
30002,Venta de publicaciones e impresos,8000.0,8000.0,8.0
30004,Venta de bienes y efectos en Montehermoso,0.0,0.0,62092.48
30006,Ingresos Montehermoso,0.0,0.0,7840.59
30007,Ingresos Oficina de Turismo,10000.0,10000.0,0.0
31001,Recogida y eliminación de basuras,9690364.0,9690364.0,8022862.53
31002,"Recogida selectiva de envases, residuos..",1200000.0,1200000.0,1127632.16
31003,Servicio prevención y extinción incendios,10000.0,10000.0,3059.99
31004,Retirado vehículos y estancia en depósito,300000.0,300000.0,179831.87
31005,Evacuación por escrito de consultas urbanísticas,7000.0,7000.0,6740.25
31006,Licencias urbanísticas,10000.0,10000.0,7082.68
31007,Licencias de apertura de establecimientos,350000.0,350000.0,193039.99
31008,Vertido aguas residuales no domesticas en red alcantarillado (afectada),332000.0,332000.0,252450.98
31009,Vertido de residuos en vertedero de Gardelegui,4450000.0,4450000.0,3360621.64
31010,"Expedicion informes, fotografias, planos, fotocopias...",175000.0,175000.0,128613.68
31012,"Servicios funerarios: inhumaciones, exhumaciones, traslados...",570000.0,570000.0,555643.35
31015,Prestación servicios Demsac,70000.0,70000.0,75806.79
31016,Tasas para concurrir a exámenes de OPE,0.0,0.0,812.0
31101,Instal. en vía pública,550000.0,550000.0,576119.89
31102,Quioscos en la vía pública,2500.0,2500.0,2550.6
31103,Veladores en la vía pública,150000.0,150000.0,164723.51
31104,"Apertura de zanjas, calicatas..",400000.0,400000.0,193303.51
31105,OTA rotacional,2000000.0,2000000.0,1846961.25
31106,"Ocupación de suelo, subsuelo y vuelo, incluidas Gasnalsa e Iberdrola",4000000.0,4000000.0,3744617.62
31108,"Utilización palacio congresos, Teatro Principal, plaza de toros…",100000.0,100000.0,143391.42
31109,Utilización de salas y salones de actos en centros cívicos,30000.0,30000.0,26062.25
31110,Paso de vehículos vados,1700000.0,1700000.0,1622758.13
31111,Cesiones de terrenos en el Cementerio de El Salvador,150000.0,150000.0,135890.29
31112,Utilización de salas en el Centro de empresas de Jundiz,3000.0,3000.0,1327.78
31113,Alquiler de bicicletas,0.0,0.0,187.18
34000,Prestación de servicios SSAA municipales,0.0,0.0,0.0
34001,Talleres Demsac,0.0,0.0,34288.98
34002,"Escuelas infantiles, colonias abiertas y rincones de juego",1100000.0,1100000.0,1034770.21
34003,Cursos y excursiones culturales,0.0,0.0,60.0
34004,Asistencia a domicilio 3ª edad,530000.0,530000.0,527489.54
34005,Estancias residencias 3ª edad,3500000.0,3500000.0,3591091.56
34006,Talleres de intervención social,70000.0,70000.0,68076.4
34007,Formación ocupacional,50000.0,50000.0,44405.31
34008,Abono instalaciones Mendizorrotza,5400000.0,5400000.0,5244809.27
34009,Abonos temporales y de temporada (Gamarra),135000.0,135000.0,135180.67
34010,Utilización instalaciones deportivas (reserva y venta),790000.0,790000.0,921620.13
34011,Alquiler de patines en la pista de hielo,0.0,0.0,417.1
34012,Matrículas en la Academia Municipal de Folklore,130000.0,130000.0,127740.29
34013,Cursos y talleres de Cultura,200000.0,200000.0,198691.59
34014,Taquillas teatro,460000.0,460000.0,300000.0
34015,Prestación de servicios de ludoteca,25000.0,25000.0,-49952.11
34016,Prestamos de material audiovisual e luminación de juventud,9000.0,9000.0,7690.64
34018,Talleres de Presidencia,60000.0,60000.0,151084.32
34020,Abonados a Campañas Deportivas,1271000.0,1271000.0,1061923.48
34021,Precio prestación Servicio Médico,50000.0,50000.0,69302.0
34023,Estancia en el C.A.M.A.S.,35000.0,35000.0,25848.02
34025,Comidas centro socioculturales de mayores,300000.0,300000.0,369469.26
34026,Liquidación estancias en residencias 3ª edad,100000.0,100000.0,70678.05
34027,Prestación servicios a empresas municipales,0.0,1600000.0,1459631.43
34029,Cursos y actividades formativas,0.0,0.0,677.44
34032,Venta de entradas presidencia,0.0,0.0,-1573.2
34036,Venta de material didáctico,0.0,0.0,134.01
34038,Servicio de bodas,50000.0,50000.0,29850.0
34039,Compensación gastos de gestión,2200000.0,2200000.0,2300514.5
36002,Cuotas de urbanización,1.0,1.0,13352.9
36003,Cuota Unespa y compañías no conveniadas,900000.0,900000.0,961868.39
38001,Reintegro por pagos,726700.0,726700.0,1590635.03
38002,Reintegros gastos por publicaciones en anuncios,2000.0,2000.0,86029.95
38003,Reintegro de gastos o indemnizaciones de cias. aseguradoras,1.0,190943.12,306919.08
38004,Reintegros por costas de la vía de apremio,20000.0,20000.0,33865.73
38005,Reintegro indemnizaciones vía judicial,10000.0,10000.0,52284.03
39101,Multas por infracciones de trafico,6680000.0,6680000.0,6039219.23
39102,Ingresos por procedimientos sancionadores,700000.0,700000.0,677245.08
39103,Sanciones por incumplimientos contractuales,40000.0,40000.0,676.97
39201,Recargos de apremio,1000000.0,1000000.0,1006331.53
39401,Daños en vía pública por accidentes de vehículos,100000.0,100000.0,99464.52
39402,Daños en bienes mpales. por actos vandálicos,5000.0,5000.0,2073.48
39404,Ingresos ejecuciones subsidiarias,10000.0,10000.0,4450.64
39405,Ingresos derivados de costas judiciales,15000.0,15000.0,86820.7
39601,Ingresos  empresas de telefonía,1200000.0,1200000.0,822423.86
39901,Donativos,2001.0,2001.0,1311.63
39902,Otros ingresos diversos,50000.0,50000.0,51832.09
39903,Intereses demora ejercicios anteriores,0.0,0.0,199.52
39906,Donativos Belén de La Florida,1.0,9082.1,9082.1
39907,Ingresos rifa San Antón,1.0,1.0,13773.0
40000,De la Administración General,138101.0,138101.0,159002.41
41000,Del Gobierno Vasco,11979947.1,11988659.5,11691146.35
42000,De la Diputación Foral de Álava,7115281.4,13689798.93,13013827.16
42001,FOFEL,119953089.93,119953089.93,118222886.42
42003,Impuestos no concertados,300000.0,300000.0,241989.42
42004,Recuperación ayudas del Estado,24747800.0,24747800.0,24930651.98
43000,Entes públicos dentro del término municipal,0.0,600000.0,600000.0
47000,De empresas,514700.0,646640.0,697500.0
48000,De familias,120000.0,120000.0,0.0
49000,De entes de la Unión Europea,569837.79,569837.79,480354.98
52500,Intereses en cajas y bancos ayuntamiento,150000.0,150000.0,478696.74
53100,Participación en beneficios de empresas con participación mpal.,1749100.0,1749100.0,1875100.0
53200,De otras empresas,8000.0,8000.0,4206.05
54001,Rentas arrendamientos fincas urbanas ayto,200000.0,200000.0,151834.18
54002,Arrendamiento locales semillero de empresas,100000.0,100000.0,125053.11
54003,Arrendamiento plaza de toros,1.0,1.0,13564.0
54101,Arrendamiento de terrenos rústicos,0.0,0.0,32.41
54200,De terrenos rústicos,1.0,1.0,0.0
55000,Productos de concesiones,1950000.0,1950000.0,1387377.01
55100,Aprovechamientos agrícolas y forestal,0.0,0.0,-1124.23
59001,Utilización instalaciones parque de bomberos,0.0,0.0,480.0
59002,Utilización de terrenos,50000.0,50000.0,40305.63
60900,Enajenación y venta de bienes,4669113.78,4669113.78,5419623.0
61200,De edificios y otras construcciones,4000000.0,4000000.0,-39.07
70000,Del estado,0.0,0.0,-310927.38
71000,Del Gobierno Vasco,17800000.0,25233111.57,13632773.24
72000,De la Diputación Foral de Álava,800000.0,800000.0,630649.02
73000,Entes públicos dentro del término municipal,0.0,0.0,27871.78
79000,Entes públicos Unión Europea,1700000.0,1700000.0,1243363.27
83200,Ingresos contratados de aseguramiento,200000.0,200000.0,23738.55
87200,Remanente de tesorería,0.0,22928152.07,0.0
