#Económico,Denominacion Aplicacion Ingresos,Crédito Inicial,C.DEFINITVO,DRN
11201,Impuesto bienes inmuebles naturaleza rústica,290000.0,290000.0,296367.9
11202,Impuesto bienes inmuebles naturaleza urbana,42100000.0,42100000.0,44031300.7
11301,Impuesto sobre vehículos tracción mecánica,14250000.0,14250000.0,14298101.15
11401,Impuesto sobre incremento valor terrenos,16000000.0,16000000.0,17550173.09
13001,Impuesto sobre actividades económicas,11600000.0,11600000.0,13849767.22
13002,Participación en cuotas provinciales y estatales,1050000.0,1050000.0,978571.91
28201,Impuesto sobre construcciuones e instalaciones,4750000.0,4750000.0,4907779.09
28301,Aprovechamiento del coto de caza,8000.0,8000.0,1200.0
30001,Venta de efectos no utilizables,15000.0,15000.0,51534.5
30002,Venta de publicaciones e impresos,8000.0,8000.0,8.0
30004,Venta de bienes y efectos en Montehermoso,0.0,0.0,62109.08
30006,Ingresos Montehermoso,0.0,0.0,7840.59
30007,Ingresos Oficina de Turismo,10000.0,10000.0,0.0
31001,Recogida y eliminación de basuras,9690364.0,9690364.0,10221450.21
31002,"Recogida selectiva de envases, residuos..",1200000.0,1200000.0,1127632.16
31003,Servicio prevención y extinción incendios,10000.0,10000.0,3251.29
31004,Retirado vehículos y estancia en depósito,300000.0,300000.0,181679.07
31005,Evacuación por escrito de consultas urbanísticas,7000.0,7000.0,6817.69
31006,Licencias urbanísticas,10000.0,10000.0,7082.68
31007,Licencias de apertura de establecimientos,350000.0,350000.0,199570.67
31008,Vertido aguas residuales no domesticas en red alcantarillado (afectada),332000.0,332000.0,416373.82
31009,Vertido de residuos en vertedero de Gardelegui,4450000.0,4450000.0,3523248.62
31010,"Expedicion informes, fotografias, planos, fotocopias...",175000.0,175000.0,129742.24
31012,"Servicios funerarios: inhumaciones, exhumaciones, traslados...",570000.0,570000.0,890748.64
31015,Prestación servicios Demsac,70000.0,70000.0,76571.77
31016,Tasas para concurrir a exámenes de OPE,0.0,0.0,812.0
31101,Instal. en vía pública,550000.0,550000.0,635398.6
31102,Quioscos en la vía pública,2500.0,2500.0,2550.6
31103,Veladores en la vía pública,150000.0,150000.0,311701.6
