#Orgánico,Funcional,Económico,Denominación aplicación,Crédito Inicial,Crédito Definitivo,Obligado
0110,1110,11000,Retribuciones personal eventual gabinete,1093264.0,1093264.0,1176988.66
0110,1110,12000,Retribuciones básicas de personal funcionario,82799.0,82799.0,75062.56
0110,1110,12100,Retribuciones complementarias de personal funcionario,138715.0,138715.0,140261.89
0110,1110,16000,Seguridad social a cargo del Ayuntamiento,348394.0,348394.0,372980.89
0110,1110,16500,Cuotas Elkarkidetza a cargo Ayuntamiento,341.0,341.0,381.1
0110,1111,11000,Retribuciones personal eventual gabinete,179179.0,179179.0,28584.49
0110,1111,16000,Seguridad social a cargo del Ayuntamiento,42596.0,42596.0,28118.83
0110,1111,16500,Cuotas Elkarkidetza a cargo Ayuntamiento,72.0,72.0,236.96
0110,1111,22699,Otros gastos diversos,6000.0,5000.0,2457.43
0125,1211,12000,Retribuciones básicas de personal funcionario,44259.0,44259.0,62985.38
0125,1211,12100,Retribuciones complementarias de personal funcionario,73071.0,73071.0,92996.26
0125,1211,14100,Otro personal,141990.0,141990.0,159042.71
0125,1211,16000,Seguridad social a cargo del Ayuntamiento,68509.0,68509.0,82566.82
0125,1211,16500,Cuotas Elkarkidetza a cargo Ayuntamiento,166.0,166.0,543.72
0126,1211,12000,Retribuciones básicas de personal funcionario,57657.0,57657.0,32918.65
0126,1211,12100,Retribuciones complementarias de personal funcionario,99587.0,99587.0,47079.98
0126,1211,16000,Seguridad social a cargo del Ayuntamiento,39618.0,39618.0,25656.92
0126,1211,16500,Cuotas Elkarkidetza a cargo Ayuntamiento,2224.0,2224.0,427.13
0130,1211,12000,Retribuciones básicas de personal funcionario,208999.0,208999.0,187738.98
0130,1211,12100,Retribuciones complementarias de personal funcionario,320288.0,320288.0,267499.35
0130,1211,14100,Otro personal,0.0,0.0,0.0
0130,1211,16000,Seguridad social a cargo del Ayuntamiento,103004.0,103004.0,94357.18
0130,1211,16500,Cuotas Elkarkidetza a cargo Ayuntamiento,6198.0,6198.0,6452.72
0130,1211,22610,Indemnizaciones,45000.0,6619517.53,6203854.91
0130,1211,22617,"Honorarios, minutas",80000.0,79100.0,82139.12
015501,4541,12000,Retribuciones básicas de personal funcionario,155909.0,155909.0,150131.59
015501,4541,12100,Retribuciones complementarias de personal funcionario,175507.0,175507.0,167031.5
015501,4541,14100,Otro personal,42995.0,42995.0,43088.57
015501,4541,16000,Seguridad social a cargo del Ayuntamiento,97776.0,97776.0,102037.27
015501,4541,16500,Cuotas Elkarkidetza a cargo Ayuntamiento,152.0,152.0,237.4
015501,4541,22699,Gastos materiales conservación archivo,6664.0,6664.0,6599.04
015501,4541,22752,Contratos Archivo municipal,43000.0,43000.0,42984.12
015502,4512,12000,Retribuciones básicas de personal funcionario,186628.0,175721.58,169758.63
015502,4512,12100,Retribuciones complementarias de personal funcionario,252156.0,235796.36,232165.52
015502,4512,14100,Otro personal,173423.0,173423.0,229926.49
015502,4512,16000,Seguridad social a cargo del Ayuntamiento,169594.0,161449.59,186874.43
015502,4512,16500,Cuotas Elkarkidetza a cargo Ayuntamiento,620.0,620.0,778.05
015502,4512,22624,Gastos programación Academia de folklore,27094.0,27094.0,26677.87
015502,4512,22757,Empresas de servicios Academia de folklore,21582.5,21582.5,21410.62
015502,4514,22625,Colonias musicales Academia folklore,60000.0,60000.0,55000.0
015503,4511,20103,Alquileres,45000.0,45000.0,44720.58
015503,4511,22635,Azkena Rock Festival,290994.0,290994.0,290994.0
015503,4512,13000,Retribuciones personal laboral fijo,0.0,0.0,0.0
015503,4512,14100,Otro personal,0.0,0.0,63103.2
015503,4512,16500,Cuotas Elkarkidetza a cargo Ayuntamiento,0.0,0.0,381.7
015503,4519,12000,Retribuciones básicas de personal funcionario,0.0,0.0,0.0
015503,4519,12100,Retribuciones complementarias de personal funcionario,0.0,0.0,0.0
015503,4519,16000,Seguridad social a cargo del Ayuntamiento,0.0,0.0,0.0
015503,4519,22643,"Reparación gigantes, tribunas y nacimiento",12887.0,23037.0,22934.77
015503,4519,22652,Otras actividades culturales,64000.0,64000.0,64061.98
015503,4519,22660,Carnaval,21000.0,21000.0,22415.68
015503,4519,22661,Fiestas Virgen Blanca,676800.0,676800.0,681851.74
015503,4519,22662,Olarizu,3000.0,3000.0,6791.36
015503,4519,22663,Campaña de Navidad y reyes,180000.0,180000.0,179571.31
015503,4519,22664,Fiestas de San Antón y Santa Águeda,12600.0,12600.0,14000.6
015503,4519,22733,Programas culturales espacios públicos,150000.0,150000.0,153153.58
015503,4519,22756,Servicios actividad cultural,157290.0,157290.0,153641.32
015504,4510,12000,Retribuciones básicas de personal funcionario,71399.0,71399.0,77954.78
015504,4510,12100,Retribuciones complementarias de personal funcionario,117015.0,117015.0,117576.26
015504,4510,13000,Retribuciones personal laboral fijo,0.0,0.0,0.0
015504,4510,14100,Otro personal,113347.0,113347.0,1541.47
015504,4510,16000,Seguridad social a cargo del Ayuntamiento,72911.0,72911.0,41015.9
015504,4510,16500,Cuotas Elkarkidetza a cargo Ayuntamiento,152.0,152.0,237.4
015504,4514,22622,Centro cultural Montehermoso,3000.0,3000.0,6442.07
015504,4514,22751,Contratos servicios Montehermoso,25000.0,25000.0,27504.97
015507,4530,12000,Retribuciones básicas de personal funcionario,119764.0,119764.0,121835.22
015507,4530,12100,Retribuciones complementarias de personal funcionario,157690.0,157690.0,159093.51
015507,4530,14100,Otro personal,161602.0,161602.0,123147.85
015507,4530,16000,Seguridad social a cargo del Ayuntamiento,111264.0,111264.0,103736.81
015507,4530,16500,Cuotas Elkarkidetza a cargo Ayuntamiento,566.0,566.0,884.86
015507,4532,22115,Material técnico específico juventud,300.0,300.0,495.87
015507,4532,22709,Festival de juegos,0.0,0.0,0.0
015507,4532,22732,Contratos servicios ocio y tiempo libre,189400.0,187558.87,199284.9
015507,4534,22732,Contratos de prestación de servicios juventud,125000.0,127370.0,96966.69
015507,4534,22775,Plan Joven,100000.0,60694.85,65759.18
015508,4510,12000,Retribuciones básicas de personal funcionario,240573.0,240573.0,208731.99
015508,4510,12100,Retribuciones complementarias de personal funcionario,317173.0,317173.0,259719.25
015508,4510,14100,Otro personal,30924.0,30924.0,43529.34
015508,4510,16000,Seguridad social a cargo del Ayuntamiento,161659.0,161659.0,145635.72
015508,4510,16500,Cuotas Elkarkidetza a cargo Ayuntamiento,789.0,789.0,924.58
015508,4510,21208,Reparación equipos audiovisuales,1000.0,1000.0,96.8
015508,4510,22111,"Menaje, útiles y herramientas",448.0,448.0,459.56
015508,4510,22300,Transporte,2400.0,2400.0,656.66
015508,4510,22734,Contratos prestación servicios Iradier Arena,24700.0,24700.0,22293.71
015510,4513,12000,Retribuciones básicas de personal funcionario,454672.0,454672.0,444858.92
015510,4513,12100,Retribuciones complementarias de personal funcionario,592264.0,592264.0,608089.78
015510,4513,14100,Otro personal,78673.0,78673.0,75175.99
015510,4513,16000,Seguridad social a cargo del Ayuntamiento,305650.0,305650.0,307351.49
015510,4513,16500,Cuotas Elkarkidetza a cargo Ayuntamiento,1229.0,1229.0,1969.84
015510,4513,21207,Mantenimiento y Reparación de equipos,15680.0,15680.0,16241.41
015510,4513,22692,Banda música-colaboraciones,1000.0,1000.0,1067.0
015510,4513,22699,Gastos programación Banda de música,41800.0,57800.0,54217.73
015510,4513,22732,Contratos de prestación de servicios,6000.0,6000.0,5953.46
015520,4510,12000,Retribuciones básicas de personal funcionario,166060.0,166060.0,167510.88
015520,4510,12100,Retribuciones complementarias de personal funcionario,222047.0,222047.0,225004.86
015520,4510,14100,Otro personal,31755.0,37602.23,59994.84
015520,4510,16000,Seguridad social a cargo del Ayuntamiento,108911.0,110565.77,122450.31
015520,4510,16500,Cuotas Elkarkidetza a cargo Ayuntamiento,276.0,276.0,432.04
015520,4518,22603,Publicidad especial Red de Teatros,12201.0,12201.0,12743.05
015520,4518,22627,Espectáculos y festivales,723650.0,716148.0,705883.98
015520,4518,22732,Contratos de prestación de servicios,250000.0,250000.0,226004.83
0160,3101,12000,Retribuciones básicas de personal funcionario,91899.0,91899.0,98455.04
0160,3101,12100,Retribuciones complementarias de personal funcionario,106851.0,106851.0,111993.62
0160,3101,14100,Otro personal,9925.0,9925.0,0.0
0160,3101,16000,Seguridad social a cargo del Ayuntamiento,49460.0,49460.0,50699.33
0160,3101,16500,Cuotas Elkarkidetza a cargo Ayuntamiento,76.0,76.0,118.7
0160,3101,22115,Material técnico especifico,550.0,550.0,362.25
0160,3101,22710,III Plan para la Igualdad,269500.0,234000.0,194784.65
0160,3101,22773,Programación cursos de igualdad,45000.0,15300.0,10868.66
0171,1242,12000,Retribuciones básicas de personal funcionario,134080.0,134080.0,146979.47
0171,1242,12100,Retribuciones complementarias de personal funcionario,161488.0,161488.0,177097.3
0171,1242,16000,Seguridad social a cargo del Ayuntamiento,124846.0,124846.0,126597.84
0171,1242,16500,Cuotas Elkarkidetza a cargo Ayuntamiento,505.0,505.0,868.88
0171,1242,22741,Cursos de euskera para madres y padres,385000.0,385000.0,395250.39
0171,1242,22748,Semana del euskera,30000.0,30000.0,29757.32
0171,1242,22780,Plan de euskera,225000.0,231000.0,160047.08
0171,1242,22799,Traducciones externas euskera,10000.0,10000.0,1369.12
0171,3101,14100,Otro personal,0.0,0.0,0.0
0180,4621,11000,Retribuciones personal eventual gabinete,56575.0,56575.0,56899.12
0180,4621,12000,Retribuciones básicas de personal funcionario,14692.0,14692.0,14917.79
0180,4621,12100,Retribuciones complementarias de personal funcionario,25135.0,25135.0,24599.51
0180,4621,16000,Seguridad social a cargo del Ayuntamiento,23872.0,23872.0,25101.46
0180,4621,16500,Cuotas Elkarkidetza a cargo Ayuntamiento,0.0,0.0,226.35
0180,4621,22634,Organización de eventos y gastos de representación,60000.0,60000.0,59930.51
0187,4621,22603,Publicaciones y publicidad,890000.0,875000.0,895750.02
0187,4621,22612,Adquisición prensa diaria,30000.0,30000.0,28878.27
0187,4621,22616,Servicios de prensa,15000.0,15000.0,47443.52
0187,4621,22631,Participación institucional,25000.0,25000.0,26252.33
0187,4621,22632,Suscripciones,10000.0,10000.0,2809.76
0187,4621,22645,Anuncios ordinarios en medios de comunicación,300000.0,285000.0,197796.26
0187,4621,22730,Servicio de almacenaje de fondos editoriales,24000.0,24000.0,25784.61
0188,4444,22600,Promoción y divulgación Green Capital,0.0,0.0,0.0
0188,4444,22732,Contratos European Green Capital,0.0,0.0,0.0
0210,1900,12000,Retribuciones básicas de personal funcionario,66897.0,66897.0,33565.38
0210,1900,12100,Retribuciones complementarias de personal funcionario,108204.0,108204.0,60384.94
0210,1900,14100,Otro personal,47138.0,47138.0,123322.08
0210,1900,16000,Seguridad social a cargo del Ayuntamiento,48926.0,48926.0,69329.79
0210,1900,16500,Cuotas Elkarkidetza a cargo Ayuntamiento,2458.0,2458.0,2568.72
0210,1900,22004,Edición y reproducción de cartografía y proyectos,4000.0,4000.0,1511.9
0210,1900,22707,Asistencias técnicas,10000.0,10000.0,1361.25
0210,4321,12000,Retribuciones básicas de personal funcionario,0.0,0.0,0.0
0210,4321,12100,Retribuciones complementarias de personal funcionario,0.0,0.0,0.0
0210,4321,16000,Seguridad social a cargo del Ayuntamiento,0.0,0.0,0.0
0211,4321,12000,Retribuciones básicas de personal funcionario,23658.0,23658.0,114498.76
0211,4321,12100,Retribuciones complementarias de personal funcionario,35384.0,35384.0,155015.38
0211,4321,14100,Otro personal,0.0,0.0,227415.8
0211,4321,16000,Seguridad social a cargo del Ayuntamiento,9860.0,9860.0,135795.33
0211,4321,16500,Cuotas Elkarkidetza a cargo Ayuntamiento,93.0,93.0,685.66
0211,4322,12000,Retribuciones básicas de personal funcionario,205370.0,205370.0,73454.24
0211,4322,12100,Retribuciones complementarias de personal funcionario,278606.0,278606.0,93252.21
0211,4322,14100,Otro personal,177517.0,177517.0,0.0
0211,4322,16000,Seguridad social a cargo del Ayuntamiento,172386.0,172386.0,45650.8
0211,4322,16500,Cuotas Elkarkidetza a cargo Ayuntamiento,573.0,573.0,216.02
0213,4340,12000,Retribuciones básicas de personal funcionario,298868.0,298868.0,291876.9
0213,4340,12100,Retribuciones complementarias de personal funcionario,383496.0,383496.0,382140.51
0213,4340,14100,Otro personal,99272.0,99272.0,33903.76
0213,4340,16000,Seguridad social a cargo del Ayuntamiento,214800.0,214800.0,191597.25
0213,4340,16500,Cuotas Elkarkidetza a cargo Ayuntamiento,1142.0,1142.0,1772.94
0213,4340,22620,Obras subsidiarias y apuntalamiento,30000.0,21366.5,11516.78
0213,4340,22730,Servicio de almacenaje de fondos editoriales,15000.0,15000.0,12095.48
0214,4311,12000,Retribuciones básicas de personal funcionario,83245.0,83245.0,84047.69
0214,4311,12100,Retribuciones complementarias de personal funcionario,99505.0,99505.0,98860.12
0214,4311,16000,Seguridad social a cargo del Ayuntamiento,56577.0,56577.0,56386.61
0214,4311,16500,Cuotas Elkarkidetza a cargo Ayuntamiento,374.0,374.0,584.0
0214,4330,12000,Retribuciones básicas de personal funcionario,158580.0,158580.0,167349.27
0214,4330,12100,Retribuciones complementarias de personal funcionario,195319.0,195319.0,214059.12
0214,4330,14100,Otro personal,37810.0,37810.0,38084.54
0214,4330,16000,Seguridad social a cargo del Ayuntamiento,106922.0,106922.0,113684.73
0214,4330,16500,Cuotas Elkarkidetza a cargo Ayuntamiento,345.0,345.0,540.1
0216,4321,12000,Retribuciones básicas de personal funcionario,208845.0,208845.0,191347.74
0216,4321,12100,Retribuciones complementarias de personal funcionario,264262.0,264262.0,236858.83
0216,4321,14100,Otro personal,19819.0,19819.0,26566.05
0216,4321,16000,Seguridad social a cargo del Ayuntamiento,148961.0,148961.0,143730.48
0216,4321,16500,Cuotas Elkarkidetza a cargo Ayuntamiento,979.0,979.0,1432.72
0320,1900,12000,Retribuciones básicas de personal funcionario,69881.0,69881.0,50979.97
0320,1900,12100,Retribuciones complementarias de personal funcionario,98542.0,98542.0,71249.19
0320,1900,16000,Seguridad social a cargo del Ayuntamiento,29507.0,29507.0,31432.79
0320,1900,16500,Cuotas Elkarkidetza a cargo Ayuntamiento,480.0,480.0,264.04
0320,2224,12000,Retribuciones básicas de personal funcionario,0.0,0.0,0.0
0320,2224,12100,Retribuciones complementarias de personal funcionario,0.0,0.0,0.0
0320,2224,14100,Otro personal,0.0,0.0,0.0
0320,2224,16000,Seguridad social a cargo del Ayuntamiento,0.0,0.0,0.0
0320,2224,16500,Cuotas Elkarkidetza a cargo Ayuntamiento,0.0,0.0,0.0
0320,5111,20200,Mantenimiento expendedores talones OTA,0.0,0.0,0.0
0320,5112,12000,Retribuciones básicas de personal funcionario,0.0,0.0,0.0
0320,5112,12100,Retribuciones complementarias de personal funcionario,0.0,0.0,0.0
0320,5112,16000,Seguridad social a cargo del Ayuntamiento,0.0,0.0,0.0
0320,5112,16500,Cuotas Elkarkidetza a cargo Ayuntamiento,0.0,0.0,0.0
0320,5112,21910,Mantenimiento sistema control de tráfico,0.0,0.0,0.0
0320,5113,21050,Conservación de señalizacion,0.0,0.0,0.0
0330,1900,12000,Retribuciones básicas de personal funcionario,344875.0,344875.0,365199.06
0330,1900,12100,Retribuciones complementarias de personal funcionario,454998.0,454998.0,485577.77
0330,1900,14100,Otro personal,87047.0,87047.0,118279.64
0330,1900,16000,Seguridad social a cargo del Ayuntamiento,260364.0,260364.0,283231.22
0330,1900,16220,Indemnizaciones por daños,0.0,0.0,0.0
0330,1900,16500,Cuotas Elkarkidetza a cargo Ayuntamiento,1226.0,1226.0,2001.46
0340,2231,12000,Retribuciones básicas de personal funcionario,1564056.0,1564056.0,1556076.63
0340,2231,12100,Retribuciones complementarias de personal funcionario,2965976.0,2965976.0,2855747.26
0340,2231,14100,Otro personal,1641966.0,1641966.0,1595864.9
0340,2231,16000,Seguridad social a cargo del Ayuntamiento,2286484.0,2286484.0,2324469.52
0340,2231,16500,Cuotas Elkarkidetza a cargo Ayuntamiento,36531.0,36531.0,13239.03
0340,2231,21300,Reparación vehículos,60000.0,40000.0,63920.85
0340,2231,21900,Renovación y reposición de equipos,50000.0,65000.0,40143.66
0340,2231,22105,Vestuario y uniformes,100000.0,89482.35,84972.08
0340,2231,22111,"Menaje, útiles y herramientas",30000.0,20000.0,15410.28
0340,2231,22199,Otros suministros,36000.0,29277.3,28898.74
0340,2231,22699,Otros gastos diversos,10000.0,10000.0,13266.45
0340,2233,21300,Reparación vehículos UCEIS,0.0,0.0,0.0
0340,2233,21900,Renovación y reposición de equipos UCEIS,0.0,0.0,0.0
0340,2233,22105,Vestuario y uniformes,0.0,0.0,0.0
0340,2233,22111,"Menaje, Útiles y herramientas UCEIS",0.0,0.0,0.0
0340,2233,22199,Otros suministros UCEIS,0.0,0.0,0.0
0340,2233,22638,Formación voluntarios Valdegobía - Campezo,0.0,0.0,0.0
0340,2233,22699,Otros gastos diversos,0.0,0.0,0.0
0340,2234,21000,Infraestructura y bienes naturales,1.0,1.0,0.0
0340,2234,21102,Gastos de emergencia,65000.0,65000.0,65139.12
0340,2234,21104,Actuaciones nevadas,1.0,430439.06,431212.75
0350,2221,12000,Retribuciones básicas de personal funcionario,5551948.0,5551948.0,6112215.24
0350,2221,12100,Retribuciones complementarias de personal funcionario,10825915.0,10825915.0,10748222.52
0350,2221,14100,Otro personal,0.0,0.0,0.0
0350,2221,16000,Seguridad social a cargo del Ayuntamiento,4463031.0,4463031.0,4776773.68
0350,2221,16220,Indemnizaciones por daños,0.0,0.0,0.0
0350,2221,16500,Cuotas Elkarkidetza a cargo Ayuntamiento,32503.0,32503.0,23102.72
0350,2221,20501,Renting sist. radiocomunicaciones tetra,8000.0,8000.0,7355.13
0350,2221,21300,Reparación vehículos,60000.0,90000.0,93383.33
0350,2221,21900,Renovación  y reposición de equipos,60000.0,60000.0,39989.64
0350,2221,21905,Manten. scanner seguridad y usp,7500.0,7500.0,5255.08
0350,2221,22105,Vestuario y uniformes,115000.0,100000.0,81200.53
0350,2221,22111,"Menaje, útiles y herramientas",50000.0,20000.0,9100.48
0350,2221,22112,Materiales y actuaciones sanitarias,3000.0,3000.0,1350.9
0350,2221,22199,Otros suministros,20000.0,20000.0,22014.2
0350,2221,22699,Otros gastos diversos,10000.0,10000.0,12668.74
0350,2223,21900,Renovación y reposición de equipos,5000.0,5000.0,524.68
0350,2223,22199,Otros suministros,10000.0,10000.0,2768.27
0350,2223,22699,Otros gastos diversos,11000.0,11000.0,28516.39
0350,2234,21000,Infraestructura y bienes naturales,3900.0,3900.0,3060.33
0410,0111,32000,Intereses y comisiones deuda c/p,780640.0,780640.0,277873.98
0410,0111,33000,Intereses y comisiones  deuda l/p,2936000.0,2505561.94,1512253.09
0410,0111,36100,Intereses devolución ingresos indebidos,140000.0,140000.0,66614.13
0410,0111,36101,Gastos financieros asociados a ingresos,130000.0,130000.0,168210.15
0410,0111,36900,Otros gastos financieros,10000.0,10000.0,1009.09
0410,0111,91005,Amortización créditos,14344111.84,24635933.68,14344111.88
0410,1200,22101,Energía eléctrica,9000000.0,10218381.49,10131917.68
0410,1200,22102,Suministro de agua y depuración de residuales,900000.0,900000.0,431894.38
0410,1200,22401,Seguros de edificios y locales municipales,350000.0,350000.0,340987.43
0410,1201,20301,Renting de vehículos,753000.0,666776.21,587418.36
0410,1201,21300,Reparación vehículos,200000.0,180000.0,122470.12
0410,1201,22104,Combustibles y carburantes,420000.0,420000.0,391102.06
0410,1201,22404,Seguros de vehículos,127000.0,127000.0,130304.02
0410,1203,21400,Reparación mobiliario,10000.0,10000.0,4517.99
0410,1203,21500,Contratos mantenimientos de equipos,160000.0,160000.0,165375.04
0410,1203,22001,Ordinario no inventariable,270000.0,220000.0,166026.03
0410,1203,22110,Gastos de reprografía,100000.0,100000.0,57685.75
0410,1203,22663,Compensación cese aprovechamientos Elorriaga,51000.0,51000.0,51252.35
0410,1203,22732,Contratos de prestación de servicios,119000.0,107505.0,85299.16
0410,1204,20100,Arrendamiento locales y edificios,2800000.0,2847127.7,2846115.03
0410,1204,22402,Seguros de responsabilidad civil,315000.0,315000.0,312208.81
0410,1204,22407,Seguro vida y accidentes,20000.0,20000.0,35080.95
0410,1204,22499,Indemniz. por responsabilidad patrimonial,230000.0,335693.52,314075.67
0410,1204,22601,Gastos comunidades vecinos,250000.0,250000.0,235179.85
0410,1204,22760,Mantenimiento relojes públicos,19300.0,19300.0,20455.6
0410,1261,22639,Gastos conserjes,475.0,475.0,0.0
0410,1900,22695,Licencias de cedro,5524.0,5524.0,0.0
0410,6111,12000,Retribuciones básicas de personal funcionario,26184.0,26184.0,26183.54
0410,6111,12100,Retribuciones complementarias de personal funcionario,48717.0,48717.0,48716.52
0410,6111,16000,Seguridad social a cargo del Ayuntamiento,9866.0,9866.0,10359.36
0410,6111,16500,Cuotas Elkarkidetza a cargo Ayuntamiento,93.0,93.0,145.34
0410,6111,22600,Gastos de registro de bienes,30000.0,30000.0,27594.88
0410,6111,22611,Mantenimiento del catastro,516000.0,516000.0,496777.92
0410,6111,22776,Servicios de la unidad de multas,190000.0,190000.0,189747.36
0411,6111,12000,Retribuciones básicas de personal funcionario,91775.0,91775.0,72595.71
0411,6111,12100,Retribuciones complementarias de personal funcionario,122893.0,122893.0,93343.64
0411,6111,14100,Otro personal,0.0,0.0,0.0
0411,6111,16000,Seguridad social a cargo del Ayuntamiento,44666.0,44666.0,33862.51
0411,6111,16500,Cuotas Elkarkidetza a cargo Ayuntamiento,191.0,191.0,218.0
0412,6111,12000,Retribuciones básicas de personal funcionario,78127.0,78127.0,119536.07
0412,6111,12100,Retribuciones complementarias de personal funcionario,99018.0,99018.0,154208.68
0412,6111,16000,Seguridad social a cargo del Ayuntamiento,37962.0,37962.0,57982.46
0412,6111,16500,Cuotas Elkarkidetza a cargo Ayuntamiento,646.0,646.0,2179.3
0414,6111,12000,Retribuciones básicas de personal funcionario,48880.0,48880.0,48927.82
0414,6111,12100,Retribuciones complementarias de personal funcionario,73412.0,73412.0,73410.96
0414,6111,14100,Otro personal,44000.0,44000.0,44441.92
0414,6111,16000,Seguridad social a cargo del Ayuntamiento,31751.0,31751.0,33339.0
0414,6111,16500,Cuotas Elkarkidetza a cargo Ayuntamiento,93.0,93.0,145.34
0415,6111,12000,Retribuciones básicas de personal funcionario,93547.0,93547.0,94521.2
0415,6111,12100,Retribuciones complementarias de personal funcionario,127010.0,127010.0,126696.04
0415,6111,16000,Seguridad social a cargo del Ayuntamiento,49868.0,49868.0,52568.18
0415,6111,16500,Cuotas Elkarkidetza a cargo Ayuntamiento,2272.0,2272.0,2420.0
0416,6111,12000,Retribuciones básicas de personal funcionario,114007.0,114007.0,77621.81
0416,6111,12100,Retribuciones complementarias de personal funcionario,158335.0,158335.0,106785.22
0416,6111,14100,Otro personal,0.0,0.0,17929.05
0416,6111,16000,Seguridad social a cargo del Ayuntamiento,56685.0,56685.0,47602.28
0416,6111,16500,Cuotas Elkarkidetza a cargo Ayuntamiento,418.0,418.0,352.96
0417,6111,12000,Retribuciones básicas de personal funcionario,62418.0,62418.0,76699.78
0417,6111,12100,Retribuciones complementarias de personal funcionario,96829.0,96829.0,113782.22
0417,6111,16000,Seguridad social a cargo del Ayuntamiento,32453.0,32453.0,41770.81
0417,6111,16500,Cuotas Elkarkidetza a cargo Ayuntamiento,279.0,279.0,530.57
0418,6111,12000,Retribuciones básicas de personal funcionario,1136814.0,1136814.0,1102390.67
0418,6111,12100,Retribuciones complementarias de personal funcionario,1462190.0,1462190.0,1396542.94
0418,6111,14100,Otro personal,442919.0,442919.0,450325.9
0418,6111,16000,Seguridad social a cargo del Ayuntamiento,842373.0,842373.0,841523.96
0418,6111,16500,Cuotas Elkarkidetza a cargo Ayuntamiento,10872.0,10872.0,6611.46
0419,6111,12000,Retribuciones básicas de personal funcionario,0.0,0.0,0.0
0419,6111,12100,Retribuciones complementarias de personal funcionario,0.0,0.0,0.0
0419,6111,16000,Seguridad social a cargo del Ayuntamiento,0.0,0.0,0.0
0419,6111,16500,Cuotas Elkarkidetza a cargo Ayuntamiento,0.0,0.0,0.0
0810,7211,12000,Retribuciones básicas de personal funcionario,26271.0,26271.0,258811.79
0810,7211,12100,Retribuciones complementarias de personal funcionario,54974.0,54974.0,327939.57
0810,7211,14100,Otro personal,42995.0,42995.0,82605.83
0810,7211,16000,Seguridad social a cargo del Ayuntamiento,24783.0,24783.0,178052.13
0810,7211,16500,Cuotas Elkarkidetza a cargo Ayuntamiento,25.0,25.0,1540.67
0811,3220,12000,Retribuciones básicas de personal funcionario,0.0,0.0,0.0
0811,3220,12100,Retribuciones complementarias de personal funcionario,0.0,0.0,0.0
0811,3220,13000,Retribuciones personal laboral fijo,0.0,0.0,7179.24
0811,3220,14100,Otro personal,0.0,0.0,0.0
0811,3220,16000,Seguridad social a cargo del Ayuntamiento,0.0,0.0,0.0
0811,3220,16500,Cuotas Elkarkidetza a cargo Ayuntamiento,0.0,0.0,0.0
0811,3220,22769,Dinamización laboral p. desempleadas cualificadas,0.0,0.0,0.0
0811,3220,22770,Intermediación laboral,0.0,0.0,0.0
0811,3220,22780,Orientación laboral,0.0,0.0,0.0
0811,3220,22795,Formación,0.0,0.0,0.0
0811,3221,20100,Arrendamiento locales y edificios,0.0,0.0,0.0
0811,3221,22742,Formación específica en sectores estratégicos,0.0,0.0,0.0
0811,3221,22745,Formación servicios personales y a la comunidad,0.0,0.0,0.0
0811,3221,22796,Programa empleo estacional municipal,0.0,0.0,0.0
0811,3223,22116,Formación para el empleo y reciclaje en sectores maduros,0.0,0.0,0.0
0811,3223,22677,Formación específica para emprendedores,0.0,0.0,0.0
0811,4444,22732,Contratos de prestación de servicios green capital,0.0,0.0,0.0
0817,4531,22640,Consejo social del municipio,0.0,0.0,0.0
0817,7110,22601,Patrocinio publicitario alavés s.a.d.,0.0,0.0,0.0
0817,7110,22602,Patrocinio publicitario saski baskonia s.a.d.,0.0,0.0,0.0
0817,7110,22605,"Reuniones ,conferencias y congresos",0.0,0.0,0.0
0817,7110,22606,Contratos de patrocinio,0.0,0.0,0.0
