#Orgánico,Funcional,Económico,Concepto,Crédito Inicial,Crédito Definitivo,Obligado
0110,9121,11000,Retribuciones personal eventual gabinete,1038287.45,1038287.45,1109658.32
0110,9121,12000,Retribuciones básicas de personal funcionario,23537.0,23537.0,44188.52
0110,9121,12100,Retribuciones complementarias de personal funcionario,29778.0,29778.0,51021.24
0110,9121,16000,Seguridad social a cargo del ayuntamiento,488529.0,488529.0,338047.0
0110,9121,16500,Cuotas Elkarkidetza a cargo ayuntamiento,1239.0,1239.0,2427.28
0110,9123,11000,Retribuciones personal eventual gabinete,1913.0,1913.0,5294.22
0110,9123,12000,Retribuciones básicas de personal funcionario,43047.0,43047.0,41881.82
0110,9123,12100,Retribuciones complementarias de personal funcionario,66938.0,66938.0,67046.96
0110,9123,14100,Otro personal,20217.0,20217.0,43816.93
0110,9123,16000,Seguridad social a cargo del ayuntamiento,32224.0,32224.0,34469.13
0110,9123,16500,Cuotas Elkarkidetza a cargo ayuntamiento,3089.0,3089.0,2427.28
0110,9123,22699,Otros gastos diversos,2000.0,2000.0,1968.66
0111,2328,12000,Retribuciones básicas de personal funcionario,17744.21,17744.21,23160.84
0111,2328,12100,Retribuciones complementarias de personal funcionario,22836.0,22836.0,26259.55
0111,2328,16000,Seguridad social a cargo del ayuntamiento,11911.0,11911.0,15852.71
0111,2328,16500,Cuotas Elkarkidetza a cargo ayuntamiento,1195.0,1195.0,1599.61
0112,2301,10000,Retribuciones básicas corporativos,0.0,0.0,0.0
0112,2301,12000,Retribuciones básicas de personal funcionario,131655.26,131655.26,180652.9
0112,2301,12100,Retribuciones complementarias de personal funcionario,158231.0,158231.0,220195.71
0112,2301,16000,Seguridad social a cargo del ayuntamiento,107682.0,107682.0,123063.02
0112,2301,16500,Cuotas Elkarkidetza a cargo ayuntamiento,9675.0,9675.0,10842.65
0116,2371,12000,Retribuciones básicas de personal funcionario,127039.06,127039.06,129814.44
0116,2371,12100,Retribuciones complementarias de personal funcionario,154051.0,154051.0,155815.95
0116,2371,14100,Otro personal,130741.0,130741.0,154292.26
0116,2371,16000,Seguridad social a cargo del ayuntamiento,124226.0,124226.0,115953.54
