#Económico,Denominación Aplicación Ingresos,Crédito Inicial,Crédito Definitivo,DRN
11201,Impuesto bienes inmuebles naturaleza rústica y s. social.,289000.0,289000.0,294722.06
11202,Impuesto bienes inmuebles naturaleza urbana,41150000.0,41150000.0,42482311.73
11301,Impuesto sobre vehículos tracción mecánica,14390000.0,14390000.0,14479637.76
11401,Impuesto sobre incremento valor terrenos,14500000.0,14500000.0,19315005.66
13001,Impuesto sobre actividades económicas,11000000.0,11000000.0,11524266.2
13002,Participación en cuotas provinciales y estatales,1050000.0,1050000.0,1030996.87
13003,Compensación IAE GV y DFA,1.0,1.0,0.0
19001,Otros impuestos directos extinguidos,0.0,0.0,46.92
28201,Impuestos sobre construcciones e instalaciones,11000000.0,11000000.0,5883026.9
28301,Aprovechamiento del coto de caza (afectada),8000.0,8000.0,7738.0
30001,Venta de efectos no utilizables,15000.0,15000.0,28620.0
30002,Venta de publicaciones e impresos (afectada),8000.0,8000.0,7920.64
30004,Venta de bienes y efectos en Montehermoso,20000.0,20000.0,27354.43
30005,Venta de bienes y efectos Academia folklore,1.0,1.0,0.0
30006,Ingresos Montehermoso,8000.0,8000.0,9110.84
30007,Ingresos Oficina de turismo,10000.0,10000.0,0.0
31001,Recogida y eliminación de basuras,10360000.0,10360000.0,12172989.7
31002,"Recogida selectiva de envases, residuos..",1600000.0,1600000.0,1233493.48
31003,Servicio prevención y extinción incendios,5000.0,5000.0,11123.47
31004,Retirado vehículos y estancia en depósito,300000.0,300000.0,329055.49
31005,Evacuación por escrito de consultas urbanísticas,7000.0,7000.0,6312.15
31006,Licencias urbanísticas,10000.0,10000.0,11828.34
31007,Licencias de apertura de establecimientos,450000.0,450000.0,307031.64
31008,Vertido aguas residuales no domesticas en red alcantarillado (afectada),332000.0,332000.0,319830.26
31009,Vertido de residuos en vertedero de Gardelegui,4500000.0,4500000.0,3957048.03
31010,"Expedicion informes, fotografias, planos, fotocopias...",170000.0,170000.0,205081.63
31011,Prestación de servicios con personal y material del ayto.,1.0,1.0,0.0
31012,"Servicios funerarios: inhumaciones, exhumaciones, traslados...",570000.0,570000.0,570143.98
31013,Costos generales y de admon,1.0,1.0,0.0
31014,Parque de desinfección de vehículos,1.0,1.0,0.0
31015,Prestación servicios Demsac,70000.0,70000.0,78229.79
31016,Tasas para concurrir a exámenes de OPE,6000.0,6000.0,89.6
31101,Instal. en vía pública,550000.0,550000.0,571453.68
31102,Quioscos en la vía pública,2500.0,2500.0,2550.6
31103,Veladores en la vía pública,140000.0,140000.0,161516.3
31104,"Apertura de zanjas, calicatas..",550000.0,550000.0,391362.67
31105,OTA rotacional,1900000.0,1900000.0,2024218.0
31106,"Ocupación de suelo, subsuelo y vuelo, incluidas Gasnalsa e Iberdrola",4800000.0,4800000.0,4412956.5
31108,"Utilización palacio congresos, Teatro Principal, plaza de toros…",100000.0,100000.0,125830.61
31109,Utilización de salas y salones de actos en centros cívicos,30000.0,30000.0,27107.66
31110,Paso de vehículos vados,1800000.0,1800000.0,1718014.22
31111,Cesiones de terrenos en el Cementerio de El Salvador,300000.0,300000.0,179658.43
31112,Utilización de salas en el Centro de empresas de Jundiz,2000.0,2000.0,2989.85
34000,Prestación de servicios SSAA municipales,3000000.0,3000000.0,0.0
34001,Talleres Demsac,30000.0,30000.0,2910.85
34002,"Escuelas infantiles, colonias abiertas y rincones de juego",1300000.0,1300000.0,1062898.46
34003,Cursos y excursiones culturales,6200.0,6200.0,636.07
34004,Asistencia a domicilio 3ª edad,530000.0,530000.0,508428.03
34005,Estancias residencias 3ª edad,3737000.0,3737000.0,3507322.85
34006,Talleres de intervención social,70000.0,70000.0,67278.86
34007,Formación ocupacional,80000.0,80000.0,65943.99
34008,Abono instalaciones Mendizorrotza,5300000.0,5300000.0,5473656.75
34009,Abonos temporales y de temporada (Gamarra),130000.0,130000.0,145488.75
34010,Utilización instalaciones deportivas (reserva y venta),790000.0,790000.0,881685.68
34012,Matriculas en la Academia municipal de folklore,130000.0,130000.0,142588.68
34013,Talleres de cultura,200000.0,200000.0,210803.57
34014,Taquillas  teatro,460000.0,460000.0,350000.0
34015,Prestación de servicios de ludotecas,25000.0,25000.0,37442.76
34016,Prestamos de material audiovisual e luminación de juventud,9000.0,9000.0,7229.56
34017,Prestamos de la Casa de Otazu,3000.0,3000.0,0.0
34018,Talleres de presidencia,55000.0,55000.0,67139.68
34020,Abonados a campañas deportivas,950000.0,950000.0,861058.93
34021,Servicios médicos en Mendizorrotza,20000.0,20000.0,36756.89
34023,Estancia en el C.A.M.A.S.,30000.0,30000.0,42084.37
34025,Comidas centro socioculturales de mayores,300000.0,300000.0,347043.57
34026,Liquidación estancias en residencias 3ª edad,100000.0,100000.0,67709.61
34027,Prestación servicios SS.AA. municipales,0.0,0.0,1913068.36
34029,Cursos y actividades formativas,0.0,0.0,1200.0
34032,Venta de entradas presidencia,7000.0,7000.0,4858.1
34035,Espectáculos taurinos,0.0,0.0,13910.39
34036,Venta de material didáctico,500.0,500.0,451.32
34037,Venta de publicaciones,0.0,0.0,225.0
34038,Servicio de bodas,30000.0,30000.0,54540.0
36002,Cuotas de urbanización,1.0,1.0,21127.74
36003,Cuota Unespa y compañías no conveniadas,950000.0,950000.0,887562.89
38001,Reintegro por pagos indebidos,450000.0,450000.0,886100.22
38002,Reintegros gastos por publicaciones en anuncios,2000.0,2000.0,58599.66
38003,Reintegro de gastos o indemnizaciones de cias. aseguradoras,1.0,34001.0,227990.77
38004,Reintegros por costas de la vía de apremio,20000.0,20000.0,39992.96
38005,Reintegro indemnizaciones vía judicial,10000.0,10000.0,15007.66
39101,Multas por infracciones de trafico,6500000.0,6500000.0,9642695.48
39102,Sanciones por infracciones de inspección de tributos,700000.0,700000.0,738282.71
39103,Sanciones por incumplimientos contractuales,40000.0,98807.9,122835.11
39201,Recargos de apremio,1000000.0,1000000.0,1107400.74
39401,Daños en vía pública por accidentes de vehículos,100000.0,100000.0,140036.13
39402,Daños en bienes mpales. por actos vandálicos,5000.0,5000.0,8842.6
39403,Actuaciones del SEIS por limpieza de calzadas por accidente,0.0,0.0,347.52
39404,Ingresos ejecuciones subsidiarias,100000.0,100000.0,5869.86
39405,Ingresos derivados de costas judiciales,15000.0,15000.0,21471.04
39601,Ingresos  empresas de telefonía,1200000.0,1200000.0,1061417.7
39901,Donativos,2000.0,2000.0,1296.8
39902,Otros ingresos diversos,207500.0,207500.0,19956.65
39903,Intereses demora ejercicios anteriores,1.0,1.0,6662.34
39906,Donativos Belén de La Florida,1.0,9304.54,11562.47
39907,Ingresos rifa San Antón,1.0,1.0,13571.4
39908,Ingresos particulares matriículas cursos euskera padres y madres,21000.0,21000.0,0.0
40000,De la Administración General,171201.0,171201.0,230477.46
41000,Del Gobierno Vasco,11165782.1,11365782.1,11632771.66
42000,De la Diputación Foral de Álava,7293070.0,7293070.0,7355191.19
42001,FOFEL,127839012.0,127839012.0,155726010.22
42003,Impuestos no concertados,300000.0,300000.0,349929.18
47000,De empresas,1500000.0,1510600.0,1671901.16
48000,De familias,120000.0,120000.0,0.0
49000,De entes de la Unión Europea,648763.81,648763.81,199733.83
52500,Intereses en cajas y bancos ayuntamiento,150000.0,150000.0,312401.22
53100,Participación en beneficios de empresas con participación mpal.,16735103.36,28668526.02,30085103.06
53200,De otras empresas,8000.0,8000.0,4469.68
54001,Rentas arrendamientos fincas urbanas ayto,200000.0,200000.0,164749.02
54002,Arrendamiento locales semillero de empresas,100000.0,100000.0,116133.7
54003,Arrendamiento plaza de toros,1.0,1.0,4555.71
