#Orgánico,Funcional,Económico,Denominación aplicación,Crédito Inicial,Crédito Definitivo,Obligado
0110,1110,11000,Retribuciones personal eventual Gabinete,965817.0,965817.0,976593.1
0110,1110,12000,Retribuciones básicas de personal funcionario,101688.0,101688.0,87002.11
0110,1110,12100,Retribuciones complementarias de personal funcionario,168779.0,168779.0,191102.83
0110,1110,16000,Seguridad social a cargo del Ayuntamiento,332535.0,332535.0,344492.37
0110,1110,16500,Cuotas Elkarkidetza a cargo Ayuntamiento,5446.0,5446.0,303.34
0110,1111,11000,Retribuciones personal eventual gabinete,209035.0,209035.0,160720.93
0110,1111,16000,Seguridad social a cargo del Ayuntamiento,53056.0,53056.0,42459.68
0110,1111,16500,Cuotas Elkarkidetza a cargo del Ayuntamiento,1443.0,1443.0,61.98
0110,1111,22603,Publicidad,6000.0,0.0,0.0
0110,1111,22699,Otros gastos diversos,10000.0,6000.0,3411.26
0125,1211,12000,Retribuciones básicas de personal funcionario,33649.0,33649.0,36701.11
0125,1211,12100,Retribuciones complementarias de personal funcionario,62755.0,62755.0,70390.42
0125,1211,14100,Otro personal,177833.0,177833.0,138164.94
0125,1211,16000,Seguridad social a cargo del Ayuntamiento,69647.0,69647.0,67769.93
0125,1211,16500,Cuotas Elkarkidetza a cargo Ayuntamiento,1600.0,1600.0,220.64
0126,1211,12000,Retribuciones básicas de personal funcionario,63849.0,63849.0,28847.41
0126,1211,12100,Retribuciones complementarias de personal funcionario,102157.0,102157.0,45315.39
0126,1211,16000,Seguridad social a cargo del Ayuntamiento,36661.0,36661.0,25936.78
0126,1211,16500,Cuotas Elkarkidetza a cargo del Ayuntamiento,4301.0,4301.0,1965.31
0130,1211,12000,Retribuciones básicas de personal funcionario,181913.0,181913.0,155887.88
0130,1211,12100,Retribuciones complementarias de personal funcionario,222374.0,222374.0,270510.81
0130,1211,14100,Otro personal,14469.0,14469.0,0.0
0130,1211,16000,Seguridad social a cargo del Ayuntamiento,89297.0,89297.0,90536.89
0130,1211,16500,Cuotas Elkarkidetza a cargo Ayuntamiento,13536.0,13536.0,5600.2
0130,1211,22610,Indemnizaciones,45000.0,446235.15,609.0
0130,1211,22617,"Honorarios, minutas",80000.0,80000.0,78533.65
015501,4541,12000,Retribuciones básicas de personal funcionario,150767.0,150767.0,134315.23
015501,4541,12100,Retribuciones complementarias de personal funcionario,113175.0,113175.0,176351.02
015501,4541,14100,Otro personal,63076.0,63076.0,40330.76
015501,4541,16000,Seguridad social a cargo del Ayuntamiento,107121.0,107121.0,97752.44
015501,4541,16500,Cuotas Elkarkidetza a cargo Ayuntamiento,2286.0,2286.0,134.9
015501,4541,22699,Gastos materiales conservación Archivo,12000.0,7100.0,7073.1
015501,4541,22752,Contratos Archivo Municipal,122160.0,50000.0,49976.86
015502,4512,12000,Retribuciones básicas de personal funcionario,217117.0,217117.0,155845.61
015502,4512,12100,Retribuciones complementarias de personal funcionario,222613.0,222613.0,252604.6
015502,4512,14100,Otro personal,164960.0,164960.0,219363.16
015502,4512,16000,Seguridad social a cargo del Ayuntamiento,188448.0,188448.0,189755.28
015502,4512,16500,Cuotas Elkarkidetza a cargo del Ayuntamiento,9084.0,9084.0,559.03
015502,4512,22624,Gastos programación Academia de Folklore,54400.0,31882.0,35952.24
015502,4512,22757,Empresas de servicios Academia de Folklore,43165.0,21582.5,21470.66
015502,4514,22625,Colonias musicales Academia de Folklore,60000.0,60000.0,60000.0
015503,4511,20103,Alquileres,45000.0,45000.0,43808.44
015503,4511,22605,Dinamización espacios expositivos,60000.0,0.0,0.0
015503,4511,22627,Cultural Álava,180000.0,0.0,0.0
015503,4511,22635,Azkena Rock Festival,220000.0,259000.0,259000.0
015503,4511,22638,Apoyo y esponsorización proyectos culturales,40000.0,0.0,0.0
015503,4511,22653,Difusión cultural,8000.0,0.0,0.0
015503,4512,13000,Retribuciones personal laboral fijo,55018.0,55018.0,0.0
015503,4512,14100,Otro personal,331547.0,331547.0,71143.11
015503,4512,16500,Cuotas Elkarkidetza a cargo Ayuntamiento,11432.0,11432.0,202.35
015503,4519,12000,Retribuciones básicas de personal funcionario,232713.0,232713.0,0.0
015503,4519,12100,Retribuciones complementarias de personal funcionario,278148.0,278148.0,0.0
015503,4519,16000,Seguridad social a cargo del Ayuntamiento,222944.0,222944.0,0.0
015503,4519,22643,"Reparación gigantes, tribunas y nacimiento",23000.0,15000.0,8073.62
015503,4519,22652,Otras actividades culturales,92000.0,70000.0,70591.79
015503,4519,22660,Carnaval,65900.0,30000.0,28849.73
015503,4519,22661,Fiestas virgen blanca,987000.0,753500.0,756835.13
015503,4519,22662,Olarizu,18000.0,3000.0,7407.97
015503,4519,22663,Campaña de navidad y reyes,245400.0,270000.0,256923.51
015503,4519,22664,Fiestas de san Antón y santa Águeda,18000.0,14000.0,16223.14
015503,4519,22733,Programas culturales espacios públicos,400000.0,160000.0,162125.02
015503,4519,22756,Servicios actividad cultural,259000.0,180000.0,175442.85
015504,4510,12000,Retribuciones básicas de personal funcionario,40049.0,40049.0,59215.44
015504,4510,12100,Retribuciones complementarias de personal funcionario,40010.0,40010.0,116355.29
015504,4510,13000,Retribuciones personal laboral fijo,7953.0,7953.0,0.0
015504,4510,14100,Otro personal,25909.0,25909.0,123231.02
015504,4510,16000,Seguridad social a cargo del Ayuntamiento,34203.0,34203.0,77827.97
015504,4510,16500,Cuotas Elkarkidetza a cargo Ayuntamiento,2081.0,2081.0,134.9
015504,4514,22622,Centro Cultural Montehermoso,1015000.0,187000.0,185524.31
015504,4514,22751,Contratos servicios Montehermoso,1016000.0,539000.0,545119.46
015507,4530,12000,Retribuciones básicas de personal funcionario,161668.0,161668.0,101474.48
015507,4530,12100,Retribuciones complementarias de personal funcionario,142511.0,142511.0,157752.72
015507,4530,14100,Otro personal,165961.0,165961.0,149676.79
015507,4530,16000,Seguridad social a cargo del Ayuntamiento,143151.0,143151.0,111211.15
015507,4530,16500,Cuotas Elkarkidetza a cargo Ayuntamiento,7817.0,7817.0,502.93
015507,4532,22115,Material técnico específico juventud,1250.0,300.0,295.2
015507,4532,22732,Contratos servicios ocio y tiempo libre,447375.46,20000.0,21030.54
015507,4534,22002,"Prensa, revistas y otras publicaciones-OMIJ",2455.0,0.0,0.0
015507,4534,22732,Contratos de prestación de servicios de juventud,250000.0,105000.0,104291.18
015507,4534,22775,Plan joven,147900.0,75000.0,74672.36
015508,4510,12000,Retribuciones básicas de personal funcionario,200592.0,200592.0,163779.11
015508,4510,12100,Retribuciones complementarias de personal funcionario,245503.0,245503.0,244315.75
015508,4510,14100,Otro personal,337480.0,334780.0,84513.29
015508,4510,16000,Seguridad social a cargo del Ayuntamiento,235672.0,234872.0,155140.01
015508,4510,16500,Cuotas Elkarkidetza a cargo Ayuntamiento,9876.0,9876.0,566.57
015508,4510,21208,Reparación equipos audiovisuales,6102.0,1500.0,152.22
015508,4510,21300,Reparación vehículos,700.0,0.0,0.0
015508,4510,21400,Reparación mobiliario,2500.0,0.0,0.0
015508,4510,22104,Combustibles y carburantes,600.0,0.0,0.0
015508,4510,22111,"Menaje, útiles y herramientas",700.0,560.0,540.77
015508,4510,22300,Transporte,14517.0,3000.0,2334.91
015508,4510,22607,Vitoria-Gasteiz film office,125000.0,0.0,0.0
015510,4513,12000,Retribuciones básicas de personal funcionario,499924.0,499924.0,464834.23
015510,4513,12100,Retribuciones complementarias de personal funcionario,565726.0,565726.0,686473.92
015510,4513,14100,Otro personal,255769.0,255769.0,152585.37
015510,4513,16000,Seguridad social a cargo del Ayuntamiento,355795.0,355795.0,370322.07
015510,4513,16500,Cuotas Elkarkidetza a cargo Ayuntamiento,17344.0,17344.0,5618.37
015510,4513,21207,Mantenimiento y reparación de equipos,25600.0,16000.0,16956.82
015510,4513,22692,Banda música-colaboraciones,36000.0,1000.0,1120.0
015510,4513,22699,Gastos programación banda de música,55330.0,47306.62,46724.97
015510,4513,22732,Contratos de prestación de servicios,37684.0,6000.0,5948.5
015520,4510,12000,Retribuciones básicas de personal funcionario,159204.0,159204.0,129021.15
015520,4510,12100,Retribuciones complementarias de personal funcionario,174275.0,174275.0,234123.6
015520,4510,14100,Otro personal,31836.0,31836.0,57393.25
015520,4510,16000,Seguridad social a cargo del Ayuntamiento,100180.0,100180.0,118505.19
015520,4510,16500,Cuotas Elkarkidetza a cargo Ayuntamiento,4162.0,4162.0,245.62
015520,4518,22603,Publicidad especial red de teatros,27300.0,15000.0,14891.16
015520,4518,22627,Espectáculos y festivales,1500000.0,990200.0,943758.8
015520,4518,22732,Contratos de prestación de servicios,303364.0,303364.0,251121.99
0160,3101,12000,Retribuciones básicas de personal funcionario,58195.0,58195.0,79783.22
0160,3101,12100,Retribuciones complementarias de personal funcionario,40557.0,40557.0,106851.28
0160,3101,14100,Otro personal,82746.0,82746.0,9924.88
0160,3101,16000,Seguridad social a cargo del Ayuntamiento,60482.0,60482.0,49460.49
0160,3101,16500,Cuotas Elkarkidetza a cargo Ayuntamiento,1143.0,1143.0,67.45
0160,3101,22115,Material técnico especifico,550.0,550.0,66.8
0160,3101,22710,III plan para la igualdad,269700.0,150000.0,51977.19
0160,3101,22773,Programación cursos de igualdad,45000.0,25000.0,20823.93
0171,1242,12000,Retribuciones básicas de personal funcionario,92401.0,92401.0,101939.68
0171,1242,12100,Retribuciones complementarias de personal funcionario,67428.0,67428.0,141507.57
0171,1242,16000,Seguridad social a cargo del Ayuntamiento,112270.0,112270.0,124285.51
0171,1242,16500,Cuotas Elkarkidetza a cargo Ayuntamiento,5879.0,5879.0,460.08
0171,1242,22741,Cursos de euskera para madres y padres,390000.0,335000.0,386327.01
0171,1242,22748,Semana del euskera,30000.0,30000.0,9882.55
0171,1242,22780,Plan de euskera,231000.0,195973.86,101039.22
0171,1242,22799,Traducciones externas euskera,45664.0,15000.0,770.84
0171,3101,14100,Otro personal,0.0,0.0,0.0
0180,4621,11000,Retribuciones personal eventual gabinete,193868.0,193868.0,61939.83
0180,4621,12000,Retribuciones básicas de personal funcionario,58618.0,58618.0,13358.02
0180,4621,12100,Retribuciones complementarias de personal funcionario,66128.0,66128.0,26349.97
0180,4621,16000,Seguridad social a cargo del Ayuntamiento,79937.0,79937.0,27315.76
0180,4621,16500,Cuotas Elkarkidetza a cargo Ayuntamiento,2543.0,2543.0,0.0
0180,4621,22634,Organización de actos y gastos de representación,171561.0,184800.0,93622.79
0187,4621,22603,Publicaciones y publicidad,1520000.0,890000.0,1240781.01
0187,4621,22604,Plan de promoción de movilidad sostenible,70000.0,0.0,0.0
0187,4621,22605,Programa señalética corporativa para Ayuntamiento,30000.0,0.0,47206.67
0187,4621,22612,Adquisición  prensa diaria,60000.0,30000.0,52174.11
0187,4621,22616,Servicios de asistencia técnica a prensa,15000.0,15000.0,50363.85
0187,4621,22631,Participación municipal en otras instituciones,32000.0,25000.0,25802.52
0187,4621,22632,Suscripciones,20000.0,10000.0,9044.21
0187,4621,22645,Anuncios ordinarios en medios de comunicación,300000.0,260000.0,320407.14
0187,4621,22681,Programas ciudadanía en radio,16200.0,0.0,0.0
0187,4621,22730,Servicio de almacenaje de fondos editoriales,30000.0,30000.0,28369.97
