#Orgánico,Funcional,Económico,R,Denominación Aplicación,Tot Crédito inicial,Tot Crédito Definitivo,Tot Obligado
0110,9121,11000,,Retribuciones personal eventual gabinete,1062420.0,1062420.0,1145411.94
0110,9121,12000,,Retribuciones básicas de funcionarios,59203.0,59203.0,57328.25
0110,9121,12100,,Retribuciones complementarias funcionarios,93705.0,93705.0,93505.26
0110,9121,14100,,Otro personal,45301.0,45301.0,34111.24
0110,9121,16000,,Seguridad social a cargo del ayuntamiento,446397.0,446397.0,390060.97
0110,9121,16500,,Cuotas Elkarkidetza a cargo ayuntamiento,3459.0,3459.0,4112.3
0110,9123,22695,,Otros gastos diversos oficina sindico,0.0,700.0,555.17
0110,9123,22699,,Otros gastos diversos,2000.0,1327.0,830.1
0110,9123,62800,,Adquisición publicaciones,300.0,0.0,0.0
0110,9123,62803,,Adquisición publicaciones oficina sindica,0.0,300.0,127.87
0111,2328,11000,,Retribuciones personal eventual gabinete,79614.0,79614.0,0.0
0111,2328,12000,,Retribuciones básicas de funcionarios,30671.0,30671.0,12527.74
0111,2328,12100,,Retribuciones complementarias funcionarios,44601.0,44601.0,28760.83
0111,2328,16000,,Seguridad social a cargo del ayuntamiento,30112.0,30112.0,6640.69
0111,2328,16500,,Cuotas Elkarkidetza a cargo ayuntamiento,3459.0,3459.0,645.95
0111,9207,62514,,Otros enseres y pequeñas inversiones,5000.0,0.0,0.0
0112,2301,12000,,Retribuciones básicas de funcionarios,240219.0,240219.0,260771.39
0112,2301,12100,,Retribuciones complementarias funcionarios,290147.0,290147.0,326104.45
0112,2301,14100,,Otro personal,48029.0,48029.0,83889.34
0112,2301,16000,,Seguridad social a cargo del ayuntamiento,152120.0,152120.0,179737.98
0112,2301,16500,,Cuotas Elkarkidetza a cargo ayuntamiento,12229.0,12229.0,13938.33
0116,2371,12000,,Retribuciones básicas de funcionarios,125266.0,125266.0,117113.44
0116,2371,12100,,Retribuciones complementarias funcionarios,158731.0,158731.0,144424.86
0116,2371,14100,,Otro personal,134897.0,134897.0,153634.52
0116,2371,16000,,Seguridad social a cargo del ayuntamiento,111019.0,111019.0,113845.3
0116,2371,16500,,Cuotas Elkarkidetza a cargo ayuntamiento,8332.0,8332.0,7427.36
0116,2371,22115,,Material técnico específico juventud,100.0,100.0,72.6
0116,2371,22734,,Programa de ocio y tiempo libre,373369.7,373369.7,356044.21
0116,2371,22736,,Contrato servicios juventud,123025.55,123025.55,121511.67
0116,2371,22737,,Oficina municipal de información joven,4000.0,4000.0,3833.06
0116,2371,22775,,Plan joven,150000.0,129400.0,125165.71
0116,2371,22775,R,Plan joven,0.0,800.0,800.0
0116,2371,41924,,Convenio consejo juventud Euskadi-fomento participación juvenil,10500.0,10500.0,10500.0
0116,2371,48935,,Convocatoria general subvenciones juventud,25000.0,25000.0,25000.0
0116,2371,48936,,Convocatoria jóvenes informadores en EEMM,10000.0,10000.0,10000.0
0116,2371,62505,,Otros enseres,1000.0,1000.0,874.23
0116,2371,62800,,Adquisición publicaciones y libros OMIJ,1000.0,1000.0,983.74
0125,9124,12000,,Retribuciones básicas de funcionarios,89323.0,89323.0,101351.28
0125,9124,12100,,Retribuciones complementarias funcionarios,131249.0,131249.0,149279.66
0125,9124,14100,,Otro personal,81017.0,81017.0,57522.32
0125,9124,16000,,Seguridad social a cargo del ayuntamiento,75185.0,75185.0,78318.14
0125,9124,16500,,Cuotas Elkarkidetza a cargo ayuntamiento,3459.0,3459.0,4129.34
0126,9124,12000,,Retribuciones básicas de funcionarios,32169.0,32169.0,25937.43
