#Económico,Denominación Aplicación Ingresos,Crédito Inicial,C.DEFINITVO,DRN NETOS
11201,Impuesto B. Inmuebles naturaleza rústica,288965.0,288965.0,288872.98
11202,Impuesto B. Inmuebles naturaleza urbana,44650000.0,44650000.0,43463794.06
11203,Inmuebles características especiales,0.0,0.0,470774.03
11301,Impuesto sobre vehículos tracción mecánica,16725000.0,16725000.0,16417077.23
11401,Impuesto sobre incremento valor terrenos,12905000.0,13722746.27,14932682.39
13001,Impuesto sobre actividades económicas,14700000.0,14700000.0,14492139.79
13002,Participación en cuotas provinciales y estatales,1450000.0,1450000.0,1300000.0
28201,Impuestos sobre construcciones e instalaciones,6550000.0,8000000.0,8178833.03
28301,Aprovechamiento del coto de caza,2110.0,2110.0,2111.0
30001,Venta de efectos no utilizables,40000.0,40000.0,61743.4
30002,Venta de publicaciones e impresos,1000.0,1000.0,7713.61
30004,Venta de bienes y efectos en montehermoso,5000.0,5000.0,1057.4
30006,Venta de energía eléctrica,3000.0,3000.0,9902.56
30007,Venta bienes oficina de turismo,25000.0,25000.0,66716.48
31001,Recogida y eliminación de basuras,10900000.0,10900000.0,10616447.16
31003,Servicios funerarios,600000.0,600000.0,578907.92
31004,"Expedición de informes, atestados, fotocopias, planos y similares",280000.0,280000.0,170915.57
31005,Retirada de vehículos de la vía pública,306000.0,306000.0,467120.45
31008,Servicio de prevención y extinción de incendios,6000.0,6000.0,2352.97
31013,Vertido de residuos en vertedero de Gardelegi,4000000.0,4000000.0,5220749.77
31020,Evacuación de consultas urbanísticas,15000.0,15000.0,8331.86
31021,Vertido de aguas residuales no domesticas,327510.0,327510.0,185676.36
31022,Duplicado TMC,10200.0,10200.0,13846.0
31026,Prestación servicios DEMSAC,255000.0,255000.0,143118.96
31027,Tasas de exámenes,7000.0,7000.0,100446.1
31028,Planta biocompost,750000.0,750000.0,0.0
31029,Recogida selectiva de envases y residuos,1706000.0,1706000.0,1802649.21
31101,Licencias de apertura de establecimientos,300000.0,300000.0,363165.74
31105,Tasa examen acreditación licencia autotaxi,0.0,0.0,137.61
31201,Otorgamiento de licencias urbanísticas,300000.0,300000.0,323702.24
32001,OTA - estacionamiento de vehículos en vías publicas,1900000.0,1900000.0,1817706.64
32005,Cesiones de terrenos cementerio el salvador,195000.0,195000.0,198165.27
32102,Quioscos en vía pública,2500.0,2500.0,2583.72
32103,"Vallas, andamios, contenedores, material construcción, en vía pública",0.0,0.0,514605.91
32104,Veladores en vía pública,325000.0,325000.0,329514.25
32105,Instalaciones en vía publica,650000.0,650000.0,546442.97
32107,Apertura de calicatas y zanjas,500000.0,500000.0,17500.72
32109,"Ocupación del suelo, subsuelo y vuelo por empresas de suministros",4950000.0,4950000.0,96501.44
