#Ekonomikoa,Diru-sarreren aplikazioaren izena,Hasierako kreditua,Behin betiko kreditua,DRN
11201,Landa-lurreko Ondasun Higiezinen gaineko Zerga eta Gizarte Segurantza,288965.0,288965.0,-624.39
11202,Hiri-lurreko ondasun higiezinen gaineko zerga,44650000.0,44650000.0,-551584.39
11203,Ezaugarri bereziko higiezinak,0.0,0.0,0.48
11301,Trakzio Mekanikoko Ibilgailuen gaineko Zerga,16725000.0,16725000.0,16269464.86
11401,Hiri-lurren Balio-gehikuntzaren gaineko Zerga,12905000.0,12905000.0,2426695.73
13001,Ekonomi Jardueren gaineko Zerga,14700000.0,14700000.0,67679.88
13002,Probintziako eta Estatuko kuotetako partaidetza,1450000.0,1450000.0,0.0
28201,Eraikuntza eta instalazioen gaineko zergak,6550000.0,6550000.0,2572028.55
28301,Ehiza esparruaren ustiapena,2110.0,2110.0,2111.0
30001,Erabilgarri ez diren ondasunak saltzea,40000.0,40000.0,16955.0
30002,Argitalpen eta inprimakien salmenta,1000.0,1000.0,1355.84
30004,Montehermosoko ondasun eta elementuen salmenta,5000.0,5000.0,1057.4
30006,Energia elektrikoa saltzea,3000.0,3000.0,0.0
30007,Turismo Bulegoko ondasunen salmenta,25000.0,25000.0,0.0
31001,Zaborrak bildu eta suntsitzea,10900000.0,10900000.0,-86037.18
31003,Hileta-zerbitzuak.,600000.0,600000.0,391136.62
31004,"Txostenak, atestatuak, fotokopiak, planoak eta antzekoak egitea",280000.0,280000.0,24139.7
31005,Ibilgailuak bide publikotik kentzea,306000.0,306000.0,91175.06
31008,Prebentzio eta Su Itzaltze Zerbitzua,6000.0,6000.0,12.08
31013,Gardelegiko zabortegian hondakinak hustea,4000000.0,4000000.0,1177986.7
31020,Hirigintza-kontsultei erantzutea,15000.0,15000.0,1725.28
31021,Etxeetakoez kanpoko ur zikinak isurtzea,327510.0,327510.0,23924.29
31022,Herritarren Udal Txartelaren kopia,10200.0,10200.0,2201.0
31026,Osasun eta Kontsumo Sailak eskainitako zerbitzuak,255000.0,255000.0,47632.89
31027,Azterketa-tasak,7000.0,7000.0,14184.45
31028,Biokonpost-lantegia,750000.0,750000.0,0.0
31029,Ontzi eta hondakinen gaikako bilketa,1706000.0,1706000.0,0.0
31101,Establezimenduak irekitzeko lizentziak,300000.0,300000.0,78496.66
31105,Taxi-lizentzia eskuratzeko azterketako tasa,0.0,0.0,109.98
31201,Hirigintza-lizentziak ematea,300000.0,300000.0,60077.57
32001,TAO - Ibilgailuak bide publikoetan aparkatzea,1900000.0,1900000.0,459048.51
32005,Salbatzailearen hilerriko lurzoru-lagapenak,195000.0,195000.0,14280.28
32102,Bide publikoetako kioskoak,2500.0,2500.0,645.93
32103,"Hesiak, aldamioak, edukiontziak eta eraikuntza-materiala, bide publikoan",0.0,0.0,110732.02
32104,Bide publikoetako mahaitxoak,325000.0,325000.0,311.77
32105,Bide publikoetako instalazioak,650000.0,650000.0,55900.52
32107,Zangak irekitzea,500000.0,500000.0,2380.14
32109,"Hornikuntza-enpresek lurra, lurgaina eta lurpea okupatzea",4950000.0,4950000.0,2060.48
32110,Zerbitzu- eta hornikuntza-enpresek lurzorua okupatzea,0.0,0.0,916897.81
32111,"Biltzar-jauregia, Principal antzokia, zezen-plaza eta beste erabiltzea",150000.0,150000.0,0.0
32112,Gizarte-etxeetako aretoak erabiltzea,30000.0,30000.0,67291.76
32113,Jundizko enpresa-zentroko aretoak erabiltzea,10000.0,10000.0,6654.1
32114,Adinekoentzako zentro soziokulturaletako espazioak erabiltzea,1000.0,1000.0,40.04
32201,"Ibilgailuak espaloietatik sartzea, eta bide publikoa aparkatzeko erreserbatzea",1550000.0,1550000.0,750459.62
34000,Udal sozietate anonimoek zerbitzuak ematea,700000.0,700000.0,0.0
34001,Osasun eta Kontsumo Sailaren lantegiak,30000.0,30000.0,9663.55
34002,"Haur eskolak, udaleku irekiak eta jolas txokoak",650000.0,650000.0,124483.63
34004,Etxez etxeko laguntza (3. adina),660000.0,660000.0,195388.61
34005,Egoitzetako egonaldiak (3. adina),4400000.0,4400000.0,832406.02
34006,Gizartegintzako lantegiak,70000.0,70000.0,1185.52
34007,Lanaren bidezko prestakuntza,50000.0,50000.0,10734.8
34008,Mendizorrotzeko instalazioetarako abonamendua,5990000.0,5990000.0,6089493.19
34009,Aldi baterako eta denboraldiko abonamenduak (Gamarra),159000.0,159000.0,4291.36
34010,Kirol instalazioak erabiltzea (erreserba eta salmenta),1219000.0,1219000.0,178691.57
34012,Udal Folklore Akademiako matrikulak,146000.0,146000.0,17111.28
34013,Kultur ikastaro eta lantegiak,300000.0,300000.0,139124.49
34014,Antzokiko leihatilak,350000.0,350000.0,133957.3
34015,Ludoteketako zerbitzuak,6560.0,6560.0,6588.5
34016,"Ikus-entzunezko materiala eta argiztapen-materiala mailegatzea, gazteei",8000.0,8000.0,1064.1
34018,Lehendakaritzako lantegiak,285000.0,285000.0,74355.66
34020,Kirol kanpainetako abonatuak,1325000.0,1325000.0,309569.45
34023,"Egonaldia, CAMAS",40000.0,40000.0,14342.24
34025,Adinekoentzako zentro soziokulturaletako bazkariak,488750.0,488750.0,82505.77
34026,Egoitzetako egonaldien likidazioa (3. adina),61200.0,61200.0,19571.0
34029,Funtzio Publikoaren ikastaro eta prestakuntza-jarduerak,0.0,0.0,1593.06
34032,Lehendakaritzako sarrera salmenta,0.0,0.0,2657.28
34038,Ezkontza-zerbitzua,30000.0,30000.0,9494.01
34039,Kudeaketa gastuen konpentsazioa,1000000.0,1000000.0,0.0
34040,Autobus-geltoki berriko diru-sarrerak,640000.0,640000.0,54552.72
36100,Suteak itzaltzea - Unespa eta hitzartu gabeko konpainien kuota,948975.0,948975.0,0.0
38001,Okerreko ordainketak itzultzea,700000.0,700000.0,144978.83
38002,Iragarki-argitalpenen gastuak itzultzea,50000.0,50000.0,15312.14
38003,Aseguru-etxeek gastu eta kalte-ordainak itzultzea,1.0,59267.33,111203.35
38004,Premiamendu-bideko kostuak itzultzea,8000.0,8000.0,345.61
38005,Bide judizialeko kalte-ordainak itzultzea,15000.0,15000.0,0.0
38007,Laneko Arriskuen Prebentzioarako Zerbitzuaren itzulketa,71035.0,71035.0,9878.71
38008,Zerbitzu-ustiapenen itzulketak,0.0,0.0,30547.82
39101,Trafiko arau-hausteengatiko isunak,5480000.0,5480000.0,1405715.74
39102,Prozedura zigortzaileetako diru-sarrerak,805420.0,805420.0,286723.87
39201,Premiamendu-gainordainak,950000.0,950000.0,198775.16
39401,Auto-istripuek bide publikoan eragindako kalteak,100000.0,100000.0,26994.88
39402,Ekintza basatiek ondasunetan eragindako kalteak,7500.0,7500.0,989.95
39404,Betearazte subsidiarioengatiko sarrerak,90000.0,90000.0,0.0
39405,Epai kostuek sortutako sarrerak,25000.0,25000.0,1967.34
39601,Telefonia-enpresen sarrerak,1000000.0,1000000.0,237609.44
39901,Dohaintzak,2000.0,2000.0,0.0
39902,Bestelako diru-sarrerak,50000.0,50000.0,2398.89
39903,Aurreko ekitaldietako berandutze-interesak,4000.0,4000.0,-3836.16
39906,Floridako jaiotzako dohainak,1.0,1.0,15404.34
39907,San Anton zozketako diru-sarrerak,1.0,1.0,5826.6
39909,Aparkalekuetako diru-sarreretako partizipazioa,40000.0,40000.0,0.0
40000,Administrazio Orokorretik,465425.0,465425.0,22079.71
41000,Eusko Jaurlaritzatik,12912583.0,12912583.0,1396389.68
42000,Arabako Foru Aldunditik,8926839.11,8953134.05,607705.03
42001,FOFEL,162168391.33,162168391.33,40596650.26
42003,Hitzartu gabeko zergak,300000.0,300000.0,0.0
43000,"Ente publikoak, udalerriaren barruan",12000.0,12000.0,0.0
48000,Familietatik,125000.0,125000.0,0.0
49000,Europar Batasuneko erakundeetatik,99700.0,99700.0,205862.17
52500,Udalaren interesak banku eta kutxetan,5000.0,5000.0,1335.17
54001,Udalaren hiri-funtsen alokairu-errentak,150000.0,150000.0,4405.2
54002,Enpresa-mintegietako lokalak alokatzea,100000.0,100000.0,29814.18
54004,Udal eraikinetan ostalaritza-zerbitzuak ustiatzea,0.0,0.0,22065.1
54101,Landa-funtsen alokairua,1.0,1.0,0.0
55000,Emakiden emaitzak,800000.0,800000.0,27243.72
55005,Hiri-altzarietako publizitatea ustiatzeko emakida,150000.0,150000.0,0.0
59002,Lur sailak erabiltzea,40000.0,40000.0,0.0
60300,"Udalaren lurzoru-ondareko lursailak saltzea, oinarrizko proiektuetako ordainsariak barne",1277231.3,1277231.3,0.0
61200,Eraikinak eta bestelako eraikuntzak,1767000.0,1767000.0,0.0
71000,Eusko Jaurlaritzatik,5560000.0,5560000.0,-84017.58
72000,Arabako Foru Aldunditik,2500000.0,2500000.0,0.0
73000,"Ente publikoak, udalerrian",0.0,0.0,32826.79
77000,Enpresa pribatuak,0.0,0.0,1871.0
87200,"Diruzaintza-soberakina, gastu orokorretarako",0.0,6953791.28,0.0
87201,"Diruzaintza-soberakina, atxikitako finantzaketako gastuetarako",0.0,5269556.83,0.0
93301,Inbertsioak finantzatzeko maileguak,10750000.0,10750000.0,0.0
