#Organikoa,Funtzionala,Ekonomikoa,R,Aplikazioaren izena,Hasierako kreditua,Behin betiko kreditua,Behartua
0110,9121,11000,,Kabineteko behin-behineko langileen ordainsariak,1062420.0,1062420.0,1145411.94
0110,9121,12000,,Funtzionarioen oinarrizko ordainsariak,59203.0,59203.0,57328.25
0110,9121,12100,,Funtzionarioen ordainsari osagarriak,93705.0,93705.0,93505.26
0110,9121,14100,,Bestelako langileak,45301.0,45301.0,34111.24
0110,9121,16000,,"Gizarte Segurantza, enpresaren kontura",446397.0,446397.0,390060.97
0110,9121,16500,,"Elkarkidetzako kuotak, Udalaren kontura",3459.0,3459.0,4112.3
0110,9123,22695,,Sindikoaren bulegoa. Bestelako hainbat gastu.,0.0,700.0,0.0
0110,9123,22699,,Bestelako hainbat gastu,2000.0,1327.0,1327.0
0110,9123,62800,,Argitalpenak erostea,300.0,0.0,0.0
0110,9123,62803,,Sindikoaren bulego. Argitalpenak erostea,0.0,300.0,127.87
0111,2328,11000,,Kabineteko behin-behineko langileen ordainsariak,79614.0,79614.0,0.0
0111,2328,12000,,Funtzionarioen oinarrizko ordainsariak,30671.0,30671.0,12527.74
0111,2328,12100,,Funtzionarioen ordainsari osagarriak,44601.0,44601.0,28760.83
0111,2328,16000,,"Gizarte Segurantza, enpresaren kontura",30112.0,30112.0,6640.69
0111,2328,16500,,"Elkarkidetzako kuotak, Udalaren kontura",3459.0,3459.0,645.95
0111,9207,62514,,Bestelako tresnak eta inbertsio txikiak,5000.0,0.0,0.0
0112,2301,12000,,Funtzionarioen oinarrizko ordainsariak,240219.0,240219.0,260771.39
0112,2301,12100,,Funtzionarioen ordainsari osagarriak,290147.0,290147.0,326104.45
0112,2301,14100,,Bestelako langileak,48029.0,48029.0,83889.34
0112,2301,16000,,"Gizarte Segurantza, enpresaren kontura",152120.0,152120.0,179737.98
0112,2301,16500,,"Elkarkidetzako kuotak, Udalaren kontura",12229.0,12229.0,13938.33
0116,2371,12000,,Funtzionarioen oinarrizko ordainsariak,125266.0,125266.0,117113.44
0116,2371,12100,,Funtzionarioen ordainsari osagarriak,158731.0,158731.0,144424.86
0116,2371,14100,,Bestelako langileak,134897.0,134897.0,153634.52
0116,2371,16000,,"Gizarte Segurantza, enpresaren kontura",111019.0,111019.0,113845.3
0116,2371,16500,,"Elkarkidetzako kuotak, Udalaren kontura",8332.0,8332.0,7427.36
0116,2371,22115,,Berariazko material teknikoa - Gazteria,100.0,100.0,0.0
0116,2371,22734,,Aisialdi eta denbora libreko programa,373369.7,373369.7,339989.57
0116,2371,22736,,Gazteria Zerbitzuaren kontratua,123025.55,123025.55,111380.09
0116,2371,22737,,Gazteen Argibideetarako Udal Bulegoa,4000.0,4000.0,3446.81
0116,2371,22775,,Gazte Plana,150000.0,129400.0,109934.54
0116,2371,22775,R,Gazte Plana,0.0,800.0,800.0
0116,2371,41924,,Hitzarmena: Euskadiko Gazteria Kontseilua - Gazteen partaidetzaren sustapena,10500.0,10500.0,8400.0
0116,2371,48935,,Gazteriako diru-laguntza deialdi orokorra,25000.0,25000.0,20000.0
0116,2371,48936,,Irakaskuntza Ertainetako gazte informatzaileen deialdia,10000.0,10000.0,5000.0
0116,2371,62505,,Bestelako tresnak,1000.0,1000.0,874.23
0116,2371,62800,,"Argitalpenak eta liburuak erostea, Gazteen Argibideetarako Bulegorako",1000.0,1000.0,0.0
0125,9124,12000,,Funtzionarioen oinarrizko ordainsariak,89323.0,89323.0,101351.28
0125,9124,12100,,Funtzionarioen ordainsari osagarriak,131249.0,131249.0,149279.66
0125,9124,14100,,Bestelako langileak,81017.0,81017.0,57522.32
0125,9124,16000,,"Gizarte Segurantza, enpresaren kontura",75185.0,75185.0,78318.14
0125,9124,16500,,"Elkarkidetzako kuotak, Udalaren kontura",3459.0,3459.0,4129.34
0126,9124,12000,,Funtzionarioen oinarrizko ordainsariak,32169.0,32169.0,25937.43
0126,9124,12100,,Funtzionarioen ordainsari osagarriak,47038.0,47038.0,52750.21
0126,9124,16000,,"Gizarte Segurantza, enpresaren kontura",18880.0,18880.0,19040.11
0126,9124,16500,,"Elkarkidetzako kuotak, Udalaren kontura",1980.0,1980.0,1992.2
0130,9201,11000,,Kabineteko behin-behineko langileen ordainsariak,0.0,0.0,80560.35
0130,9201,12000,,Funtzionarioen oinarrizko ordainsariak,219590.0,219590.0,184929.82
0130,9201,12100,,Funtzionarioen ordainsari osagarriak,322584.0,322584.0,283935.3
0130,9201,14100,,Bestelako langileak,0.0,0.0,191.28
0130,9201,16000,,"Gizarte Segurantza, enpresaren kontura",104331.0,104331.0,99660.41
0130,9201,16500,,"Elkarkidetzako kuotak, Udalaren kontura",12058.0,12058.0,10772.38
0130,9201,22610,,Kalte-ordainak,14000.0,14000.0,225.0
0130,9201,22617,,"Ordainsariak, minutak",44000.0,39620.0,8329.88
0145,9121,11000,,Kabineteko behin-behineko langileen ordainsariak,240714.0,240714.0,241188.94
0145,9121,16000,,"Gizarte Segurantza, enpresaren kontura",39743.0,39743.0,39390.68
0160,2381,12000,,Funtzionarioen oinarrizko ordainsariak,73410.0,73410.0,94744.88
0160,2381,12100,,Funtzionarioen ordainsari osagarriak,86057.0,86057.0,111751.51
0160,2381,14100,,Bestelako langileak,86909.0,86909.0,78887.55
0160,2381,16000,,"Gizarte Segurantza, enpresaren kontura",68429.0,68429.0,83359.84
0160,2381,16500,,"Elkarkidetzako kuotak, Udalaren kontura",3259.0,3259.0,3915.8
0160,2381,22115,,Berariazko material teknikoa,550.0,550.0,0.0
0160,2381,22711,,Berdintasun Plana,210000.0,210000.0,168362.78
0160,2381,22711,R,Berdintasun Plana,0.0,6760.0,6760.0
0160,2381,22743,,Emakumeentzako etxe inklusiboa,31520.0,0.0,0.0
0160,2381,22773,,Berdintasunerako ikastaroak programatzea,75000.0,64407.5,10164.0
0160,2381,22775,,"LGTBQ - 0 tolerantzia homofobia, lesbofobia eta transfobiarekin",50000.0,50000.0,0.0
0160,2381,48139,,Emakume elkarteentzako diru-laguntza deialdia,50000.0,50000.0,40717.99
0160,2381,62208,,Emakumeen etxea,100000.0,124000.0,108135.22
0160,2381,62208,R,Emakumeen etxea,0.0,83373.08,83373.08
0162,2391,12000,,Funtzionarioen oinarrizko ordainsariak,36202.0,36202.0,40199.79
0162,2391,12100,,Funtzionarioen ordainsari osagarriak,39693.0,39693.0,50136.97
0162,2391,14100,,Bestelako langileak,81399.0,81399.0,85059.4
0162,2391,16000,,"Gizarte Segurantza, enpresaren kontura",43548.0,43548.0,49210.61
0162,2391,16500,,"Elkarkidetzako kuotak, Udalaren kontura",990.0,990.0,2036.98
0162,2391,22696,,Euskal Fondoaren kuota,11237.4,11237.4,11237.4
0162,2391,22699,,Lankidetzako bestelako hainbat gastu,16000.0,16000.0,8220.61
0162,2391,22704,,Kontratua: Azoka Txikia,25000.0,0.0,0.0
0162,2391,22707,,Azterlanak eta lan teknikoak,36000.0,87571.67,31429.36
0162,2391,22799,,Kanpoko beste zenbait lan,30000.0,30000.0,24533.68
0162,2391,23002,,Joan-etorrietako gastuak,5000.0,0.0,0.0
0162,2391,48200,,Lankidetzarako diru-laguntzak,1497262.6,1417262.6,1414262.44
0162,2391,48205,,Hitzarmena: Larrialdietarako Arabako Funtsa,120000.0,132000.0,120000.0
0162,2391,48206,,Hitzarmena: RASD-ren lagunen elkartea,320000.0,320000.0,0.0
0162,2391,48207,,Hitzarmena: Euskal Fondoa,189000.0,287000.0,189000.0
0162,2391,48210,,Hitzarmena: Setem Hego Haizea,25000.0,25000.0,25000.0
0162,2391,48211,,Hitzarmena: GGKEen koordinakundea,24000.0,24000.0,24000.0
0162,2391,48212,,Hitzarmena: AFINIS - oporrak bakean,16000.0,16000.0,16000.0
0162,2391,48213,,Hitzarmena: bidezko merkataritza,32000.0,32000.0,32000.0
0171,3351,12000,,Funtzionarioen oinarrizko ordainsariak,156040.0,156040.0,148538.59
0171,3351,12100,,Funtzionarioen ordainsari osagarriak,187871.0,187871.0,163862.89
0171,3351,14100,,Bestelako langileak,79574.0,79574.0,126288.19
0171,3351,16000,,"Gizarte Segurantza, enpresaren kontura",127842.0,127842.0,131555.54
0171,3351,16500,,"Elkarkidetzako kuotak, Udalaren kontura",7464.0,7464.0,6332.02
0171,3351,22741,,Gurasoentzako euskara eskolak,500000.0,500000.0,327233.68
0171,3351,22748,,Euskararen Astea,25000.0,25000.0,12353.72
0171,3351,22780,,Euskara plana,180044.8,200044.8,129799.38
0171,3351,22780,R,Euskara plana,0.0,16577.04,15777.03
0171,3351,22799,,"Kanpoko itzulpenak, euskera",15000.0,15000.0,5209.08
0171,3351,41802,,"Hitzarmena, Euskaltzaindiaren mendeurrena",0.0,25000.0,0.0
0171,3351,42302,,Hitzarmena: Merkataritza-ganbera,10500.0,10500.0,0.0
0171,3351,48001,,"Euskara ikasteko laguntzak, herritarrentzat",150000.0,150000.0,0.0
0171,3351,48002,,Langileentzako ikasketa beka eta poltsak,75000.0,60000.0,22651.46
0171,3351,48003,,Euskaltegientzako diru-laguntzak,99000.0,99000.0,0.0
0171,3351,48005,,Euskararen Plan Nagusiko diru-laguntzak,120000.0,120000.0,108147.6
0171,3351,48005,R,Euskararen Plan Nagusiko diru-laguntzak,0.0,1800.0,1800.0
0171,3351,48044,,Hitzarmena GEUrekin,77175.0,77175.0,77175.0
