#Organikoa,Funtzionala,Ekonomikoa,R,Aplikazioaren izena,Hasierako kreditua,Behin betiko kreditua,Behartua
0110,9121,11000,,Kabineteko behin-behineko langileen ordainsariak,1062420.0,1062420.0,563035.67
0110,9121,12000,,Funtzionarioen oinarrizko ordainsariak,59203.0,59203.0,28226.27
0110,9121,12100,,Funtzionarioen ordainsari osagarriak,93705.0,93705.0,45980.4
0110,9121,14100,,Bestelako langileak,45301.0,45301.0,11590.28
0110,9121,16000,,"Gizarte Segurantza, enpresaren kontura",446397.0,446397.0,187726.35
0110,9121,16500,,"Elkarkidetzako kuotak, Udalaren kontura",3459.0,3459.0,2037.04
0110,9123,22695,,Bestelako hainbat gastu.,0.0,700.0,0.0
0110,9123,22699,,Sindikoaren bulegoa. Bestelako hainbat gastu,2000.0,1327.0,1327.0
0110,9123,62800,,Argitalpenak erostea,300.0,0.0,0.0
0110,9123,62803,,Sindikoaren bulego. Argitalpenak erostea,0.0,300.0,127.87
0111,2328,11000,,Kabineteko behin-behineko langileen ordainsariak,79614.0,79614.0,0.0
0111,2328,12000,,Funtzionarioen oinarrizko ordainsariak,30671.0,30671.0,13134.15
0111,2328,12100,,Funtzionarioen ordainsari osagarriak,44601.0,44601.0,18018.33
0111,2328,16000,,"Gizarte Segurantza, enpresaren kontura",30112.0,30112.0,10238.92
0111,2328,16500,,"Elkarkidetzako kuotak, Udalaren kontura",3459.0,3459.0,996.1
0111,9207,62514,,Bestelako tresnak eta inbertsio txikiak,5000.0,5000.0,0.0
0112,2301,12000,,Funtzionarioen oinarrizko ordainsariak,240219.0,240219.0,131517.68
0112,2301,12100,,Funtzionarioen ordainsari osagarriak,290147.0,290147.0,166798.55
0112,2301,14100,,Bestelako langileak,48029.0,48029.0,34642.9
0112,2301,16000,,"Gizarte Segurantza, enpresaren kontura",152120.0,152120.0,86858.13
0112,2301,16500,,"Elkarkidetzako kuotak, Udalaren kontura",12229.0,12229.0,7075.89
0116,2371,12000,,Funtzionarioen oinarrizko ordainsariak,125266.0,125266.0,63894.32
0116,2371,12100,,Funtzionarioen ordainsari osagarriak,158731.0,158731.0,81819.24
0116,2371,14100,,Bestelako langileak,134897.0,134897.0,63987.91
0116,2371,16000,,"Gizarte Segurantza, enpresaren kontura",111019.0,111019.0,55086.5
0116,2371,16500,,"Elkarkidetzako kuotak, Udalaren kontura",8332.0,8332.0,3757.05
0116,2371,22115,,Berariazko material teknikoa - Gazteria,100.0,100.0,0.0
0116,2371,22734,,Aisialdi eta denbora libreko programa,373369.7,373369.7,191227.58
0116,2371,22736,,Gazteria Zerbitzuaren kontratua,123025.55,123025.55,43639.88
0116,2371,22737,,Gazteen Argibideetarako Udal Bulegoa,4000.0,4000.0,192.39
0116,2371,22775,,Gazte Plana,150000.0,150000.0,42479.38
0116,2371,22775,R,Gazte Plana,0.0,800.0,800.0
0116,2371,41924,,Hitzarmena: Euskadiko Gazteria Kontseilua - Gazteen partaidetzaren sustapena,10500.0,10500.0,0.0
0116,2371,48935,,Gazteriako diru-laguntza deialdi orokorra,25000.0,25000.0,0.0
0116,2371,48936,,Irakaskuntza Ertainetako gazte informatzaileen deialdia,10000.0,10000.0,0.0
0116,2371,62505,,Bestelako tresnak,1000.0,1000.0,246.84
0116,2371,62800,,"Argitalpenak eta liburuak erostea, Gazteen Argibideetarako Bulegorako",1000.0,1000.0,0.0
0125,9124,12000,,Funtzionarioen oinarrizko ordainsariak,89323.0,89323.0,48862.18
0125,9124,12100,,Funtzionarioen ordainsari osagarriak,131249.0,131249.0,71940.65
